,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X002475.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X000596.SZ,X600183.SH,X002236.SZ,X601877.SH,X300003.SZ,X600703.SH,X002241.SZ,X000157.SZ,X002463.SZ,X000100.SZ,X002007.SZ,X002179.SZ,X600271.SH,X000625.SZ,X300142.SZ,X300014.SZ,X300124.SZ,X600867.SH,X002008.SZ,X000066.SZ,X002049.SZ,X300136.SZ,X600066.SH,X000977.SZ,X600498.SH,X002506.SZ,X002129.SZ,X600177.SH,X300146.SZ,X002371.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.159670027043517,0,0,0.0961860932045136,0,0,0,0,0,0.0116988161764386,0,0,0,0,0,0.0160793300596937,0,0,0,0,0,0,0.00662687554705962,0,0,0,0,0.0251272422895646,0,0,0,0,0,0,0,0.035458860043266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263622088833248,0.046280681076858,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.185602522895441,0,0.303379594116715,0.0219776277309217,0,0,0,0,0,0.22525464873163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338718324311521,0,0,0.0366220253757946,0,0,0,-0.00126310333276698,0,0,0,0,-0.00904544393505336,0,0
X600276.SH,0,0,0,0,0,0,0,0.0277392061896404,0,0.142830205619518,0.167713917216744,0,0.0522298436211931,0,0,0.0377872785003148,0,0.143352695129811,0,-0.0168671516294387,0,0,0,0,0,0,-0.0311728941604358,0,0,0,0,0,0,0,0,0.107651482935788,0,-0.0686639573192045,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137977019364019,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154108509208817,0.118574880899004,0,0,0,0.0119832376742788,0,0,0,0,0,0,0,0,0,0,0,0,0.0368779036200425,0,0.0693259624854483,0,0.0828841378441553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166490185616723,-0.0349047135535763,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.164071638970442,0,0,0,0,0,0,0.0524671661171616,0,0,0.287589838045535,0,0,0,0.239364305311985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386168064313055,0,0,0.000952700353859549,0,0,0,0.000309563539095289,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106145866893401,0.133768088371491,0,0,0,-0.0207055583414277,0,0.0877231549114856,0,0,0,0.0133699342015453,0,0,0,0,0,0.0825723513419378,0.00254014202720174,0,0,0,0,0,0,0,0,0,0.0140329948426425,0,0,0,0,0,0,0,0,-0.0151660122555905,0.00479126672707628,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0095256994269108,0,0,0,0,0.107983972573947,0,0
X002304.SZ,0,0,0,0,0,0,0.101858744059329,0,0,0.249731960515795,0,0,0,0,0,0.175872030055742,0,0,0.111910571618268,0,0,0,0,0,0.046196404739277,0,0,0,0,0,0,0,0,0,0,0.00838504849447315,0,-0.018485414772397,0,0,0,0,0,0,-0.0829346251061456,0,0,0,0,0,0,-0.0276316259486157,0.0656944776494428,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.258762742211245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637991754820192,0,0,0.0179411781949385,0,0,0,0,0,0,0.0654156154258975,0,0,0.0870087888441497,0,0,0,0,0,0,0,0,0,0,0,0.0825615791305137,0,0,0,0.0119519890630552,0,0,0,0,0,0
X000568.SZ,0,0.487126493288226,0,0,0,0,0,0.0949697735424443,0,0,4.33680868994202e-19,0,0,0,0,0.0579128110426259,0,0,0.114853979087764,0,0,0,0,0,-0.0489275278735662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153396841206517,0,0,0,0,0,0
X002475.SZ,0,0.186700534735251,0,0,0.116368468599211,0,0,0,0,0,0,0,0,0,0,0.152532325883829,0,0,0,0,0.257498567279715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715316399674017,0,0,0.103453099445457,0,0,0,0,0,0,0,0.0895119546702338,0,0,0,0.0141324321201615,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,3.46944695195361e-18,0,-0.0173728027967593,0,0.0437284942343303,0,0.0488029522937689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208846284980663,0,0,0,0,0,0,0,0,0,0,-0.00636629338921867,0,0,0,0.113116718407613,0,0,0,0,0,0,0,0,0.359289107576325,0,0,-0.0223500413754974,0.0490426349104947,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.122555969178135,0,0,0,0.0771513815504899,0,0,0,0,0,0,0,0,0,-0.0303456759591128,0.148279897685434,0,0,0,0,0,0,0,0,0,0,0,0.0436283100784988,0,0,0,0.0424066069756381,0,0,0,0,0,0,0,0,0,0,0.0218628339467025,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.138333449027562,0,0,0.0196093573847757,0,0,0,0,0,0,0.0122584640237806,0,0,0,0,0,0,0,0,0,0,0,0.0174255189391698,0.238098286411868,0,0,0,0,0,0.0111460692535369,0,0,0,0,0,0,0,-0.123476170435084,0,0,0,0,0,0,0,0.00255461790356718,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138552694654532,0.0840899394139689,0,0,0,0,0,0,0,0,0,0.0285773393178603,0,0.161157230692908,0.0205306460842264,0,0,0,0,0,0,0.110251524093236,0,0,0.00820222963033729,0,0.017987038632981,0,0,0,0.0225001296626836,0,0,0,-0.00557356276496881,4.33680868994202e-19,0,0,0,0,0,0
X600741.SH,0,0,0.0164496847034407,0,0,0.190821746366686,0,0,0,0,0.269565258341668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110551570084558,0,0,0,0,0.1343709309121,0,0,0.0510975172180982,0,0,0,0,0,-0.0473141727488948,0,0,0.0350492303913751,0,-0.0816581401786628,0,0,0,0,0,-0.0200756094059287,0,0,0,0,0,0
X600809.SH,0,0.349519189682893,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0783673160786166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283224366438904,0,0,0,0.0247604325432998,0.0260475665248269,0,0,0,0,0,0,-0.00300477083291438,0,0.0824214498393329,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.00567896215026462,0,0
