,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600690.SH,X600809.SH,X002475.SZ,X002304.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300014.SZ,X300124.SZ,X003816.SZ,X000100.SZ,X000063.SZ,X000157.SZ,X600703.SH,X000596.SZ,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002007.SZ,X002179.SZ,X002371.SZ,X300142.SZ,X002236.SZ,X002049.SZ,X002414.SZ,X600584.SH,X601799.SH,X300003.SZ,X600183.SH,X002074.SZ,X000800.SZ,X000799.SZ,X300146.SZ,X000066.SZ,X002008.SZ,X600089.SH,X600707.SH,X000977.SZ,X600177.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.15282397002169,0,0,0,0.228417038791678,0,0,0,0,0.00430118931915209,0,0,0,0,0,0,0,0.0182569053291336,0,0.0492810491191253,0,0,0,0,0,0,0,0,0,-0.0932648185692899,0,0,0,0,0,0,0,0,0,0,0.0055098025244727,0,0,0,0,0,0,0,0,0,0,-0.0266819575374664,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.354760783834512,0,0,0.124717725325765,0,0.0331704257052939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216167824685559,0,0.13851154929268,0,0,0,0,0,0,0,0,0,-0.0142336344848625,-0.00835437948404476,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.149196996833476,0.0326492389646744,0,0,0,0,0.0491595900679429,0,0,0.0408781799231175,0,0,0,0,0,0,0,0,0,0,0,0.0558587869617437,0,0,0,0,0.414808428017364,0.0379179174991082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774072373569689,0,0,0,0,0,0
X600276.SH,0,0.0245017938053607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929193362355901,0,0,0,0,0,0,0,0,0.174776211076011,0,0,0,0,0,0,0.0763689215904949,0,0,0,0,0,-0.144390723440748,0,0,0,0,0,0,0.0776897171266056,0,0.000123750788470525,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.155880053954064,0.157606499669447,0,0,0,0,0,0,0,0.0343947046925579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608640642724443,0,0,0,0,0,0,0.0508037927598303,0,0,-0.101488730857924,-0.0226233566291759,-0.000870334621963892,0,0,0,0,0,0,0
X000568.SZ,0,0.61485679299083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390646447491913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326658450802917,0,0,0,0,0,-0.0186858897939555,0,0,0,0,-0.0273013850337387,0,0,0,0,0,0
X600031.SH,0,0,0.0872507664851144,0,0,0,0,0,0.290732796037978,0,0,0,0,0,0,0,0,0,0,0,0,0.197470255858693,0,0,0.136001773262081,0,0,0,0,0,0,0,0,0.0360234276406891,0,0,0.012989173148526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00570525388240636,0,0,0,0,0,0,0
X600690.SH,0,0,0.205466499896977,0,0,0,-6.93889390390723e-18,0,0.285019849324389,0,0,0,0,0.138874066895088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364796234729335,0,0,0,0,0,0,0,0,0,0,0,0.0314670600444438,0,0,0,0,0,0,0,0,0,0.0145879793956524,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.184395786367172,0.0862863122702853,0,0,0,0,0,0,0,0.0595662680904302,0,0,0,0,0.030014030797237,0,0.15213595491673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226571329281681,0,0,0,0,0.116527776131551,0,0,0,0,0,0,0,0,0,-0.0310946165182288,-0.0369665921711588,0,0,0,0,0,0
X002475.SZ,0,0,0.0803516050303943,0.136868931537459,0,0,0,0,0.0466495992712098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429158193873133,0,0,0,0,0.0472917975565218,0,0,0,0,0,0,0,0.0173073628418206,0,0.0539516784476151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
