,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000625.SZ,X000338.SZ,X002456.SZ,X002241.SZ,X600487.SH,X002008.SZ,X300136.SZ,X601877.SH,X600066.SH,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X600271.SH,X300003.SZ,X002294.SZ,X600867.SH,X002085.SZ,X600089.SH,X000981.SZ,X600699.SH,X600498.SH,X600177.SH,X000157.SZ,X300142.SZ,X000596.SZ,X000050.SZ,X000661.SZ,X600118.SH,X600566.SH,X002180.SZ,X600584.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.25558116038142,0,0,0,0.0957320872767436,0,0,0.0557011200665155,0,0,0,0,0,0,0,0,0,0,0,0,0.128396263006864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049637288131294,0,0,0,0,0,0,0.0218211077264354,0,0,0,0,0,0,0.00725762794571938,0.017211498288163,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0273281363367102,0.117146356076161,0,0.0959527754849315,0.0519821502831044,0,0,0,0,0,0,0,0.0890895988597915,0,0,0,0,0.0540899751406637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584050567804751,0,0.0141238059482573,0,0,0,0.0623350479520895,0,0,0,-0.0258549711602186,0.0341443809585428,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0519394747065997,0,0,0,0.127772522566525,0,0,0,0,0,0.0947250885790681,0.267620257711267,0,0.0547478696035082,0,0,0,0,0.151817658342597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608813537671789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0276410048804249,0,0,0,0,0,0,0.0458543995440674,0,0,0,0.298294213001732,0,0,0,0,0,0,0,0,0,0.0036892912143515,0,0,0,0,0,0.246481671445024,0,0,0,0,0,0,0,0,0,0.0951344132945239,0,0,0,0,0,0.123741762139473,0,0,0,0,0,0,0,0.00373959694648047,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0743904809259383,0,0,0,0,0,0.00689714510421339,0,0.0769535149321133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136308588036225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117682174209584,0,0,0,0,0,0.089263052732419,0,0,0,0.0135127075249325,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.267576737042042,0,0,0,0,0.104653491603367,0,0,0,0,0,0,0,0,0.0973496627930684,0.10473206597717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724785707278507,0,0,0,0,0.0417747580868779,0,0,0,0.051594383865109,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.057860813765155,0,0,0,0,0.185678727795895,0,0,0.0786573943562651,0.0836602937545306,0,0,0,-0.233903279709738,0,0,0.0356250595320189,0,0,0,0,0,0.120730033765115,0,0,0,0,0,0,0,0,0,-0.0156611620997734,0,0,0,0.128455392596052,0,0,0,0,0,0,0,0,0,-0.00572157204774035,0.00718324268623733,0,0,0,0,0,0
X002304.SZ,0.194794709507318,0,0,0,0,0,0,0,0,0,0.0807482685090798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258288917550453,0,0,0,0,0,0,0,0,0,0,0.0288153744529376,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.324074137398913,0,0,0,0,0,0,-0.106479557961024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140774723750939,0,0,0,0,0,-0.0329421909006988,0,0,0,0,0.121549707166992,0.243146749024951,0,0,0,0,0,0,0,0,0,0.299036921099297,0,0,0.0166225756918293,2.16840434497101e-19,-0.0298372246633343,0,0,0,0,0
X600690.SH,0,0,0,0,0.133816777966928,0,0,0.0859600422009439,0,0,0.0898110509242283,0,0,0,0.0894412181949597,-0.208860586077764,0,0,0,0,0,0.140640146735864,0,0,0,0.178227003782441,0.232090363415975,0,0,0.0323937880657326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174496427519885,0,0,0,-0.00389766445517954,0,0,0,0,0,0
