,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X002475.SZ,X600809.SH,X600690.SH,X000063.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000725.SZ,X600031.SH,X002129.SZ,X000596.SZ,X000625.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X000100.SZ,X000977.SZ,X600372.SH,X002236.SZ,X002241.SZ,X601877.SH,X000157.SZ,X600741.SH,X600584.SH,X000661.SZ,X600522.SH,X000733.SZ,X002074.SZ,X002180.SZ,X000066.SZ,X600460.SH,X300003.SZ,X300142.SZ,X600702.SH,X002007.SZ,X300146.SZ,X002463.SZ,X000800.SZ,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.231980269587445,0,0.0466772075366503,0.0564369552824487,0,0,0,0,0,0,0,0.0614785969853355,0,0,0,0,0,0.045190557390183,0,0,0,0,0,-0.060256148933718,0,0,-0.00150162135426593,0,-0.00955203509537282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,-0.00106869793079641,0,0,0,0,0,0,0
X000858.SZ,0.0136960265880518,0,0,0.239136392141357,0,0,0.0743391870320172,0,0,0,0,0,0,0,0,0,0.12677710840346,0,1.0842021724855e-19,0,0,0,0,0,0,0.00144794903960318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108259254399522,0,0,0,0,0,0,-0.0135003628052725,-0.0377112985069884,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0056426576454862,0,0,0,-0.137090527177502,0,0,0,0,0,0,-0.126533654172871,0.291081492082117,0,-0.0833492422566502,0,0.222663789522048,0,0,0,0,0.290723054366557,0,0,0,0,0,0,-0.129806382453684,0,0,0.14364254781684,0.106292032921432,0,0,0,0,0,0.213314850017951,-0.113087204128058,0,-0.0309217818697418,0,0.00429768182719857,0,0,0,0,0,0,0
X000568.SZ,0,0.52432197783079,0,0,0,0,0,0,-0.00636597680348605,0,0.131363216079924,0,0,0,0,0,0,0,0.0143204906925272,0,0,0,0,0,-0.144466220771511,0,0,-0.0340819742565666,0,0.0249544645922287,0,0,0,0,0,0,0,0,0,0,0,-0.0129311285211177,0,0,0.162959827265442,0,0,0,0,0,0,5.42101086242752e-20,-0.0209803013368778,0,0,0,0,0,0
X600276.SH,0,0,0.144931578672981,0,0,0,0,0,0,0,0,0,0,0,0,0.0605270853312174,0,0,0,0.0134972554404622,0,0,0,0.0201339268696852,-0.1026724358492,0.0979901258223253,0,0,0,0,0,0,0,0,0,0,0.0957631635640631,0,0,0,0,0,0,0,0,0,0,-0.215149419729354,0,0.0298583901172242,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0646979057026525,0,0,0,0,0,0.00907139649686238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559995142835661,0,0.0349743928893263,0,0.0609100919639343,0.380772704914518,0,0,0,0.0715060285662798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026002531387764,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.00964089209067038,0,0,0,0,0,0,0,0.176030232968411,0,0,0,0,0,0,0,-0.144928457849662,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0224474096435789,0,0.030153111317475,0,0.109755960172091,-0.00831694658865683,0.0218779063418331,0,0,0,0,-0.357761683744665,0,0,0.127474504720347,0.0424897959297173,0.172256230504253,0,0.0217186013862352,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.171275874841606,0,0,0,-0.017617725029854,0.189278827972883,0,0,0,0,0,0.145586473924989,0.135272994455123,0,0,0,0,0,0,0,0,0,0,0.0027099129798734,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.11408929271585,0,0,0,0,0,0,0,0,-0.0328488462369228,0.0260292694456782,0.032362420845351,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.19169554555034,0,0,0,0,0,0,0.213344332887867,0,0,0,0,0,-0.0202852190583403,0,0,0,0,0,0,-0.243122503178001,0,0.230609750038847,0,0.0703820786565032,0,0,0,0,0,0,0,0,0,0.100398484717244,0.0780724061112572,0,0,0,0.0454273679757431,0,0,0,-0.155855906386493,0,0.0994010024372291,0.143208280221247,-0.18436543964908,0,-0.452754180536071,0,0,0,0
X000651.SZ,0,0,0,0.241979562174003,0,0,0,0,0.174013582468179,0,0,0,0.00887491888612131,0,0,0,0,0,0,0,0,-0.0557319525993835,0,0,0,0.0382126041891778,0,0,0,-0.0417925725389836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114808624802001,0,0,0.0130358924925657,0,0,0,0,0,0,0,0,0,0,0
