,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X003816.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600809.SH,X600690.SH,X600703.SH,X002371.SZ,X000596.SZ,X600183.SH,X300003.SZ,X002007.SZ,X002241.SZ,X000100.SZ,X600741.SH,X300142.SZ,X300014.SZ,X300124.SZ,X000977.SZ,X000157.SZ,X601877.SH,X002129.SZ,X000625.SZ,X002236.SZ,X002463.SZ,X600584.SH,X000800.SZ,X002456.SZ,X300136.SZ,X002049.SZ,X600118.SH,X002414.SZ,X600498.SH,X002185.SZ,X002179.SZ,X000066.SZ,X600522.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191863581356287,0,0,0,0,0,0.0868535577403667,0,0,0,0,0,0,0,0.00907976919732382,0,0,0,0,0,0,0,0,0,0.0555739206489361,0,0,0,0.0628711845182496,0,0,0,0,0,0,0,0,0,0.00921215388476126,0.0135486719542341,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0600056221694793,0.164690696735463,0,0,0,0,0,0,0.333739601037221,0,0.126618898352976,0,0,0,0.0929274479622444,0,0,0.0319551057361541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00844144398647019,0,0,0.0055070288169907,0.0170629345357457,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0862396950254807,0,0,0,0,0,0.13775445801759,0,0,0.165561107341577,0,0,0,0,0,0,0,0,0,0,0.0576400919546622,0,0,0,0.0279650143113609,0,0,0,0.0615455319653764,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0165424770614558,0,0,-0.0052073193772207,-0.00992596682199758,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.135389250056697,0.036887280904847,0,0,0,0,0,0,0,0,0,0.0852532122085278,0,0,0,0,0,0,0,0,0,0,0.00993491070679038,0,0,0,0,0,0,0,0,0,0,0,0,0.0361252727603501,0,0,0,0,0,0,0,0,0,0,0.0103804639064129,0.0116435239836002,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595595658188538,0.112753468653529,0,0,0,0,0,0,0,0,0,0,0,0,0.0563951746996068,0,0,0,0,0,0.068804809892495,0,0,0,0,0,0.0903863266288469,0.0761436553270492,0,0,0,0,0,4.33680868994202e-19,0,0.0153924525533868,6.93889390390723e-18,0,0.00965278508363935,0.0258910329221608,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073391059867657,0,0,0.0871096318624734,0.130835676423997,0,0,0.0285882183865998,0,0,0,0,0.0885374228409167,0,0,0,0,0,0.0659907370028706,0.0143855865557405,0,0,0,0,0.0212745826301489,0,0,0,-3.46944695195361e-18,0,0,0.0212468796665719,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566166305199752,0,0.047671389705039,0,0,0,0.171783345262639,0,0,0,0.0764357931327555,0,0,0.0488980075458917,0.174308000892341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228901926611627,0.0421921792215425,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0171566472781218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757715542133772,0.179236499233693,0,0,0,0,0,0,0,0,0,0,0,0,0.220711561539002,0,0.153272269568987,0,0,0,0.0930872529235957,0,0.0156805357730614,0.0293288501317561,0.168127764564555,1.38777878078145e-17,0,0,0,0,0,0,0.0133767216077637,0.0150784213499876,0,0,0,0,0,0
X600031.SH,0,0.0684995482300374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166044880911825,0,0,0,0,0.0767153852775226,0,0,0,0,0.296415268173061,0,0,0.0553513783123667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114627081950533,0.0283911431230095,0,0,0,0,0,0
X002304.SZ,0,0.151572857420469,0,0,0,0,0,0,0,0,0,0,0,0,0.189781324375188,0,0.0419625795559557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290133857420278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463961916961662,-0.00123757956627405,0,0,0,0,0,0
X003816.SZ,0,0,0.0526105963476748,0,0.0902642241835056,0,0,0,0,0,0,0.164170365251491,0,0,0,0,0,0,-0.0452209507386429,0,-0.0173079322786578,0,0,0,0.00505903843670416,0,0,0,0,0.0267322588658674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150752612376687,0,0,0,0,0,-0.00893904671077258,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521591131417662,0.0278187045334418,0,0,0,0,0,0,0,0,0.130894919307165,0,0,0,0,0,0,0.0653206317599737,0,0,0,0,0,0,0,0,0,0,0.0051606071577878,0,0,0,0,0,0
