,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000625.SZ,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X000100.SZ,X300124.SZ,X601877.SH,X300003.SZ,X600487.SH,X002085.SZ,X002508.SZ,X300136.SZ,X600809.SH,X002008.SZ,X000157.SZ,X600271.SH,X600177.SH,X600089.SH,X600522.SH,X002294.SZ,X600118.SH,X600867.SH,X000050.SZ,X300115.SZ,X000559.SZ,X600699.SH,X000981.SZ,X600372.SH,X600566.SH,X600498.SH,X002074.SZ,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0380243300289396,0,0.224079217319049,0,0,0,0,0,0,0.124504274385294,0,0,0,0,0,0,0,0,0,-0.0212405845357867,0,0,0,0,0,0.0461270293201273,0,0.1133805824009,0,0,0,0,0,0,0,0.0220775184326504,0,0,0,0,0,0,0,0,0,-0.090896841531658,0,0,0.00207415351598499,-0.00459578405370761,0,0,0,0,0,0
X600104.SH,0,0,0,0.104769638633573,0,0,0,0,0,0,0.0308456667224877,0,0.106799262881512,0.361063791055474,0,-0.0674478728400497,0,0,0,0,0.124728445604713,0,0.019308177805157,0,0.258008235611006,0,0,0,0,0,0,0,0,0,-0.0258051535261787,0,0,0,0,0,0,0,0,0,0,0,-0.33841016081449,0,0,0,0.00334656074919263,-0.0207677187401299,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0991024179731166,0,0.219783259924726,0.209643154418481,0,0,0,0,0,0,0,0,0,0,0.0840180080532468,0,0.0625668209858715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382868718138268,0,0,0,0,0.0085575594993738,-2.16840434497101e-19,0,0,0,0,0,0
X000651.SZ,0,0.0915918197382545,0,0,0.0726780579358574,0,0,0,0,0,0.0712363650949396,0,0.0284420750809318,0.0515206920206801,0,0,0,0.0533238679997663,0,0,0,0,0,0,0,0,0,0.128221071313637,0,0,0,0,0,0,0,0,0,0,0,-0.0439943742546841,0.0227164179238169,0,0,0,-0.000220885636410158,0,0,0,0,0,-0.00263232796090867,0.00209615991333693,0,0,0,0,0,0
X000858.SZ,0,0,0.0217445890152027,0.140956028362637,0,0,0,0,0,0,0,0.405199963181574,0.135045294339674,0,0,0,0,0,0,0,0.0962439688219133,0,0,0,0.0352269941104852,0,0,0,0,0.0827768871182231,-0.0216420161757016,0,0,0,0.023830925999639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00719108245962372,8.67361737988404e-19,0,0,0,0,0,0
X600276.SH,0,0.14772423071612,0,0,0.246483237381525,0,0,0,0,0,0,0.057377004958171,-0.010186419061992,0,0,-0.0436024601334412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0707638537839491,0,0,0,-0.0216417669882581,0,0,0,0,0,0.0879809802247851,0,0,-0.0318491429021384,0.0121142325112258,-0.00141492263666281,0,0,0,0,0,0
X000725.SZ,0,0,0.182843598006305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305833654919151,-0.0209864855658459,0,0,0,0,0.015122695159589,0.162352574732673,0,0,0,0,0,0,0,0,0,0,0,0,0.0925183987028417,0,0,0,0,0,0,0.135079972290951,0,0,0,-0.00182278365081918,0.000674454047595413,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.246092499775971,0,0,0,0,0,0,0.381044293414926,0,0.11656359423897,0,0,0,0.0921021151481678,-0.190624350201187,0.00664695959334446,0,0,0,0,0,0,-0.042196336200326,0,0,0.0146888007178516,0,0,0,0,0,0,0,0,-0.120768006317685,0.0280083526455932,0,0,0,0,0,0,-0.0486835848619397,0,0,0,-0.00633969309666089,0.0150540294679045,0,0,0,0,0,0
X000063.SZ,0,0,0.108697523134285,0,0,0,0,0,0,0.018701259916044,0,0,0.113899196670722,0,0,0.0233820693613043,0,0,0,0,0,0,0,0,0,0.142398498039789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0433530170101526,0.0942910189582904,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.249700316701599,0.228445926223759,0,0.102467872402261,0,0.144480717200679,0,0,0.139714976748597,0,0,0,0,0,0,0,0,-0.0461564850006592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769020348962148,0.0142855013026666,0,0,0,0,0,0
X600690.SH,0,0,0,0.398133252641659,0,0,0,0,0.00370585295271825,0,0,0,0.100165302541583,0.211040810916798,0,0,0,0,0,0,0,0,0,0,0,0,0.0499309757116474,0,0,0,0.031844271003825,0,0,0,0,0,0,0,0,0.00346041545691021,0,0,0,0,0,0.0689572805945075,0,0,0,0,0.0159854747729369,0,0,0,0,0,0,0
X000568.SZ,0.0717646997878355,0,0,0,0.413100592587497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561496366181019,0,0,0,0,0,0.109009642625169,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0392193028927485,0,0,0,0,0,0,0,0,0,0,-0.00281800517002311,-0.00865382559664367,0,0,0,0,0,0
X002236.SZ,0,0,0.306254883639222,0,0,0,0,0,0.0926451565503774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14056818075004,0,0,0.169959469272298,0,0,0,0,0,0,0,0,0.0386828411793629,0.129772063500635,0,0,0,0,0.00682042453746191,0,0,0,0,-0.00567119592634199,0.003220432863999,0,0,0,0,0,0
X600741.SH,0,0.534147195265745,0,0,0,0,0,0,0,0.0958259998895405,0,0,0,0,0,0,0,-0.0643148215935853,0,0,0,0,0,0,0,0,-0.0437660745658027,0.0262962177973908,0.0982294650354052,0.0364682842296297,0.0402032475713137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261174871771543,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0136293555334503,0,0,0.226859870184117,0,0,0,0,0,0,0,0,0,0,0,-0.0399542986102095,0,0,0,0.135021739462588,0,0.329494332157386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033845241397337,0,0,0.0100751889606544,-0.0455211234412762,0,0,0,0,0,0
X002241.SZ,0,0.0987147078073729,0,0,0,0,0,0,0,0.252465023375009,0,0,0,0.112275191677553,0,0,0,0,0.273824333800205,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438338604169129,-0.006420797048567,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0432180585174341,0,0,0.0176898908573217,0,0,0,0,0.103475229085876,0,0,0,0,0.0983511015798809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157345588198649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0,-0.0827006322269706,0,0.0875228476774985,0,0,0,0.2364429151109,0,0,0,0,0,0,0,0,0,0.0756062737661952,0,0,0,0,0,0,0,0,0,0,0,0,0.346132148282374,0,0,0,0,0.166038592143484,0,0,0.31894783795076,0,0,0,0,0,0,0.0215329457258432,0,0,0,-0.016772960987591,0.0343499279004349,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.109546316008899,0,0,0.229828217751343,0,0,0,0,0,0,0,0,0,0.16897614280856,0,0,0,0,0.0743189102935643,0,0,0,0,0,0,0,0,0.0492358461577497,0,0,0,0,0,0,0,0,0,0,-0.0106330298800878,0.0396960574036534,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,-0.0467595609107644,0,0,0.0536400732301892,0,0,0,0,0,0,0,0,0.463333479492017,0,0,0,0,0,0,0,0,0,0,0,0,0.242479381272537,0,0,0,0,0,0,-0.119424957137206,0,0,0,0,0.0584107671830068,0,0,0,0.0655245663783611,0.0482931435963102,0,0.00540279237803371,-0.00627678487585049,0.0239810357213456,0,0,0,0,0,0
X600066.SH,0,0,0.0712071404149532,0,0,0,0,0,-0.151925880869156,0,0,0,0,0,0,0,0,0,-0.00905148687673914,0,0,0,0.123045347402743,0,0,0,0,-0.020844093131938,0,0.102442870858294,0,0,0,0,0,0,0,0,0,0,-0.0430875943538962,0,0,0,0,0.119732816508029,0,0,0,0,-0.000920136551751191,2.71050543121376e-20,0,0,0,0,0,0
