,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X600104.SH,X002304.SZ,X300124.SZ,X000625.SZ,X000725.SZ,X002371.SZ,X000338.SZ,X000063.SZ,X000596.SZ,X600031.SH,X300014.SZ,X000100.SZ,X600089.SH,X002179.SZ,X002129.SZ,X600703.SH,X002241.SZ,X000157.SZ,X600372.SH,X002236.SZ,X600741.SH,X000661.SZ,X002049.SZ,X000977.SZ,X600584.SH,X601877.SH,X002463.SZ,X600522.SH,X600183.SH,X601799.SH,X002028.SZ,X000800.SZ,X002074.SZ,X002007.SZ,X600460.SH,X600066.SH,X002223.SZ,X000921.SZ,X002156.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.216441036296767,0.217363000433687,0.049975545896457,0,0,0,0,0,0,0,0,0,0.0121661561358174,0,0,0,0.0179435022342463,0,0,0,0.0360015000792468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540188951117596,0,0.0192187288864304,0,0,0,0,0,0,0,0,0,0.00401077223568022,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.49350831861748,0,0.0271742228097972,0,0,0,0,0,0,0,0,0,0,0,0,0.139368294784088,0,0,0,0,0,0,0,0,0,0,0,0,0.0302397761521982,0,0,0,0.00316826364823652,0,0,0,0,0,0,0,-0.0525100633715674,0,0.0454903962210646,0,0,0,-0.00275138347084,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.057544459409635,0,0,0,0,0,0.347068987525781,0,0,0,0,0.121596876941099,0,0,0.171336207358395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523225142759644,0,0,0,-0.0544621153673642,0,0,0,0,0,0,-0.00225768578345975,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276450395336533,0,0,0.117633098584361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251564912496546,0,-0.0351665522138076,0,0,0,0,0.0264918843378023,0,0,0.0372740796641407,0,0.050747980804211,0,0.0676215241398568,0.0916634055324838,0,0,0.0766722847139241,0,0,-0.00786927919247637,0,0,0,0,0,0
X600809.SH,0.0604233420818799,0,0,0,0,0.46135507164717,0,0,0,0,0,0,0,0,0,0,0,0,0.270546759906203,0,0.0238321049258736,0.0605104429350127,0,0,0.0805474390504774,0,0.0207187834761773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786371804325224,0,0,0,0,0,0,0,0,0,-0.0135779440955481,0,0,0,0,0,0,0
X000568.SZ,0,0.78071234266611,0,0,0.264454487231357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499819373544596,0.0218477284446736,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00022093736566631,0,0,0,0,0,0,0,0,0,0,0,0,0.0126404240442637,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312226757940079,0,0.0203559018133626,0,0,0,0,0,0,0,0,0,0,0.263042133103522,0,0,0,0,0,0,-0.0715927415967869,0,0,0,0.105368754391661,0.0602601733603252,0,0,0.051956431979002,0,0,0,0,0,0,0,0,0,-0.0601758775304452,0.0225018610349538,0,0,0,0,0,0
X600690.SH,0,0.026835478808007,0,0,0,0.325860010296406,0,0,0,0,0,0,0,0,0,0,0.0381759610849591,0,0,0,0,0,0,0,0,0,-0.0338711847642313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906721264761784,0,0,0,0.00242876724570695,0.0199846540641058,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0511193343415754,0,0,0.165801592590834,0,0,0,0,0,0.0226119440385245,0,0,0.0219475284286012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067828443084194,0,0,0,0,0,0,0,0,0,0,0,0,0.000304223170746829,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758167789356322,0,0,0,-0.0071572786265305,0,0,0,0,0,0,0,-0.0325692713351501,0,0,0,0,0,0,0,-0.0709118534663463,0,0,0,0,0,0,0,0.00815359449934075,0,0,-0.001743589091508,0,0.15619505402634,0,0,0,0.0974215987460461,-0.0134075962455517,0.0101476737965247,0,0,0,0,0,0
