,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X000625.SZ,X002008.SZ,X600809.SH,X600487.SH,X601877.SH,X002241.SZ,X000100.SZ,X600066.SH,X002456.SZ,X002508.SZ,X300003.SZ,X300124.SZ,X002294.SZ,X600867.SH,X300136.SZ,X600271.SH,X600522.SH,X000596.SZ,X600089.SH,X000157.SZ,X600177.SH,X002085.SZ,X600566.SH,X000661.SZ,X000981.SZ,X600498.SH,X600699.SH,X300142.SZ,X002179.SZ,X002180.SZ,X600118.SH,X600707.SH,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.117492133632462,0,0.625956419389753,0,0,0.155910079273636,0.0209631493482006,0,0,0,0,0,-0.0302059797505413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975606757972139,0,0,0,0,0.0406402846359407,0,0,-0.00650707045565512,0.0171075391483381,0,0,0,0,0,0
X600104.SH,0,0,0,0.0161846701904622,0.125661721777098,0,0,0,0,0,0,-8.67361737988404e-19,0.189344021731493,0,0,0,0,0,0,0,0,0,0,0.025855192938706,0,0.0769222912911873,0,0,0,0,0,0.0498794851131033,0,0,0,0,0,0,0,0,0,0,0,0,0.0958403093703618,0,0.0875622900907815,0,0,0,0,-0.0216625490734773,0.0182220721665223,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.1139570985301,0,0,0,0,0,0,0.228655234094334,0,0.324802392299308,0.0990170860453135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370217697860291,0,0,0,0,0,0,0,0,-0.00425594986943411,0,0,0,0,0,0,0
X000858.SZ,0.303169023093168,0,0,0,0.365422026620788,0,0,0,0,0,0.237134555204389,0,0,0,0,0,0,0,0.0272295631400416,0.0816869252129007,0,0,0,0,0,0,0,0,0,0,0,-0.0124423855989531,0,0,0.0254908443035365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00257418063404637,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.54524068209545,0,0,0,0,0.0861805383333067,0,0,0,0,0,0,0,0.0625901357598329,0,0,0,0,0,0,0,0,0,0.0261501457918621,0,0,-0.107162130144882,0,0,0,0,0,0,0,0,0,0,0.0959114133926261,0,0,0,0,0,0,0,0,0,0,0,0.0178081655284452,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.60967572216561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247413395146423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701508278951923,0,0,0,0,0,0,-0.0865607654232025,0.148464874391089,0,0,0,0,0,0
X600276.SH,0.0193885671210534,0,0.0317944169372553,0,0,0.0647475794968863,0,0,0,0.091562237479342,0.140855486919088,0.156645285984008,0,0,0,0,0,0,0.075592767175668,0,0.00825776578939067,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00771563482599277,0.0229692934567608,0,0,0,0,0,0
X002304.SZ,0.191939291510815,0,0,0.30014665419256,0,0,0,0,0,0,0.0815405608062321,0.0266814153683863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723628776655874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00884864470570007,0.0197037438993554,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.297569212235954,0,0,0,0,0.0193070092433213,0,0,0,0,0,0,0,0.18754956555913,0,0,0,0.105972293014061,0,0,0,0,0,0,0,0,0,0.130144645220181,0.200609187039959,0,0,0,0,0,0,0,0,0.225836530185844,0,0,0,0,0,0,0,0,0,-0.00200254291253668,0,0,0,0,0,0
X600690.SH,0,0,0,0.16586527154244,0.0737705529249243,0,0,0,0,0,0.00766506835531953,0,0.137488055225782,0,0,0,-8.67361737988404e-19,0,0.300753918599919,0,0,0,0,0.0211703283677572,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665683080852991,0,0,0,0,0,-0.000698561482658524,0.00133493312716901,0,0,0,0,0,0
