,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X003816.SZ,X000661.SZ,X000725.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X000596.SZ,X002371.SZ,X002007.SZ,X000100.SZ,X002241.SZ,X300142.SZ,X300014.SZ,X300003.SZ,X600183.SH,X600741.SH,X300124.SZ,X000977.SZ,X601877.SH,X000157.SZ,X002129.SZ,X000625.SZ,X600584.SH,X000800.SZ,X002236.SZ,X002414.SZ,X002049.SZ,X002463.SZ,X000066.SZ,X002179.SZ,X002456.SZ,X600118.SH,X300136.SZ,X600522.SH,X002185.SZ,X002074.SZ,X000021.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.358423305099596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11323419113085,0,0,0,0,0,0,0.000183718188975424,0,0,0,0,0,0,0,0.0358075000008882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314473015001434,0.0230652350625178,0.000649350104420128,-0.0162722536858004,0,0,0,0,0,0
X000858.SZ,0.243031169174068,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.249698955714891,0.40026456410488,0,0,0,0,0,0,0,0.104804563165232,0.00833432751632859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072804257317859,0,0,0.000556540991260485,0,0,0,0,0,0,0
X600276.SH,0,0.142222864275719,0,0,0,0,0,0,0,0,0,0.0757478193509892,0,0,0.106947466656662,0,0,0,0,0.012919586927594,0,0,0,0,0,0.0396287645180224,0,0,0,0.0203982627329408,0,0.134795486118864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122227746516831,0,0,0,0,0,0,0
X000651.SZ,0,0.0688003504319564,0,0,0,0.0790351872367308,0.011560643365077,0,0,0,0,0,0,0,0,0.209479654801553,0,0,0,0,0,0,0,0,0,0,0,0.0356833823002866,0,0,0,0,0,0,0,0,0,0,0.0285815905583914,0,0,0,0,0,0,0,0,0.00414995619319016,0,0,0.0182646225269636,0.00997065802039202,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0590431770217999,0,0,0,0,0,0,0,0,0,0,0,0.0196351510604695,0,0.0416444304147666,0,0,0,0,0.188241427344273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964125142820416,0,0.0241789977517599,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826502676660952,0.150751033622088,0,0.0879488814487125,0,0.149260916906467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438007257448682,0,0.0174533896432067,0,0,0.0205952430541912,0.0115271478428518,0,0,0.0192621330756205,-0.00331574330001303,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0173435321922079,0,0,0,0,0,0,0,0,0,0,0,0,0.151639938767672,0,0,0,0,0,0,0.0963190446222504,0,0.319874668591669,0,0.103689862824143,0,0,0,0.0267884862246868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485532851800567,0,0,0,0.0192489541358455,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443186536284298,0,0,0,0,0,0,0,0,0,0,0.0907965067493384,0,0,0,0.13083246341182,0,0,0,0,0,0,0.055677303536319,0,0,0,0,0.276192004251739,0,0.0307429706813182,0,0,0,0,0,0,0
X002304.SZ,0,0.0943738741089301,0,0,0,0,0,0,0,0,0,0,0,0.0729958846179384,0,0,0.20483567338096,0,0,0,0,0,0,0.0475585645545976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200957778973334,0,0,0,0.0133186466395179,0,0,0,0,0,0,0,0.00279774852640068,0,0,0,0,0,0,0
X600031.SH,0,0.0562620797822076,0,0,0,0.145296271663359,0.0108034389588185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135945467283022,0.0977033857235538,0,0,0,0.0956270469023254,0,0.0164062996581349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116246893822701,0.0370211851698032,0,0,0,0,0,0
