,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X000063.SZ,X300124.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300014.SZ,X002241.SZ,X600703.SH,X000625.SZ,X000596.SZ,X600741.SH,X000100.SZ,X002371.SZ,X002007.SZ,X601877.SH,X002129.SZ,X600584.SH,X300142.SZ,X002179.SZ,X002236.SZ,X000157.SZ,X002049.SZ,X600183.SH,X000800.SZ,X002414.SZ,X601799.SH,X300003.SZ,X000066.SZ,X002008.SZ,X300136.SZ,X002185.SZ,X002456.SZ,X600118.SH,X000977.SZ,X002508.SZ,X300146.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.269755156145497,0.133793068264149,0,0,0.0786222684557047,0,0,0,0,0.239889136879959,0,0,0,0,-0.0364257630584105,0,0,0,0,0,0.0203248691893919,0,0,0.0430329887747545,0,0,0,-0.0380106617990051,0,0.0187379784852433,0,0,0,0.028243883433162,0,0,0,0,0,0,-0.0243738683878925,0,0,0,0,0,0,0,0,0,0.0198620816773133,0,0,0,0,0.0057415140117476,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0660639218927561,0.0616984051013574,0,0.262199419366314,0,0,0,0.000209656672754946,0,0,0,0,0,0,0,0.0113167806860612,0.0405408011301074,0.106649360426429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140159615561967,0,0,0,0,-0.00199946802428895,0,0
X600276.SH,0,0.122624510515875,0,0,0,0.0188114845971814,0,0,0,0,0,0,0,0,0,0.0265254864967337,0,0,0,0,0,0,0.01903324782332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431462298765426,0,0,0.089439955645046,0,0,0,0,0,0,0.0963247062076645,0,0.008552508997445,0,0,0,0,-0.00433471329098274,0,0
X002415.SZ,0,0,0,0,0,0.139550058316098,0,0,0,0,0.064867420143242,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.056757500117171,0.00496071104908883,0,0,0,0,8.67361737988404e-19,0,0.231047892391766,0,0,0,0,0,0.0436479886810446,0,0,0,0,0,0,0,0,0,0,0,0,-0.000386273384039948,0,0,0,0,2.16840434497101e-19,0,0
X000651.SZ,0,0,0,0,0,0,0.016879338415499,0,0,0,0,0,0,0,0,-0.0210787203350888,0,0,0.0463013888969892,0,0,0,0,0,0,0,0,0,0,0,0,0.117897118192884,0,0,0,0,0,0,0,0,0,0.0231884417212729,-0.03654233252927,0,0,0,0,0,0,0.0925159595383204,0,0,-0.0370743629184647,0,0,0,-0.0170001810521992,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0739874547475643,0,0,0,0,0,0,0,0,0,0,0,0.422136715409377,0,-0.036116204688552,0,0,0,0,0,0.127840507385705,0,0,0,0,0.0579273910435091,0,0,0,0,0,0.0234405933175321,0,0,0.0375480028190454,0.167668958502452,0,0,0.012386107727503,0,0,0,0.160886621803622,0,0.01830769358398,0,0,0,0,-0.00663219604690977,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.202139550032017,0,0,0,0,0,0,0.111173986383885,0,0.109783602691085,0,0,0,0,0,0,0,0,0,0,0,0.0572300946625382,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00058495619519839,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.136564854105221,0,0.251539398826759,0,0,0,0,0.0127527033360356,0,0,0.109716344788986,0.0928682572962918,0,-0.0127435628652299,0.0834434092914567,0,0,0,0.00270449333819977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445711306111983,0,0,0.0346437688238034,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.21285236580291,0,0,0.0943142704911521,0,0,0,0,0,0,0,0.193814309203632,0.0947597022526386,0,-0.00559278166132223,0.0609376110780235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239909702890769,0,0,0,0,0,0.0672839824129796,0,0,0.0294609639776096,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0454298072182428,0,0,0,0,0.325557411382174,0.408173733286591,0,0.0122446871907295,0,0,0,0.0138401607931485,0.0494195664770116,0,0,0,0,0.0688807951780386,0,0,0,0,0.0258224800188852,0,0,0,0,0.113456875727839,-0.0927278130454406,0,0,0,0,0,0,0,0,0,0,0,0.0593613203608417,0,0,0,0,0.0128809482817349,0,0
