,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X000338.SZ,X600703.SH,X000568.SZ,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002456.SZ,X002236.SZ,X002008.SZ,X000100.SZ,X600566.SH,X002007.SZ,X600487.SH,X000625.SZ,X002179.SZ,X000661.SZ,X600498.SH,X000596.SZ,X600809.SH,X600867.SH,X300146.SZ,X002180.SZ,X600177.SH,X000157.SZ,X002294.SZ,X002506.SZ,X300136.SZ,X600089.SH,X300142.SZ,X000977.SZ,X600372.SH,X600066.SH,X002241.SZ,X000981.SZ,X600522.SH,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.813590757053337,0,0,0,-0.0130132471318195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102333894553784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254207987912236,0,0,0,0,0,0.00739213516878101,0.00388668715225155,0,0,0,-0.0369261198140508,0,0
X600104.SH,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.037859472692613,0,0.158791182081251,0,0.0219685762247148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128719682010015,0,0.191846765399989,0,0,0,0,0,0,0,0,0,0,0.259910830209078,0,0,0,0,0,0,0,0.00530532448077635,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673786867405233,0,0,0,0,0,0,0,0,0.0696078881740782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241677372665065,0,0,0,0,0,0
X000651.SZ,0.016076431997196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209298089745776,0.073264646961849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242923938731426,0.0657511857296258,0,0,0,0,0,0,0,0,0.115016071756754,0,0.0055330905890799,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345541447955307,0,0,0,0,0.160116704775698,0,0,0,0.0822809989264519,0,0,0,0,0,0,0,0.0406426997308045,0.274518822224495,0,0,0,0.0965799124071019,0,0,0,0,0,0,0,0,0,0,0,-0.0307013299896635,0.0343345257433847,0.00758486206907239,0,0,0,0,0,0
X000858.SZ,0.0715508047415424,0,0,0,0,0,0.210726924996409,0,0,0,0,0,0,0,0.0650998433983014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200813682024871,0.291293061720333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189938820568779,0.0127901229127207,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.218720399055627,0,0,0,0.026677184743019,0,0,0,0,0.451561412229753,0,0.0136417665977487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26451063913545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393868942598855,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131504366509002,0,0,0,0,0,0.159638908457261,0,0,0.0761070200425303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416950487190222,0,0,0,-0.0283019572784287,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.142241700520032,0.0443817858898901,0,0,0,0,0,0,0,0,0,0,0,0,0.107258827434942,0,0,0,0,0,0,0,0,0,0.00387558315903919,-0.00983731987460491,0,0,0,0,0,0,0,0,0,0,0,0,0.284694339471294,0,0.225507472913724,0,0,0,0,0,-6.7762635780344e-21,-0.0304086241216844,0,0,0,0,0,0
X000063.SZ,0,0,0.114679611756457,0,0,0,0,0,0,0,0.0943332312665979,0,0,0,0,0,0,0,0,0,0.421633509647923,0.048018112891855,0,0,0,0,0.0714277260864714,0,0,0,0.0399497407422262,0,0,0,-0.0390988544945234,0,0,0,0,0,0.00836236764399108,0,0,4.33680868994202e-19,0,0,0,0,0.200794276508995,0,0,0.0160180183843941,-0.0369716392458795,0,0,0,0,0,0
