,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X600031.SH,X002475.SZ,X002241.SZ,X600066.SH,X002236.SZ,X000338.SZ,X601877.SH,X000100.SZ,X600271.SH,X002085.SZ,X002456.SZ,X600118.SH,X300124.SZ,X000157.SZ,X600089.SH,X002508.SZ,X600522.SH,X600177.SH,X600372.SH,X002007.SZ,X300136.SZ,X300003.SZ,X600487.SH,X600699.SH,X000981.SZ,X002294.SZ,X002074.SZ,X000066.SZ,X600867.SH,X000559.SZ,X002008.SZ,X600566.SH,X002180.SZ,X002292.SZ,X300115.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0333070869375659,0,0,0,0,0,0,0,0,0,0.237683367270523,-0.116134373435028,0,0,0,0.0756261779248913,-0.009626867087657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552866067640348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680903735295823,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0399531096232916,0,-0.0934449985307906,0,0,0,0,0,0,0,0,-0.0664576079817552,0,0,0,0,0.119025210546833,0.0814427415915735,0,0,0.026948918645914,0,0,0,0.0586287001316376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00707131634506622,-0.00691059943428015,0,0,0,0,0,0
X002415.SZ,0,0,0,0.15394815280467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245914292426134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462791148407391,0,-0.0336430203313241,0,0.0648096707642952,0,0,0,0,-0.0081536088034815,-2.67601360792124e-05,0,0,0,0,0,0
X000651.SZ,0.0348447435872641,0,0.0185832460031981,0,0,0.0291828976293142,0,0.0821719017359745,0,0.0172584810493725,0,0,0,0.253744943558359,0,0,0,0,-3.3881317890172e-21,0,0,0,0,-0.0883206008704376,0,0,0,0,0,0,0,0,0,0,0,0,0.0139002205735807,0,0,0,0,0,0,0,0,0.0350628517534106,0,0,0,0,0,0.00862393175914356,-0.00254067201650239,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0994738527425823,0,0,0,0.176997754987744,0,0,0,0,0,0.23386299995621,0,0,0,0,0.0844693811221511,0,0,0,0,0,0.0653303739666512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0868508682504167,0,0,0,0,0,0,0,0,0,0.00323663748979246,-0.00307086796407958,0,0,0,0,0,0
X000725.SZ,0,0,0,0.229539185032696,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.154392469664188,0,0,0,0,0,0.179032321765177,0,0,-0.0245884893388424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251990489044756,0,0.0490368037125507,0,0,0,0,0.274087878877421,0,0,0,-0.0300174277297253,0.00660406700750876,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.00249112570491409,0,0,0,0,0,0,0.227240996524293,0,0,0,0,0,0,-0.100062860703782,0,0,0,0,0,0.0752626933105901,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0431140590672608,0,0,0,0,0.0215757261768155,0,0,0,0,0,0,0,0,-0.17441928108916,0.0062016881592613,0.00317914362557319,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0651580731966686,0,0,0,0,0,0,0,0,0,0.400855742933054,0.153166303625084,0,0,0,0.0743602576984252,0,0,0.157413794929796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284132355919405,0,0,0,0,0,0,-0.0257673209297408,0,0,0.00706560856765315,0.00336068965889642,0,0,0,0,0,0
X000625.SZ,0,0.0491390322835407,0,0,0,0.0278593706782257,0,0,0,0,0,0,0.343850644181831,0,0,0,0,0,0.138320068720042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228219622823389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00582212653270974,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.12083594011219,0.0360592986996491,0,0,0,0,0,0,0,0,-0.151874801298355,0,0,0,0,0,0,0,0,-0.0715411980977031,0,0,0.234434244554213,0,0,0,0,0,0,0.139083154446797,0,0,0.135864226022597,0,0,0,0,0.000863951880819571,0,0.0341297805053202,0,-0.070473137201202,0,0,0,0,0,0.00767812763903715,0.00527434292871455,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.147426819354737,0,0,0.103738077757873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0925042419743442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328268006705148,-0.0137950973612016,0,0,0,0,0,0
