,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X600031.SH,X000651.SZ,X600809.SH,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000596.SZ,X000100.SZ,X002241.SZ,X002371.SZ,X000157.SZ,X600741.SH,X000625.SZ,X002007.SZ,X002129.SZ,X601877.SH,X002179.SZ,X002049.SZ,X002236.SZ,X002414.SZ,X600584.SH,X300142.SZ,X601799.SH,X600183.SH,X000799.SZ,X000066.SZ,X000800.SZ,X300003.SZ,X600089.SH,X002074.SZ,X002008.SZ,X600779.SH,X000547.SZ,X000050.SZ,X002185.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.116684535821433,0,0,0.0475326979601789,0,0,0,0.0759038904497113,0,0,0,0,0,0.0626716373554567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169329285677067,0,0,0,0,0,0,0.0310016909670642,0,0,0,0,0,-0.023826700376297,0.0267859590061926,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.189345861160485,0,0,0,0.106939162820639,0.0931340899464919,0,0,0,0,0,0,0,0,0,0,0.00187693147530051,0,0,0,0,0,0,0,0,0,0,0,0,0.0130172093161216,0,0,0,0,0.163886627051645,0,0,0,0,0.0349874577332158,0,0,0,0,0,0,0,-0.00609251813434247,-0.0152860177366655,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0651021475331846,0,0,0,0.138046211246386,0,0,0.0466254705135692,0,0,0,0,0,0,0,0,0.113327675461069,0,0,0,0,0,0,0,0,0.100503929256427,0.16773531304911,0,0,0,0,0,0,0.0470522363149717,0,0,0,0,0,0,0,0,-0.0328053806636562,0,0,0,0,0,0,0,-0.00224422337766755,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980060672266468,0,0,0,0,0.0125100790050974,0,0,0,0,0,0,0.00861185640650455,0,0.0287932580459474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426793189596436,0,0,0,0,0,0,0,-0.00435107864347297,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.247567343105675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13442686590785,0,0,0,0,0,0,0.0287167746941682,0,0,0,0,0,-0.0124089272769681,-0.0105354727884069,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0.0756351731912375,0,0,-0.0237553067611431,0,0,0.0396261255476257,0,0,0,0,0,0,0,0,0,0.335786878232687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235492572818192,0,0,0,0,-6.7762635780344e-21,0,0
X600031.SH,0,0,0.0379613414788793,0,0,0,0,0,0.0100390055868529,0,0.0478778419541342,0,0,0,0,0,0,0,0,0,0,0.0478388089767306,0,0,0.156360143725123,0,0,0,0.0528890206146438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663792181204552,0,0,0,0,0,0,0,-0.0307121530226872,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.223530660093798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183174107597546,0,0,0,0,0,0,0,0,0,0,0.0129353910491544,0,0,0,-0.0272073565484092,0,0,-0.00552325337846138,0.0779494805653162,0.0150108098256848,0,0,0,0.221619891708258,0,0,0.00494537070382886,0,0,0,0,-0.0242305967449965,0,0
X600809.SH,0,0.288121059487149,0,0,0,0.192256922855686,0,0,0,0,0.148210302802299,0,0,0,0,0.106428111672155,0,0,0,0,0.13603135488611,0,0,-0.231067960179628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108593849042062,0,0,0,0,0,0.0557848061026628,0.0626962043962242,0,0,0,0,0,-0.016212157579739,0,0,0,0,0.0145322880674195,0,0
X002304.SZ,0,0.119351765720885,0,0,0,0,0,0,0.20068422723587,0,0,0,0,0,0,-0.0919373533846883,0,0,0,0,0.0703876416058727,0,0,0,0,0,-0.0372519966817941,0,0,0,0,0,0,0,0,0,0.212541104499319,0,0.0702692085543604,0,0,0.0620327550784137,0,0,0,0,0,0,0,0,0,-0.0366059454345709,0,0,0,0,0.0115168881687914,0,0
X600690.SH,0,0,0.120457265290213,0,0,0,0.0726663509566047,0,0.31761841346314,0,0,0.0713546527217127,0,0,0,0,0,0,0,0,0,0,0,0,0.0449889760778471,0,0.0237266096989916,0,0,0,0,0,0,0,0,-0.00793000398150152,0,0,0,0,0,0,0,0,0,0.0715666216274315,0,0,0,0,0,0,0.0373709710997309,0,0,0,-0.0109258621671181,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945483841152362,0.0272881844128455,0,0,0,0,0,0,0,0,0.0513728010315818,0,0,0,0,0.312272072408078,0,0,0.288604765344484,0,0,0,0,0,0,0,-0.00682716818513076,0,0,0,0,-0.00802285056374093,0,0
X000725.SZ,0,0,0,0,0,0.15583545450042,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.312928879670616,0.0978792834212562,0.0971734106402473,0,0,0.0937637040977402,0,0.0638785242014927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730110181545506,0,0,0,0,0,0,0,-0.0200614536343406,0,0,0,0,0,0,0
