,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X002008.SZ,X000625.SZ,X002456.SZ,X601877.SH,X600066.SH,X600487.SH,X300124.SZ,X000100.SZ,X600809.SH,X300003.SZ,X002241.SZ,X002508.SZ,X002294.SZ,X300136.SZ,X600867.SH,X600522.SH,X600271.SH,X600566.SH,X000050.SZ,X000157.SZ,X600089.SH,X000981.SZ,X600177.SH,X000596.SZ,X600498.SH,X002085.SZ,X600707.SH,X002179.SZ,X600699.SH,X300142.SZ,X002180.SZ,X000661.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.579501967018006,0,0,0,0,0,0,0,0,0,0,-0.0100338657086234,-3.46944695195361e-18,0,0,0,0,0,0.00558777427785529,0,0,0,0,0,0,0,0,0,0,0,0.0796956000169285,0,0,0,0,0,0.0975855213546834,0,0,0,0,0,0,0,0,0,0,-0.000239915805279644,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0719050904111973,0.218306463395815,0,0,0.179332005050876,0,0.152856746530208,0.0383344623859799,0,0,0,0,0.0120914271721107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474715007822591,0.0779413812660339,0,0,0,0,-0.0273397190539092,0.0314203780929785,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.247158637638871,0,0,0.104936777834846,0,0,0,0.179564216929285,0,0,0,0,0.0991937538109567,0,0,0.0310047645173917,0,0,0,0,0.0799664453167441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160510836160879,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.453566722044429,0,0,0,0.0514943549487057,0,0,0,0,0.082407716309591,0,0.0574240251950682,0.0200679279497128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025304566328007,0,0,0,0,0.00340065654450903,0,0,0,0,0,0,0
X000858.SZ,0.0343199057055497,0,0,0.334680936600175,0,0,0,0.140050466338495,0,0,-5.42101086242752e-20,0.442675693117555,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0530262853108491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171536149915565,0,0,0,0,0,0
X600276.SH,0,0,0.0676410487241061,0,0.0136948043462543,0,0,0,0,0,0.0501592872502328,0,0,0.0181590059204102,0,0,0,0,0,0,0,0,0.230172504891983,0,0,0.0618371618617389,0,0,0.174992142852839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00120621445216865,0,0,0,0,0,0
X000725.SZ,0.0414467014423401,0,0,0,0,0,0,0,0.420908864592634,0,0,0,0,0,0,0.0084584090988015,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.177135171322204,0,0,0,0.03076297796236,0,0,0.15658835253656,0.0317789807793386,0,0,0,0,0,0,0.0809517800703256,0,0,0,0,0,0,0.0613922636734003,0.212867135942395,0,-0.0300008914153101,0.0338086353545838,0,0,0,0,0,0
X002304.SZ,0.182833472420021,0,0,0,0.171904231085681,0,0,0,0,0,0.00779883366423158,0.169849221015649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21607148009087,0,0,0,0,0,0,0,0,0,0,-0.00992354771927091,0.00839777407035686,-0.0825427202673864,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.386567177626751,0,0,0,0,0,0,0,0,0,0,0.0220106182332062,0,0,0,0,0.254509595377481,0,0,0,0,0,0,0,0,0,0,0.49653994897934,0.0994169595098889,0,0,0,0,0,0,0.216897716584347,0,0,0,0,0,0,0,0,0,0,0.00799732589031582,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.488268970174386,0.101345315508238,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516792251960388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940051027195494,0,0,0,0,-0.00987776154690672,0.0208773943580122,0,0,0,0,0,0
