,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X600066.SH,X000100.SZ,X002241.SZ,X002292.SZ,X600177.SH,X600031.SH,X002236.SZ,X600118.SH,X002475.SZ,X000568.SZ,X002506.SZ,X000559.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X002456.SZ,X300124.SZ,X002007.SZ,X000050.SZ,X600867.SH,X002074.SZ,X002294.SZ,X600089.SH,X002180.SZ,X002426.SZ,X000981.SZ,X000869.SZ,X600498.SH,X002508.SZ,X002008.SZ,X002465.SZ,X002249.SZ,X002049.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.00248480469538089,0,0,0,0,0,0,0,0,0,0,0,-0.0407271118226546,0,0,0,0,0,0,0,0,-0.0463296018685508,0,0,-0.0265097902419832,0,0,0,0.332282527056524,0,0,0.0488817813744233,0,0,3.46944695195361e-18,0,0,0,0,0,0.137184420424094,-0.0691903656176741,0,0.0235151679568913,0,0,-0.0631505705061545,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.155703317587781,0,0.147866476926891,0,0.138769000064248,0,0,0,0,0,0.0125242369800854,0,0,0,0,0,-0.0567003419266192,0,0,0,0,0,0,0,0,0,0.0216797863124861,0,0,0,0,0,0,0,0,0,-0.00631609317359383,0,0,0,0,0.0301832768608693,0,-0.00634149170662733,-0.0313276617711532,0.097997113731069,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0561783004211147,0,0,0,0,0,0.101448965607981,0.0749528525929813,0,0,0,0,0,0,0,0,0,0,0,0.0788044121675166,0,0.0781382260402024,3.46944695195361e-18,0,0,0,0.0693919796362831,0,0,0,0,0,0,0,0.0149105941007126,0,0,0.074525443458163,0,0,0,-0.000482876060806899,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.245843849003802,0,0,0,0,0,0,0,0,0,0,0,0.00368405517917259,0,0,0,0,0,0,0.0182899579163502,0,0,0,0,0,0,0,0,0,0.0941895720445714,0,0,0,0,0,0.0546050718208497,0.0663903583095093,0,0,0,0,0,0,0,0,0,0.00602696971019388,0,0,0,0,0,0,0
X002304.SZ,0.263271121487784,0,0,0.301039905539181,0,0,0,0,0,0,0.0543325314531867,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119063240355532,0,0.0780211615119357,0,0,0,0,0,0,0.105470391030626,0,0,0,0,0,-0.041448812089151,0,0,0,0,0,0,0,0,0.12287503623365,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.238317641396099,0,0,0,0,0,0,0,0.0203760380793696,0,0,0,0.118970907128266,0,0,0,0,0,0,0,0,0,-0.0179701086184998,0,0,0,0,0,0,0,0,0,-0.0236938899062473,0,0.0534172087195727,0,0,-0.063944286399892,0,-0.0420316961620434,0,0.220282280204063,0,0,0,0,0.00600295591339662,0,0,-0.0465052888469203,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255995255935964,0,0.105936437324251,0,0,0,0,0,0,0.0675627070587748,0.0925248779068413,0,0,0.0223536991682752,0.0682234743075912,0,0,0,0,0,0,0,0,0,0,0,0.0617391928657147,0,0,0,0.00548792041172854,0,0,0,0,0,-0.0120288587150346,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.220338500329055,0,0,0,0,0,0,0,0,0,0,0,0,0.0757744340625427,0,0.114779761685102,0,-0.0194104293657987,0,0,0,0,0,0,0,0.042574753163135,0,0.0451770763878548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.11287650229693,0,0.100136414391344,0,0,0,0,0,0,0,0.150653946373485,0,0,0,0,0,0.00971567410490645,0.160700798237968,0,0,0,0,0,0,0,0,0.0255280412236331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112608709954905,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0719459803395339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10300825402357,0,0,0,-0.0807001509879629,0,0,0,0,0,0,0,0,0,0.0838377748846478,0.00515142482109228,0,0,0,0.353869019326497,0,0.00394503226443356,0,0.11312251817334,0,0,0,0,0,0,0.033259164865108,0,0,0,0,0,0,0,0,0
