,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X600066.SH,X002236.SZ,X000338.SZ,X000100.SZ,X601877.SH,X002456.SZ,X002085.SZ,X600271.SH,X600118.SH,X000157.SZ,X300124.SZ,X600089.SH,X002508.SZ,X600522.SH,X600177.SH,X600372.SH,X300136.SZ,X002007.SZ,X600487.SH,X000981.SZ,X300003.SZ,X600699.SH,X002294.SZ,X000066.SZ,X002074.SZ,X600867.SH,X002008.SZ,X002180.SZ,X000559.SZ,X600566.SH,X000623.SZ,X002426.SZ,X002292.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.00537913704558339,0,0,0,0,0,0,0,0,0.237915963761826,0,-0.102862984988163,0,0,0,0.0767203354118657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104371502942154,0,0,0,0,0,0,0,0,0,0,0,0.0483350291203636,0,0,0,0.00233708622742512,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0461547196117878,0,0,0,0,0,0,0,0.199493354724956,0,0,0,0,-0.0681719156984252,0,0,0,0,0,0,0,0,0,0.221856333419106,4.33680868994202e-19,0,0,0,0,0,0.0566680612254448,0,0,0,0,-0.0522253398171656,0,0,0,0,0,0,0,0,0,0,0.00676732516988509,-0.00505764794817437,0,0,0,0,0,0
X002415.SZ,0,0,0,0.153227883825291,0,0,0,0.0211998311410662,0,0,0,0,0,0,0,0,0,0,0.176932428602654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155641303044968,0,0,0,0,0,0,0,0,-0.0105120439714532,-0.000473384134834783,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.283321542389511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400561318032886,0,0,0,0,0.0126253773990264,-0.00185984049330709,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0249184246810456,0,0,0,0,0,0,0,0,0.354855243363327,0,0,0,0,0,0,0,0.0459183139770669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106449221453203,0,0,0,0,-0.0499052044648921,0,0,0,0,0,0,0,0,0,0,0.00957189536890835,-0.00142301968179298,0,0,0,0,0,0
X002304.SZ,0,0,0,0.112040674110443,0.0648631897859688,0,0,0,0,0,0,0,0.304255373417465,0,0.113228804133769,0,0,0,0.0221501114275017,0,0.0849878117878663,0,0.000715828798569086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640470958889267,0,0,0,0,0,0.0108609395581623,0.0594678768887673,0,0,0,0,-0.00240569531151833,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0110312324598271,0,0,-0.00326698287618255,0.200858157121544,0,0,0,0,0,0,-0.116240633400556,0,0,0,0.145960086478894,0,0,0,0,-0.00417641742870232,0,0,0,0,0,0,0,0.0627890977201362,0,0.0187490045593048,0,0,0,0,0,-0.0604245484360394,0,0,0,0,0,0,-0.132352888333499,-0.00306714857184013,0.00511664355100683,0,0,0,0,0,0
X000725.SZ,0,0,0,0.241129189607611,0,0,0,0,0,0,0,0,0,0,0,-0.147552732253069,0,0,0,0,0.0995546999652636,0,-0.0103567442606476,0,0,0,0,0,0,0,0,0,0,0,0.0782141042935407,0,0,0,0,0,0.031951082049693,0,0.0666439223166314,0,0,0,0,0,0,0.22787214801884,0,-0.0294148200846436,0.00807711562835118,0,0,0,0,0,0
X000625.SZ,0,0.0464668311024994,0,0,0,0,0,0.0109633206373284,0,0,0,0,0,0.284063145932568,0,0,0,0,0.152504828747695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009879310066887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00245558878169859,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.214954172547239,0,0,0,0,0,0,0,0,0.0771895504716037,0,0,0,0,0,0,0,0,0.0326263095535439,-0.0818334249250311,0,0.0893691363052865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0093399642733472,0,0,0,0,0,0,0,0,-0.0367738216815015,0,0.0107340809139202,-0.00554993468970838,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.0780267579945678,0,0,0.0303529706053,0,0,0,0,0,0,-0.129959996802589,0,0,0,0,0,0,0,0,-0.0482181435994785,0,0,0,0.225215154532329,0,0,0,0,0,0,0.149278052847126,0.0803717062821497,0,0,0,0,0.0164246248777443,0,0,0,0,0,-0.0276670517621274,0,0,0,0,0.00902247222680168,0.0045065455548889,0,0,0,0,0,0
