,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X300124.SZ,X002008.SZ,X600809.SH,X002456.SZ,X000625.SZ,X600867.SH,X600066.SH,X600271.SH,X600487.SH,X000100.SZ,X000981.SZ,X002294.SZ,X600566.SH,X000596.SZ,X002241.SZ,X300142.SZ,X300136.SZ,X002508.SZ,X000661.SZ,X000050.SZ,X000157.SZ,X002007.SZ,X002038.SZ,X002180.SZ,X600522.SH,X002049.SZ,X002179.SZ,X600089.SH,X000977.SZ,X600498.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.37177883310029,-1.73472347597681e-18,0,0.0213769671351124,0,0,0,0.0526806331043733,0,0.0228009448696263,0,0,0,0,0,0,0,0.0245341410216439,0,0,0,0,0,0,0.0611917780106339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180442517696343,0.0261654112180966,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.295482824888413,0.0713393929122234,0,0,0,0,0.0221974796444383,0.0114361222604713,0,0,-0.210550662075395,0,0,0,0,0.0655075540662983,0,0,0,0,0,0.10144914432512,0,0,-0.0320367702135487,0,0,0,0,0,0,0.102014300014186,0,-0.0523784317366017,0,0,-0.119304363459933,0,0,-0.0313741489221877,-0.024185013650311,0,0.31585041137836,0,0,0,0
X002415.SZ,0.100049675887884,0,0,0,0,0,0,0,0,0,0,0,0,0.0417916355281759,0.0468501801592584,0,0,0,0,0,0.110284094318267,-4.33680868994202e-19,0,0,0,0,0,0.325378729707195,0,0,0,0.129866431385357,0,0.120607655269824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0957132936136387,0,0,0,0.0706095911960677,0,0,0,0,0.0807325840754015,0.561712228508989,0,0,0,0.0194510939696932,0,0,0,0,0,0,0,0,0,-0.0309190115328247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140123761359849,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.266128738390455,0,0,0,0,0,0.469186488353664,0,0.0444251750508897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354809787487744,0,0.0471327476692939,0,0,0,0,0.143213775398806,0,0,0,-0.0947421278505396,0,0,0,0.0176418353184239,0.0544339987631588,0,0,0,0,0,0
X600276.SH,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.131581294704784,0,0,0.0530588264494587,0,0.284373006408795,0,0,0,0,0,0.158483152548437,-8.67361737988404e-19,0,0,0,-0.0349086786613904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999818810641208,0,0,0,0,0,0,0,0,0,-0.0392687210007953,8.67361737988404e-19,0,0,0,0,0,0
X002304.SZ,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.27441336857816,0.249445002418563,0,0.158134581609336,0,0,0,0,0,0,0,0,0.0763312958128456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209171791815182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167008351715269,-0.00904939298228308,0,0,0,0,0,0
X000725.SZ,0,0,0.174578364001272,0,0,0,0,0,0.0300362966513542,0,0,0,0,0,0,0.0240258847639846,0.10874206759768,0,0,0,0,0,0,0,0,0,0,0.170888714047321,0.211926443804766,0,0,0,0,0,0,0,0.0208071573603327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00343591510545146,0.064707481800425,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0653132986139833,0,0,0,0,0,0,0,0,0,0,0,0.05369522964744,0,0,0,0,0,0,0,0.00726171146500079,0,0,0,0,0,0.0873072591359521,0,0.0192742721102525,0,0,0.0849648250724112,0,0,0,0.0173807359981366,0,0.216906783026022,0,0,0,0.109030869468202,0,0,0.00689019272253933,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.364167859320578,0.0968493042825729,0,0.058692513068788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192748422474384,0,0,0,0,0,0
