,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X600031.SH,X000568.SZ,X000651.SZ,X002475.SZ,X600809.SH,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X000338.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000100.SZ,X000596.SZ,X000157.SZ,X002241.SZ,X002371.SZ,X000625.SZ,X600741.SH,X002129.SZ,X002007.SZ,X300142.SZ,X002179.SZ,X601877.SH,X002049.SZ,X600584.SH,X002236.SZ,X002414.SZ,X300003.SZ,X600183.SH,X601799.SH,X000800.SZ,X002074.SZ,X000066.SZ,X002008.SZ,X000977.SZ,X000799.SZ,X600089.SH,X002294.SZ,X600118.SH,X000050.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.42245546093847,0,0,0,0.0240918692906324,0,0,0,0,0.0413857113949947,0,0,0,0,0,0,0,0,0,0,0,0.0247085067981479,0,0,0,0,-0.0176587996009105,0,0,0,0,0,0,0.0261177063705958,0,0,0,0.0195708948734493,0,0,0,0,0,0.00529828778835084,0,0,0,0,0,0,-0.013782705304671,-0.00738019467077675,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.377800959767702,0,0,0.144147430826814,0.0463472172740106,0.00611526935687861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970907235109633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115460055719831,0,0,0,0,0,0,-0.0115958051077225,-0.01334453624236,0,0,0,0,0,0
X600276.SH,0,0,0,0.0802848245754173,0,0,0,0,0,0,0.0868743488444976,0,0,0,0.0557868651486255,0.00667244911683626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244414202536272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105538290986272,0,0,0,0,-0.00985218856299163,0,0,0,0,-0.0263515648225073,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0394358642353108,0,0.03694811959947,0.0744452117267079,0,0,0,0,0.0833497092673477,0,0,0,0,0,0,0,0,0,0,0,0.0269059443055042,0,0,0,0,0,0,0.496715106332442,0,0,0,0,0,0,0,0,0,0.0200855066888324,0,0,0,0,0,0,-0.00844742078312607,0,0,0,0,-0.0103991252339647,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.158311029505081,0,0.00351559897018834,0,0,0,0,0,0,0,0.0562219670052345,0,0.0646672086737952,0,5.42101086242752e-20,0,0,0,0,0,0,0,0.130111987084864,0,0,0,0,0,0,0,0.0467352423416729,0,0,0,0,0,0,0,0,0,0,-0.029357523762459,0,0,0,0,0,0,0
X000568.SZ,0.0979558298166191,0.320607935476319,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115151304364933,0,-0.00789799760635672,0.295430746349784,0,0,0,0,0,0,0,-0.0282852981427004,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.133339787966432,0,0,0,0,0.0384647446428666,0,0,0,0,-0.0679003734016134,0,0,0,0.0262101631583591,0,0,0.148548840301438,0,0,0,0,0.0946800798979759,0,0.0104365707703079,0,0,0,0,0,0,0,0,0,0,0.0289816082059497,0,0,0,0,0,0,0.0401145976663683,0,0,-2.71050543121376e-20,0.000839095702511462,-0.00851072880276535,0,0,0,0,0,0
X002475.SZ,0,0,0.194855743993544,0.034927698947507,0,0,0,0,0.0272010519320395,0,0,0,0.0398521004235655,0,0,0,0,0,0,0,0,0,0,0.263906094142318,0,0,0,0,0.0953160795472506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012201704413261,0,0,0,0,-0.0228766466795335,0,0
X600809.SH,0,0,0,0,0.130304534590557,0,0,0,0,0.0546993701331246,0.248514822325476,0,0,0,0,0.0681120744841166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593202917654445,0,0.143794954254569,0,0,0.0417492867231977,0,0,-0.0658210619425935,0,0,0,0.0204313936113743,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.151049291837049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131466858143964,0,0,0,0,0,0.0987566739883331,0,0,0,0,0,0,-0.0655064096737814,0,0,0,0,0.0512734993671023,0,0
