,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X000625.SZ,X600031.SH,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X002049.SZ,X600703.SH,X600089.SH,X000100.SZ,X600372.SH,X002236.SZ,X600741.SH,X000977.SZ,X000661.SZ,X600584.SH,X601877.SH,X000157.SZ,X002241.SZ,X600522.SH,X000733.SZ,X600702.SH,X002074.SZ,X601799.SH,X002180.SZ,X000800.SZ,X002463.SZ,X002028.SZ,X002007.SZ,X300142.SZ,X600460.SH,X600487.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.459968951272809,-8.67361737988404e-19,0,0.0353969005651682,0.0856314690218604,0,0,0,0,0,0,-0.01047475071002,0,0,0,0,0.072743115749826,0,0.014899975988953,0.000282922254461147,0,0,0,0,0,0,0,-0.00640225344781874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00646693035755721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.59570888765686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597711149691734,0,0,0,0,0,0,-0.0173534406116905,0,0,0,-0.0212398238818603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00734492079936151,0,0,0.142717184955445,0,0,0,0,-0.0203235024752635,0.0503310111074075,0,0,0,0,0,0
X000568.SZ,0,0.597786764087604,0,0,0.129703349633627,0.0230376765715173,0,0,0,0,-0.0386342056994613,0,0,0,0,0.205016150533715,0,0,0,0,0,0,0,-0.0480651429237027,0,0,0,0,0,0,0.0176426967513092,0,0,0,0,0,0,0,0.0636699693780397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.219323265792419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072404542918788,0,0,0.0216964405287389,0,0,0,0,0.396922479605328,0,0,0,0,0,0,0,-0.0772935729422595,0,0,0,0,0.012927523013783,0,0,0,-0.042873767589686,0,0,0,0,0,0.0111179429533785,0,0,0,0,0,0,0
X600809.SH,0,0,0.0131492554548886,0.124138556908305,0,0,-0.0884232972216085,0,0,0,0,0,-0.15413217075248,0,0,0,0.0530935610656074,0.0321045005139391,0,0,0.126778878815088,0,0,0,0,0,0.0891027059797256,0,0.025799122040305,0,0,0,0,0,0,0,0,0,0.294299509388067,0,0,0,0,0,0,0,0,0,0.0285440306148671,0,0,0,0.0036218514076389,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.143249916342537,0,0,0,-0.0701999468044913,0,0,0,0,0,0,0,-0.346146206304161,0,0,0,-0.128860173886878,0,0.0640761299149136,0.295033449174079,0,0,0,0,0.0572765030909428,0,0,0,0,0,0,-0.0900529359176017,0,0,0,0,0,0,0,-0.0167559273636141,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924049173351401,0,0,0,0,0,0.0159683711948292,0,0,0,0,0.157865996135091,0,0,0,0,0,0,0.137286874554086,0,0,0.0211758001307522,0,0,0,0,0.0644651694273317,0,0,0,0,0,0,0,0.00511212053442099,0,0,0,0,0,0,0
X600690.SH,0,0.102749900443505,0,0,0,0,0,0,0,0.0519547648634105,0,0,0,0,0,0,0.0262836483801648,0,0.218887522782166,0.0868286535199208,0,0.0599128843221037,0,0,0,0,0,0,0,0.0272927636293726,0.0167759363041873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671306308244994,0,0,0,0.0103833509448837,0,0,0,0,0,0
X002304.SZ,0,0.291001195552343,0.228384224625368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591576839755711,0,0,0,0,0,0,0,0,0,0,0,0,0.0194245700327296,0,0,0,0,0,0,0,0.0611040505644409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.139972476507146,0.0390861465040744,0,0,0,0.0333247109003068,0,0.215260152605233,0,0,0,0,0,0,0,0,0,0.0591452197973846,0,0.0674165810304694,0,0,0,0,0,0,0,0,-0.078631287769458,0,-0.0183059769815779,0,0,0,0,0,0,0,0,0,0,0,0,-0.00584946267937272,0,0,0,0,0,0,0,0,0.0119330593176419,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.118588755367326,0.0533677846868463,0,0,0,0,0,0,0,0,0,0,0.0264280140872533,0.144713381898158,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0424962350372918,0,0.0523932882588928,0,0,0,0,0,0,0,0,0.0532770120817798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.184778075762933,0,0,0,0.00586053904488232,0,0,-0.011407178141179,0,0,0,0,0.0782075462157601,0.00490413468769225,0,0,0,0.0431319696454102,0,0,0,0,0,0,0,0,0.0189842491310278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594199516135869,0,0,0,0,0,0,0,0,0,0,0.13198048561488,0,0,0,0,0,0,0,0,0,0,0,0,0.217651775562011,0,0,0,0,0.241014581130328,0.02652647056818,0,0,-0.0335990653672837,0,0,0,0,0,0
X003816.SZ,0,0,-0.0246281357055473,0,0,0,0.0946153068561106,0,0,0,0,0,0,0,0,0,-0.0910699395326587,0,0,-0.049770343689796,0,0,0,-0.0729503805105806,0,0.0574462789926052,0,0,0.0407026487873207,0,0,-0.0511033156256709,0,0.104770887396914,0,0,0,0,0,0,-0.0277547940473031,0,0,0,0,0,0,0,0,0,0,0,0.0112271430094479,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0650928431405344,0,0.0732843626871949,0,0,0,0,0,0,0,0,0,0,0.0964962313639876,0.0325840213366641,0,0,0,0,0,0,0,0.0917593328820312,0,0,0,0.0334366268909714,0,0,0,0,0,0.115433010223603,0,1.0842021724855e-19,0,0.0113306724809164,0,0,0.0308524857064272,0,0,0,0,0,0,0,-0.033701839805576,0,0,0,0,0,0,0
X000596.SZ,0,0,0.186182234392217,0,0,0.117793774731226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319893361825586,0,0,0,0,0.0674141753001327,0.011871546573139,0,0,0,0,0,0.041065300548611,0,0.296362085320349,0,0.0464363610651006,0.0157569580691374,0,-0.052502519128982,0,0,0,0,0,0,0,0.0371427963448082,0,0,0,0,0,0,0
X002371.SZ,0,0,0.170777485915277,0.101279175296293,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.099101361458833,0,0,0,0.0544559499771775,0,0,0.0867556948712004,0,0,0,0.0353485290464423,-0.331988292607087,0,0,0,-0.163833943274321,0,0,0,0,0,0,0,0,0,0,0,0.281793008984089,0.435470592818534,0.00481113684485995,0,0.0899437429897777,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0548496398141658,0,0,0,0,0,0,0.0993720693973697,0,0,0,0,0,0,0,0,0.0286331333869459,0.21473228174777,0.0959164239696352,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.381645394172774,0.0308105614052239,0,0,0,0.0183487585403388,0,0,0,-0.0279485371550484,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.124644942448475,0,0,0,0,0,0,0.0692276271021169,0,0,0,0.0702826814054537,0,0,0,0,0.197072061475595,0,0.0452104124042381,0,0,0,0,0,0.0969151236506525,0,0,0,0.0260123607323529,0,0,-0.101475702295093,0,0,0,0,0,0,0,0,0,-0.0277869043009626,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0.0889915418783221,0,0,0,0,0,0,0,0,0,0,0.0719844074706427,-0.0128538209225135,0,0,0,0,0,0.233502845776111,0,0,0,0,0,0,0.0621851869840415,0,0,0,0,0,0,0,0,0.385301096175981,0,-0.0983581233341831,0,0,0,0,0,0,0,-0.00676413939677508,0,0.01598726023297,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,-0.00195644770566988,0,0,0,0,0,0,-0.0566059515682417,0,0,0,-0.0124340461428901,0,0,0.0977767733839024,0,0,0,0.0892231169855411,0.0188260234274671,0,0,0,0,0,-0.0356103467625158,0.0236555996365266,0,0,0,0,0,0,0.0246617550178694,0.827669284248983,0,0,0,-0.00683887395351594,0,-0.0618697282277192,0.0782596938505244,0,0,0,0,0.0799089253314239,0,0,0,0,0,0,0
