,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600104.SH,X600276.SH,X300124.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002129.SZ,X300014.SZ,X002371.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X000338.SZ,X000625.SZ,X002179.SZ,X600703.SH,X300142.SZ,X600089.SH,X601877.SH,X600741.SH,X000661.SZ,X000733.SZ,X600460.SH,X000100.SZ,X002180.SZ,X600522.SH,X000157.SZ,X600702.SH,X000799.SZ,X600884.SH,X002236.SZ,X002074.SZ,X600584.SH,X002432.SZ,X600183.SH,X601799.SH,X002414.SZ,X000977.SZ,X000800.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.270662809765116,0.0185958771408834,0.0608389515741023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330602798404053,0.142835570739113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.00179749919017817,0,0,0,0,-0.024785338728826,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.215933107337004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780736427599553,0.0638184890701545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296058083692977,0,0.0352417401682171,0,0,0,0,0,0,0,0,0,0,0,-0.02562904606092,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.181380172226644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577674434952844,0.0243527097256273,0,0,0,0,-0.277155935811865,0,0,0,0,0,0,0,0,0,0,0,0.135429998007636,0,0,0,0.0829179274825532,0.617552113484527,0,0,0.0638299803721719,0,0,0,0,0,0,0,0,0.0235386529552599,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.390335895448591,0,0,0,0,0,0,0,0,0,0,0,0,0.20108717349123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221314188250357,0,0,0,0,0,0,0,0,0,0.0356563173139222,0,0,0,0.0167287259308451,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.14283896375854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223440306239451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785029880079432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00973560852965899,0.0456787581867454,0,0,0,0,0,0
X600690.SH,0,0.153430422999637,0,0,0.0753847647321207,0,0.195427675472774,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0527051565197517,0,0,0,0,0,0,0.188224197645657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0193114035672126,-0.0238336179451292,0,0,0,0,0,0
X002304.SZ,0.0867549420794651,0,0,0.111805921262364,0,0,0,0,0,0,0,0.0703480964508448,0,0.0979010669835362,0,0,0,0,0,0,0,0.242489612307757,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.124512061495239,0,0,0,0,0,0.0386249823555733,0,0,0,0,0.0522768806899084,0,0,0,-0.00161914391737893,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238789961947124,0.447670212656812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326075649939686,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.133658032595311,0,0,0,0,0.0172981142236815,0,0,0.18318928356369,0,0,0,0,0,0,0.00600071867046746,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0389526543929844,0,0,0,0,0,0,0,0,0,0,0,0,0.0184910912203582,0.0844352122635564,0.105760501199151,0,0,0,-0.0283040874760363,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538416522993377,0.0481436263056755,0,0,0,0,0,0,0,0,0.143560987331794,0,0,0,0,0,0,0,0.0538884221898972,0,0,0.0231520252794162,0,0,0,0,0,0,0,0.0516269361250897,0,0,0,0,0.0178910134192118,0.114388749240592,0,0,0,0,0,0,0,0,0,0
