,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X003816.SZ,X002415.SZ,X000651.SZ,X600690.SH,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X002463.SZ,X600089.SH,X600372.SH,X000157.SZ,X600584.SH,X600703.SH,X002028.SZ,X600066.SH,X000977.SZ,X600522.SH,X600183.SH,X600418.SH,X002236.SZ,X600741.SH,X002049.SZ,X601877.SH,X000800.SZ,X600177.SH,X002223.SZ,X002074.SZ,X002180.SZ,X601799.SH,X000921.SZ,X000661.SZ,X600487.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.2826062667743,0,0,0,0,0,0,0.113167656714347,0,0,0,0,0,0,0,0,0.0266611061111244,0,0.136412239434916,0,0,0,0,0,0,0,0,0,-0.0446994737826761,0,0,0,0,0,-0.0177182871957812,0,0,-0.0279625991013161,0,0,0,0,-0.000858317307252684,0,0,0,0,0,-0.0166924239989393,0,0,-0.0628882088360731,0,0,0,0.0139438131688602,0,0
X000858.SZ,0,0,0.0222038702262624,0,0,0,0,0,0,0.371079844738149,0,0,0,0,0,0,0,0,0,0.162011005156307,0,0,0,0,0,0,0,0,0,0,0,-0.0192431498543452,0,0,0,0,0,0.000475631541839803,0,0,0,0,0,0,0,0,0,0.00511203520402148,0,0,0,-1.73472347597681e-18,0,0,0,0,0.018310772355874,0,0
X600276.SH,0,0,0,0,-0.00386279261501603,0.0662463842632632,0,0,0,0,0.0273879397891852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044843640866412,0,0,0,0,0,0,0,0,0,0,0.0239367972521213,0,0,0,0,0,0,0,0,0.341318626079101,0,0,0,-0.0541098273765631,0,0,0,0,-0.00173001032586761,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421947123324236,0,0,0.354097420645816,0.0461825539793673,0,0,0,0.174816047242557,0,0.11709403328213,0.0810938468384788,-6.93889390390723e-18,0,0,0.0521051066859712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168511101896102,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.0166369985848618,0,0,0,0,0,0,0,0,0,0,-0.0372448771950932,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,-0.234829444910553,0,-0.0409042267048537,0,0,0,0,0,-0.274086908881206,0,0,0,0,0,0,0.0829047505674676,-0.0599256067207384,0,0,0,-0.0707807058278241,0,0
X002415.SZ,0,0,0.0386779924157676,0,0,0,0,0.0748140727514511,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0406677536039249,0.19644328952644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321094835902678,0.0611059262821526,0,0.107800535889047,0,0,0,0,-0.0366035324386001,0,0.0108048673208744,0,0,0.113599706169097,0,0,0,0,0,0,0,0.00719980644276551,0,0
X000651.SZ,0,0,0,0,0,0,0,0.174791823670671,4.33680868994202e-19,0,0.00658300005620957,0,0,0,0,0,0,0.0441780927027541,0,0.0404179625375344,-0.0124727313935393,0,0,0,0,0,0,0,0,0,0.00516826738624486,0.060522904246625,0,0,-0.0177922019133301,0,0,0,2.16840434497101e-19,0,0,0,0,-0.0536272086005053,-0.013527945211232,0,0.11664219349991,0,0,0,0,0,0,0,0,0,0.00673583847642352,0,0
X600690.SH,0,0,0.114603627084966,0,0,0,0.266228830756663,0,0,0,0,0,0.0261749327434965,0.0695978624879384,0,0,0,0.0282305038531505,0,0,0,0,0,0,0.151807799969371,0,0,0,0,0,0,0,0,0.0122587159355119,0,0,0,0,0,0,0,0,0,0,0,0,0.0834715509716253,0,0,0,0,0,-0.0846435479143239,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.0439250632954263,0,0,0.117458601801151,0,0,0,0,0,0,0.0949647192384625,0,0.431484014182376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461980156408304,-0.0253753019345569,0,0,0,0,-0.0453118035949446,0,0.0154942820054681,0,0,0.0162159970464086,0,0,0.00914540068977274,0,0
X000568.SZ,0.59438078207297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261309058438821,0,0,0,0,0,0,0,0.0300261357309523,0,0,0,0,0,0,-0.0585382966990636,0,0,0,0,0,0,0,0,0,0,0,0,0.0260534062644377,0,0,0,0,0,-0.0430459625074419,0,0,0.00499756170485575,0,0
