,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X002475.SZ,X000568.SZ,X000651.SZ,X003816.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X600031.SH,X002304.SZ,X000625.SZ,X000063.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X000157.SZ,X002463.SZ,X600703.SH,X600372.SH,X002241.SZ,X002028.SZ,X000921.SZ,X600066.SH,X002236.SZ,X000977.SZ,X600584.SH,X600741.SH,X002049.SZ,X600522.SH,X600183.SH,X601877.SH,X000661.SZ,X002223.SZ,X002129.SZ,X000800.SZ,X002180.SZ,X002156.SZ,X600060.SH,X600177.SH,X600487.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.105531143200653,0,0,0.287399266475864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105828616637101,0,0.00420010881572964,0,0.0222718219937246,0,-0.0036874152956049,0,0,0,0,0,0,0,0.0192323066880338,0,0,0,0,0,-0.00621896383665974,-0.0034964314650144,-0.0371852494959913,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0499224880693162,0.457020118838826,0,0,0,0,0,0,0,0,0.100950142830835,0,0,0,0,0,0,0,0,0,0,0,0,-0.00284023161070831,0,0,0,0,0,0,0,0,0,0,0.0147250334073887,0,0,0,0,0,0,0,0,-0.0413787001140615,0,4.33680868994202e-19,-0.00818166636364004,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.041396449179178,0,0.0131706850153612,0,-0.032778846590883,0,0,0,0,-0.0105692431504594,0,0.0637894899231969,0,0,0,0.083339293754324,0,0.0375384441381609,0,0,0,0.0786613501591205,0,0,0,0,0,0.0641717419812682,0,0.0573960568316356,0,0.109962232955923,0,0.0453470586509236,0,0,0,0,0,0,0,0.029989661992591,0,0,0.0691107499869367,0,0.0374782766212962,-0.00507065224848348,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0918346219916774,0,0,0,0,0,0,0,0,0,0,0,0,0.0162413224513691,0,0,0,0,0,0,0,0,0.258286811337192,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142278678776053,0,0,0,0,0,0,0.0368228766078137,0.0186146722172287,0,0,0,0.154490919222528,0,0
X600809.SH,0.0215819803906755,0,0,0,0,0,0,0.299923185808124,0,0,0,0,0,0.0989119335854768,0,0,0,0,0,0.0811975393819254,0.040547556574361,0,0,0,-0.137099842093044,0,0,0,0,0,0,0.0459443304562712,0,0,0,0,0,-0.0128047739147071,0,0,0,0,0,0,0.0303914672812477,0,0,0,0,0,0,-0.0220859776304681,0.0169485997568898,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.185313781313201,0,0,0,0,0,0,0,0,0,0.166207031591058,0.04667636556966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594651246736663,0.0791447972117416,0.00871525201642347,0,0,0,0,0,0,-0.0252710301569213,-0.0165731201184229,0,0,0,0,0,0,-0.123907472802289,0,0,0.0109129230512559,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106642820863847,0,0,0,0,0.0580979194322434,0,0,0.352695174974685,0,0,0,0,0,0,0,0.056926637441796,0,0.0209922050757648,0,0,0,0,0,0,0.0809695486018275,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,1.01021507923984,0,0,0,0,-0.0628810974515333,0,0,0,0,0,0,0,0,0,0,0,0,0.119379012399048,0.00103158513818656,0,0,0,0,-0.112895497584753,0,0,0,0,0,0,0,-0.00673656694345045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0046412032784186,0,0,0,0,0,0
X000651.SZ,0,0,0,0.158389167653788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11348989930788,0,0.132989024664919,0,0.00982354741615376,0,0.206934170444487,0,0,0,0,0,0,0.289673796866124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193294701904276,0,0,0,0,0,-0.000880978297246342,0.0277533550794099,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.067237277523643,0,0,0,0,0,0,0,0,-0.221832153024503,0,0,0,0,0,0,0,0.059731271324145,0,0,0,0,0.0844529597450251,0,0.0395828519960408,0,0,-0.0173760794649232,0,0,0,0,0,0,0,0,0,0,-0.0332583318364551,0,0,0,0.0327056444058636,0,0,-0.0306560949637034,0,0,0,0,0,0
