,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002236.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X300124.SZ,X601877.SH,X002008.SZ,X002508.SZ,X300136.SZ,X600177.SH,X600089.SH,X300003.SZ,X000157.SZ,X002085.SZ,X002294.SZ,X600271.SH,X600522.SH,X600487.SH,X000050.SZ,X600118.SH,X600809.SH,X300115.SZ,X000981.SZ,X002074.SZ,X600699.SH,X600566.SH,X600867.SH,X000559.SZ,X600372.SH,X000581.SZ,X000623.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.244690470647269,0,0,0.073611373061222,0,0,0,0.127472204806186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693564663033502,0,0,0.0406551846755536,0,0,0,0,0,0,0.0723821637850909,0,0,0,0,0,0,0,0,0,0,0,0,0.00479432774285557,-0.0191639482303321,0,0,0,0,0,0
X600104.SH,0,0,0,0.235431196614733,0,0,0,0,0,0.00234174571718734,0,0,0.0177865854753226,0.401415563998221,0,0,0,0,0,0,0,0,0,0,0,-0.170095234538128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106488261814809,0,0,0,0,0,0,0,-0.17860953884073,0,0.0236350076490866,0.00604381980000649,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.126163857220601,0,0.074705076710281,0,0,0,0,0,0,0.168741541851175,0.276248911135472,0,0,0,0,0,0,0,0,0.0456158270983541,0.159676244010841,0,0,0,0.0484538414196977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00693343043453927,0,0,0,0,0,0
X000651.SZ,0,0.158729570917575,0.0414666504560844,0,0.0878030639617329,0,0.0888292354809802,0,0.0108304817649987,0,0,0,0,0,0.0791696810138038,0,0,0,0,0,0,0.0562245505192581,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0694899622196083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177035463958934,0,0,0,0,0,0
X000858.SZ,0,0,0.0460685267187063,0.0300323707932097,0,0,0,0,0,0,0,0.714180655405754,0,0,0,0,0,0,0,0,0,0,0,-0.032055311400658,0,0,0,0,0.0421189866707585,0,0,0,0,0,0,0,0,0.128902730164077,0,0,0,0,0,0,0,0,0.0486447969505401,0,0,0,-0.00149140074583778,0,0,0,0,0,0,0
X600276.SH,0,0,0.0134760845553491,0,0.0518373076115717,0,0,0.012223223025323,0,0,0,0,0,0.0780145964631221,0,0,0,-0.0231543887909932,0,0,0,0,0,0,0,0,0,0,0.173053506751153,0,0,0,-0.0501834074491968,0.0381766480553568,0,0,0,0,0,0,0,0,0,0,0,-0.0961021306498184,0,0,-0.102271160588726,0,0.0143184095277516,-0.0173923475628039,0,0,0,0,0,0
X000725.SZ,0,0,0.0785297548891045,0,0,0,0,0,0.149447490405084,0,0,0,0,0,0,0,0,0,0.125248994255364,0,0,0,0,0,0,0,0,0.0361321392229411,0,0,0.0327332799412501,0.144568083153733,0.375430717330922,0,0,0.138444352657925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0.16739256092372,0.0916672175243004,0,0,0.183989567847943,0,0,0,0,0,0,0,0,0.072940903391989,0,0,0,0,0,0,0,0,0.230135482069714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208904031559531,-0.0321703912219349,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.211073580788879,0,0,0,0.0467911019874301,0,0,0,0,0,0,0.0306449865216774,0,0.142297526479518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108815986976626,0,0,0,0,-0.0455847584799091,0.100204252704454,0,0,0,0,0,0
X600690.SH,0,0.0303819393436463,0,0.350370180014621,0,0,0,0.0196284731102577,0,0,0,0,0.0739225509054802,0.213388889666111,0.0864927378282345,0,0,0,0,0,0,0,0,0,0,-0.105512433339098,0,0,0,0,0,0.217096039924438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710392300944048,0,0.0264509032231731,-0.0284617222569558,0,0,0,0,0,0
