,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X600104.SH,X000651.SZ,X300014.SZ,X002129.SZ,X000625.SZ,X600031.SH,X300124.SZ,X002371.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X600089.SH,X002179.SZ,X600703.SH,X000661.SZ,X600522.SH,X601877.SH,X002074.SZ,X300142.SZ,X002180.SZ,X600741.SH,X600460.SH,X000733.SZ,X000100.SZ,X600884.SH,X600702.SH,X000799.SZ,X000157.SZ,X601799.SH,X002176.SZ,X002236.SZ,X600563.SH,X600584.SH,X000800.SZ,X600779.SH,X002007.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0213576029504729,0,0.148110367447101,0,0.047825161046156,0,0,0.0595360921941732,0,0,0,0,0,0,0,0.0533444370942649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182635386243344,0,0,0,0.026277566775768,0,0,0,0.0128020015079828,0,0,0,0,0,0,0,0.0537692988119026,0,0,0,0.000771418568279023,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.402154103223931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621547535467954,0.130169668804065,0.0764206446008619,0,0,0.0321967062105739,0,0.00141262266590926,0,0,0.135278137804203,0,0,0,0,0.0321756098559434,0,0,0,0.00289362322518791,0,0
X600809.SH,0,0,0,0.349894800971028,0.0389922005976736,0.246693721442181,0.0172767812549255,0,0,0,0,0,0,-0.0110701052189585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515724943526525,0,0,0,-0.0494928606851522,0,0,0,0,0,0,0,0,0.0182668290107866,0,0,0,0,-0.0144461776681437,0,0
X000568.SZ,0,0.0419761715623813,0.172941534967788,0,0,0,0,0,0.0049776024620946,0,0,0,0,0,0,0,0,0,0,0.00444916670999955,0,0,0,0,0,0,0,0.0215493978496184,0,0,0,0,0,0,0,0,0,0,0.403596104877384,0,0,0,0,0,0,0,0,0,0,0,0,-0.00606673952776395,0,0,0,0,-0.00760232347693017,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.046026866032948,-0.131129900279271,0,0,0,0,0,0,0,0,0.0648262004261571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703444009807637,0,0,0,0.89674760947986,0,0,0,0,0,0,0,0.0369836687609389,0.0504481141264795,0,0,0,0,0,0
X002304.SZ,0,0,0.111913467178916,0.102652258656262,0,0,0.00402395758012599,0.086124016288248,0,0,0,0,0,0,0,0,0.135869185664799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141835656484125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252598782020592,0,0
X600690.SH,0,0,0.0384130948492053,0,0,0.107990879692205,0,0,0,0,0.169136341910714,-0.114999635386242,0,-0.00386181607524083,0,0,0,0,0,0,0.0146242704470624,0.24786211176698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121060409567783,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.00850624879634356,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990780207311931,0,0,0,0,0,0,0,0,0,0,0,0,0.206054215727245,0,0,0,0,0,0,0,0,0,0,0,0.114902218007936,0,0,0,0,0,0.0206589126324813,0.094065778912097,0,0.263344950204724,0,0,0,0.0409129522702188,0,0,0,0,0,0,0
X002475.SZ,0,0,0.189096074169171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101420202055406,0,0,0,0,0,0.201108026287232,0,0,0,0,0,0.151406158542896,0,0,0,0,0,0.106735442654492,0,0,0,0,0,0,0.0480347404036187,0,0.102396948638892,0.0642048835110794,0,0,0,0,0,0,-0.0219359602073373,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0178601030745874,0,0.0917249159967653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202885689391596,0,0,0,0,0,0,0,0.0460128001208941,0,0,0,0,0.0940676637771371,0,0,0,0,0,0,0,0,0,0.0100382997770469,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986296025204655,0,0,0,0,0,0,0,0.0955672863252047,0.0264777024742306,0,0,0.00301908640731524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470516841227515,0,0,8.67361737988404e-19,0,0,0,0.0135188241947808,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505669171218547,0,0,0.0252489356011696,0,0,0,0,0,0,0,0,0,0.109113987360787,0,0,0.127108345280395,0.11392502788824,0,0,0,0,0,0,0,0,0,0,0.0727610784756945,0.227303461423886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
