,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X002415.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X600741.SH,X000596.SZ,X601877.SH,X600703.SH,X000661.SZ,X600809.SH,X002236.SZ,X000100.SZ,X300003.SZ,X600271.SH,X300142.SZ,X300124.SZ,X002008.SZ,X000625.SZ,X002007.SZ,X000157.SZ,X600487.SH,X002241.SZ,X600498.SH,X600177.SH,X002179.SZ,X000977.SZ,X002456.SZ,X002506.SZ,X600867.SH,X300146.SZ,X600066.SH,X600522.SH,X600566.SH,X600776.SH,X000050.SZ,X600089.SH,X002129.SZ,X600183.SH,X002371.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.219511812367804,0,0,0,0.0212798072558131,0,0,0,0.0224824886963805,0,0,0,0,0,0,0,0,0,0.0316282430063564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161845980563537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000588471894342472,-0.0134640263133816,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.169737798541369,0,0,0,0.202447376467334,0,0,0.14380410995709,0,0.0254530794911821,0,0,0,0.286134632214776,0.000983902602606668,0,0,0,0,0,0,0,0,0,0,0.0563868770678985,0,0,0,0,0,0,0,0,0,0,0,-0.00560342808057111,0,0,0,0,0,0,0,0,0.0249228282899397,0,0,0,0,0,0
X000651.SZ,0,0.264110168866721,0,0,0,0,0.00866833295502419,0,0,0,0,0,0.0637812088945917,0.0250461807469893,0.0421511961351348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446073486635726,0,0,0,0,0,0,0,-0.0263169666190345,0,0,0,0,-0.0750213470179938,0,0
X600104.SH,0,0,0.107798510308529,0,0,0,0,0.0245808826686669,0,0,0,0.0126354387428583,0.0349246784384006,0.0678511201614753,0.106746494105927,0,0,0,0,0,0,0,0,0,0,0,0,0.108083310820645,0,0,0,0.060756029577988,0,0,0,0.0270437312281203,0,0,0,0,0.0372462399891792,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,-0.0150409535061268,0,0,0,0,0,0
X002415.SZ,0,0,0.0210112393219626,0,0,0,0,0.044615582124239,0,0,0,0.0860286840371788,0,0,0.105610534337017,0,0,0,0,0,0.338599694755611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358783333150002,0,0,0,0,0,0,0.00851628590850442,0,0,0,0,-0.0261884695302679,0,0,0,0,0,0,0
X600276.SH,0,0,0.168690686064817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971480658799058,0.110182524439459,0,0,0,0.217378290023139,0,0,0,0,0.0258015958758474,0,0,0,0,0,0,0,0,0.0143779434819096,0,0,0,0,0,0,0.0023977063739483,0,0,0,0,0,0,0,0.0103948494975648,0,0,0,0,-0.0397132403303295,0,0
X002304.SZ,0,0.0831800671375836,0.157155861143009,0,0,0,0,0,0,0,0,0.0566131571133932,0.0819639689459516,0,0,0.163288885030261,0,0,0,0.181728073421757,0,0,0,0,0,0,0,0,0.0137494782570883,0,0,0,0,0,0,0,0,0,0,0.020092805753452,0,0,0,0.0446966291577411,0,0,0,0,0,0,0,0.0123770151822125,-0.00297132030718278,0,0,0,-0.0023646858626617,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951385587174438,0,0,0,0,0,0,0,0,0,0.0450121958166776,0,0,0,0,0,0,0.268866834986186,0.0105084351052941,0,0,0,0,0,0,0,0.0693007561226096,0,0,0,0,0,0,0,-0.0422289891971883,0,0,0,0,-0.0170159164994917,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258737065941413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281506187532847,0.182775699681652,0,0.123973395995218,0.115185623627431,0,0,0,-0.0513150478116985,0,0,0,0,0,0,0
X000568.SZ,0,0.246894848701061,0,0,0,0,0.0429685833401971,0,0,0,0,0,0,0.205081154677142,0.0104880048750146,0.059799724437576,0,0.0122610014852032,0,0.0454434032230947,0,0,0,0,0,0,0,0.0092002199406088,0,0,0.0742845077757772,0,0,0,0,0,0,0,0,0.171949934576654,0,0,0,0,0,0,0,0,0,0,0,-0.018184169606716,0,0,0,0,0,0,0
