,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X600703.SH,X000100.SZ,X600089.SH,X002049.SZ,X002236.SZ,X600372.SH,X000157.SZ,X600741.SH,X000661.SZ,X000977.SZ,X600584.SH,X002241.SZ,X600522.SH,X601877.SH,X601799.SH,X002463.SZ,X000733.SZ,X600702.SH,X002074.SZ,X002007.SZ,X000800.SZ,X002028.SZ,X300142.SZ,X002180.SZ,X600183.SH,X600487.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,0,0,0,0,0.0715551646095126,0,0,0,0,0,0,0,0,0,0,0,0,0.00908120930920086,0,0.0105094045720965,0,0,0,0,0,0.32919986767843,0,0,0,0.0990949350198997,0,0,0,0,0,0,0.0178725140749299,0,0,0,0,0,0,0,0,0,0,0.0336346601202347,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0707410598924144,0,0.0499097834932964,0.0101156385286776,0,0,0,0,0,0,0.156949645434812,0,0.0638833930124216,0,0,0,0,0,0,0,0,0,0,0.029063424143988,0,0,0,0,0,0,0,0,0,0,0.104409991346438,0,0,0.000383141929748278,-1.73472347597681e-18,0,0,0,-0.0613622462791353,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159396740083913,0,0,0.125840357829663,0,0,0,0,0,0,0,0,0.0769445110559604,0,0,0,0,0,0,0,0,0.00773345249296235,0,0,0,0,0.0168150697384112,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212676547377479,0,0,0,0,0,0.250592385804541,0,0.0937133630607811,0,0,0,0,0,0,0,0,0.0422768839065434,-0.0546810379309497,0.0637078284689974,-0.115307807559005,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0788782803494048,0,0,0,0,0,0,0,0,0,0,0,0,-0.00666029872977149,0,0,0,0.207323800738111,0,0.010517786019036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200870235223172,0,0,0,-0.0118461059913405,0,0,0,0,0,0,0
X000596.SZ,0,0,0.43380589726023,0,0,0.0275875572102832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129828169509123,0,0.0164348818690018,0,0,0,0,0.0115049290030843,0,0,0,0,0,0.0127843791768939,-0.0439129100522718,0,0,0,0,0,0
X600031.SH,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0280485607197775,0,0.0233152503370806,0,0,0,0,0.0677325276456319,0,0,0.185498692518151,0,0,0,0,0,0,0,0,0,0,0,0,0.13463779972104,0,0,0.0687606084630957,0,-0.0795835169406894,-0.0116388068542274,0,0,0,0,-0.021194113757574,0,0,0,0,0,0,0
X000625.SZ,0,0.0202520922477902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378853153240619,0,0,0,0,0,0.452809183118663,0,0,0,0,0,0.361757131229992,0,0,0,0,0,0,0.147606477022763,0,0,0,0.201571630091385,0,0,0,-0.0605867218422168,0.0155157135536736,-0.155592089630255,0,0,0,0,0
X002371.SZ,0,0,0.219122422402939,0.0025516767932867,0,0,0,0.00506149870378846,0,0,0,0,0,0,0,0,0,0.126203129344657,0,0,0,0,0.0647396376753377,0.195372754025338,0,0,0.311993666136267,0,0,0,0.264377033560007,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269350675197702,-0.172404742213171,0,0,0.0808398248624261,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0.109978173623378,0,0.189309500804482,0,0,0,0,0,0,0,0.26353332149634,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0579102520333637,0,0,0,0,0.0683469421863066,0,0,0,0,0,0,-0.0419623671128987,0,0,0,0,0,0,0,0,0,0,-0.0486039703066538,-0.0142140715026112,0,0,0,0,0,0,0
