,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X000338.SZ,X600031.SH,X300003.SZ,X002008.SZ,X601877.SH,X002456.SZ,X000625.SZ,X300124.SZ,X600809.SH,X600487.SH,X600066.SH,X600271.SH,X000100.SZ,X002241.SZ,X002294.SZ,X600867.SH,X600566.SH,X000981.SZ,X300136.SZ,X600522.SH,X002508.SZ,X002179.SZ,X000157.SZ,X600089.SH,X600177.SH,X000050.SZ,X300142.SZ,X000596.SZ,X000661.SZ,X600498.SH,X000977.SZ,X600707.SH,X600118.SH,X002180.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.31622041196575,0.0755029790526854,0,0.0700454991382627,0,0.155175812053168,0.0654238416762422,0.0169819059476486,0,0,0,0,0,0,0,0.0909099588649691,0,0,0,0,0,0,0.00343514547049798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.00955433833030906,0.17080592512746,0.0384312508913363,0,0,0.232592371690587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920774781137714,-0.150538855539939,0,0,0,0.0679627465988263,0,0,-0.106694912940488,0,0,-0.0251925939409411,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.128007303194587,0,0,0,0,0,0,0,0,0,0.106203197931597,0,0,0,0.0343546880743015,0,0,0,0,0.0111887836795319,0.304250574354606,0,0,0,0,0,0,0,0,0.147923449869546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.328264482620042,0,0,0,0,0.273039896451438,0,0,0,0,0,-1.0842021724855e-19,0.00230439427851968,0,0.00331583742406549,0,0,0,0.0373919830656791,0,0,0,0,0,0,0,0,0,0,-0.0143481947469742,0,0.121650817336954,0,0,0,0,0,0.108557430225391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.075632672179561,0,0,0.113716993207673,0,0,0,0,0,0,0,0.695307896479078,0,0,0.0232308140586455,0,0.00697676695810443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.0808485112527944,0,0,0,0,0,0,0.196744276616308,0.0176567454316987,0,0,0.00865233088163601,0,0,0,0.101122676659513,0,0,0,0,0,0.0924401840134462,0.196453280855128,0,0,0,0,0,0.00899936383176182,0,0,0,0,0.0367255569577916,0,0,0,0,0,0,0,0.0612239650489028,0,0,0,0,0,0,0,-0.0153904437683485,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.222544996809403,0,0,0,0,0,0,0.112503116271482,0,0,0,0,0,0,0,0.0109204225059348,0,0,0,0.240717182773078,0,0,0,0,0,0,0,0,0,0,0.385094125265473,0,0,0,0.0813431061757661,0.114000326453626,0,0,0,0.0905522918038352,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0876771591537565,0,0,0,0,0,0,0.123404025825765,0,0,0,0,0,0,0,0,0,0,0,0.183874460780955,0,0,0,0,0,0,0,0,0,0,0,0.102272841458448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207493018184561,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0517299700177687,0.0480470365451349,0,0,0,0,0,0,0.0103362273113289,0,0,0,0,0,0,0,0,0,0.649997668810305,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099639283661599,0,0.0926366965091499,0,0,0,0,0.0592580006805448,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.290933492760295,0.377153393084209,0,0,0.12643101144815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239284835536126,0,0,0,0,0,0,0,0.0115435185783695,-0.0192093033119545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149109298571272,-0.00701676304888188,0,0,0,0,0,0
