,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000725.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X000977.SZ,X600741.SH,X002241.SZ,X600584.SH,X601877.SH,X000157.SZ,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X000733.SZ,X002463.SZ,X000800.SZ,X300142.SZ,X600460.SH,X601799.SH,X002007.SZ,X000066.SZ,X002028.SZ,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.309433116332797,0.12877677410751,0,0.0393337217695671,0.0382942719777655,0,0,0,0.0235394634723225,0,0,-0.0451145947750203,0,-0.0538175490516967,0.0119718531088508,0,0,0,0.0461753168688115,0,0,0,-0.0280012741722131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226631639067182,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.00987848638919533,0,0,0,0,0,0
X000858.SZ,0,0,0.54883985084674,0,0,0,0,0.0295639069661475,0.177104182960193,0,0,0,0,0,0,0.0168118888525383,0,0.0195439798217778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298836199418431,0,0,0,0,0,0,0.0541935861148808,0,0,0,0,0,0,0,0.0311404796848174,0,0,0,0.00290922682986069,1.73472347597681e-18,0,0,0,0,0,0
X000568.SZ,0,0.53453567699904,0,0,0,0,0,0,0,0,-0.0111559813264191,0,0,0,0,0,0,0,0.269982308572177,0,0,0,0,0,0,0,0,-0.0232639958004445,0,0.0279988009622419,0,0,0,0,0,0,0,0,0,0.152595402352835,0,0,0,0,0,0,0,0,0,-0.0308834230694838,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.128676111859405,0,0,0,0,0,0,0,0,0,0,0,0,0.072402924745883,0,0.0770330642158073,0,0,-0.0759079723311814,0.0648909940336759,0,0,0,0.212166143759528,0,-0.0765755123956411,0,0,0,0,0,0,-0.146465954149933,0.337333788599048,0,0.032342958562629,0,0,0,0,0,0,0,0,0,0,0,0,-0.0771492361862221,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,-0.0949589574098199,0,0,0,0,0,-0.0338817740778699,0,0,0,0.127295959514277,0.150615865413477,0,0,0,0,0,0.0479636864326454,0,0,0,0,0,0,0,0,0,0,0,0.0408510687078349,0,-0.0669456226548113,0,0.141289195340445,0,0,0,-0.00789519104678526,0,0,0,0,0,0,0,0.0875723078701499,0.0507009855130061,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.175764533778568,0,0,0,0,0,0.0977485230876311,0,0,0,0,-0.0685931289564393,0.00920576187771315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0954816622825842,0,0,0,0,0,0,0,0,0,-0.0559855377497181,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197098228993101,0,0.0932941017452163,0,0.136030464052342,0,0,0,0.448352480852356,0.142320505671729,0,0,0,0,0,0,0,0,0,0,0,0,0.0789192708646146,0,0,0,4.33680868994202e-19,0,-0.00899064113168271,-0.0232747334270402,0,0,0,0,0,0
X600690.SH,0,0.0999578025090577,-1.35525271560688e-20,0,0,0,2.71050543121376e-20,0,0,0.14654028764493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00975817864008245,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0.00505228694155268,0,0,0,0,0,0,0
X002304.SZ,0,0.131014699452061,0.347558306740609,0,0.0322208964285213,0,0,0,0,0,0,0,0,0,0.0475889359732277,0,0,0,0.0906926216333827,0,0,0,0,0,0,0,0,0.00570686441922895,0,0.0024639628456215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134813015398272,0,0,0,0,0,0,0
X000651.SZ,0,0.133240881006548,0,0,0,0,0,0.277437050930992,0,0,0,0,0,0,0,0.091925883770436,0,0,0,0,0.0912159327268213,0,0,-0.0233413303013512,0,0,0,-0.0745447360216182,0,-0.0221430069742911,0,0,0,0,0,0,-0.0302562962801954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203990414813126,0,0,0,0,0,0,0
