,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X002475.SZ,X600741.SH,X000338.SZ,X300003.SZ,X600031.SH,X000063.SZ,X002236.SZ,X002008.SZ,X600809.SH,X600867.SH,X300124.SZ,X000596.SZ,X002456.SZ,X601877.SH,X600271.SH,X000661.SZ,X600566.SH,X600487.SH,X600066.SH,X000625.SZ,X000100.SZ,X002294.SZ,X300136.SZ,X002179.SZ,X300142.SZ,X000977.SZ,X002007.SZ,X002241.SZ,X000981.SZ,X000157.SZ,X002180.SZ,X000050.SZ,X600498.SH,X000869.SZ,X002049.SZ,X600779.SH,X600522.SH,X002508.SZ,X002038.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.205448412311391,0.162213062112301,0,0.00193157651149211,0,0,0,0,0,0,0,0,0,0,0,0,0.0389526727526129,0,0,0,0,0,0,0,0,0.0266938902001638,0,0,0,0,0,0,0.032883314980238,0,0,0,0,0,0,0,0.0421196147330448,0.0758288509063664,0,0,0,0,0,0,0.0138074307569015,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.242043946739705,0,0,0.0768828395508951,0,0,0.000613708567609627,0,0,0.0806942448976598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104877428900873,0,-0.0571246559437217,0,-0.033876784341905,0,0,0,0,0,0.0198412840702699,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103559941732395,0.253974860393781,0,0,0,0,0,0,0,0,0,0,0.172518971118695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184153531791434,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.191368195356573,0.102566422780862,0.0190141786981937,0,0.203736592634721,0,0,0,0,0,0,0,0,0.0969823855943828,0,0.00509966608102193,0,0,0.173596820933956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146529883734671,0,0,0,0.0107169295342445,0.00456874987845746,0,0,0,0,0,0
X000651.SZ,0,0,0,0.405716267902613,0,0,0,0,0.0752056351400051,0,0.169414247298451,0.0459545025084035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493951099468915,0,0,0,0,0,0,0,-0.159692307219512,0,0,0,0,0,0.140425544424083,0,0,0.0416441286421593,0.116062539415953,0,0,0,0,-0.0207038398202208,0.0388071878337013,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.173537442547975,0,0,0,0,0,0,-0.0366638898431901,0,0,0,0,0,0,0,0,0,0.252021791255093,0,0,0,0,0,0.103440080129827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137510127655859,0,0,0,0,0.0161182786374921,0,0,0,0,0,0,0
X002304.SZ,0,0,0.110598340224491,0,0,0,0,0,0.152966656013377,0,0,0,0,0,0,0,0,0.0434196194205259,0,0.282338858746509,0,0,0,0,0,0,0,0,0,0,0,0,0.0185562816565228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210206873810279,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800457665205798,0,0,0,0,0,0,0,0,0,-0.139207519901774,0,0,0,0,0,0,0.054476182382702,0,0,0,0,0,0,0,0,0.210590461015975,0.138835024093642,0,0,0,0.213396199968069,0,0,0,4.33680868994202e-19,-0.0267998426926691,0,0,0,0,0,0
X600690.SH,0,0,0,0.232034876255646,0,0,0,0,0,0.021155480826532,0,0,0,0,0.0200733700946912,0,0,0,0,0,0,0,0.0290433541577082,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.108296595311117,-0.0508072526713975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00880547001860972,0.0250990310036561,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.0530190552479454,0.0842111967382427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273283772648456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103945974102338,0.000569029025259459,0.0509412653700373,0,0,0,0.0289792631892963,0,0,0,0,0,0,0
