,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002304.SZ,X600276.SH,X002475.SZ,X000651.SZ,X300014.SZ,X600104.SH,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X000725.SZ,X000625.SZ,X002371.SZ,X002049.SZ,X600031.SH,X002179.SZ,X000063.SZ,X002241.SZ,X600089.SH,X000338.SZ,X600522.SH,X600703.SH,X000661.SZ,X300142.SZ,X002180.SZ,X000733.SZ,X601877.SH,X002074.SZ,X000100.SZ,X600741.SH,X000157.SZ,X600487.SH,X600884.SH,X600460.SH,X600702.SH,X601799.SH,X300003.SZ,X000799.SZ,X002414.SZ,X600584.SH,X600563.SH,X600372.SH,X002236.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0824063717829823,0.0807416952699889,0.226789020468055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402440407444881,0,0,0,0.0194679107063372,0,0,0,0,-0.017936604808273,0,0,0.0892924202753321,0,0,0.0111623407289985,0,0,0,0,0,0,0,0,0.00271608697021533,0,0,0,0,0,0
X000858.SZ,0,0,0,0.236119615460266,0.0189948500425628,0,0,0,0,0,-0.0214558802453248,0,0,0,0,0.088545074497051,0,0,0,0.0313214272638422,0,0,0,0,0,0,0,0,0,0,0.037428828299815,0,0,0,0,0,0,0,0,0,0.254716953326814,0,0,0,0,0,0,0,0,0,0,0.0258672517131098,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.595530933706665,0.0348387352239679,0,0,0,0,0,0,0,-0.0243653158587335,0,0,0,0,0,0.0376150604094822,0,0,0,0,0,0,0,-0.0447360790738959,0,0,0,0,0,0,0.0641190069453665,0,0,0,0,0,0,0,-0.124769217644574,0,0,0,0,-0.00304359439270498,0,0.0191129149168174,0,0,0,-0.000718750979241841,-0.0763290739549551,0,0,0,0,0
X000568.SZ,0,0.165306674118523,0.253155320615497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418444616860332,0,0,0,0,0,0,0,0,0,0,0,0.283373815019428,0,0,0,0,0,0,0,0,0,0,-0.0174892845484407,0.00993065422764795,0,0,0,0,0,0
X002415.SZ,0,0.237690450232884,0,0,0,0,0,0.0508265105056323,0,0,-0.0680625385884528,0,0,0,0,0,0,0,0,0,0.0775721581070566,0,0,0,0,0,0,0,0,0.048554047939865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190897464250838,0,0,0.106025032539124,0.159980565164961,0,0,-1.0842021724855e-19,0,0,0,-0.102833723984193,0,0
X600690.SH,0,0,0,0.0279232400563932,0,0,0,0,0,0.0773932325626267,0,0,0,0,0,0,0,-0.0300161256303377,-0.0391507684207373,0,0.00426779864578917,0,0,0,0,0,0,0,0,0,0,0,-0.120258836983717,0,0,0,0,0,0,0,0.0434380529142055,0,0.286650924185063,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.00234081888567058,0,0,0,0,0,0
X002304.SZ,0,0.0205519648230456,0,0,0,0,0,0.0879828496896028,0,0,0,0,0,0,0,0,0,0,-0.0235250886849142,0,0,0,0.0186983646006189,0,0,0,0,0,0,0,0,0,0,0.0226863904852207,0,0,0,0,0.00507296262602205,0,0.31962878596381,0,0,0,-0.0978270821056754,0,0,0,0,0,0,0.0521019744602455,-0.0100306578387576,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0520685774319107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495619381097629,0.0582371967098288,0,0,0,-0.00511297446062562,0,0.123285140051548,0.132607091098161,0,0,0,0,0.065095639978973,0,0.0826747853560722,0,0,0,0,0,0.048369624216724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0640617604318598,0,0.338285580621316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337310663876213,0,0,0,0.203516834649721,0,0,0,0.0140222546726199,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.181922604127424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121196159101242,0,0,0,0,0.0634902280786996,0,0,0,0.0591951757502638,0,0,0,0,0,0,0,0,0,0,0,0,0.00222221330434247,0.0414936084621483,0,0,-0.0995789539065268,0,0,0,0,0,0,0,0,0,0,0,0
