,X600519.SH,X600104.SH,X000725.SZ,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X000625.SZ,X600031.SH,X600690.SH,X000100.SZ,X600276.SH,X600271.SH,X600118.SH,X600372.SH,X600703.SH,X000157.SZ,X002129.SZ,X000559.SZ,X000338.SZ,X600839.SH,X600741.SH,X002241.SZ,X600089.SH,X600582.SH,X600066.SH,X600177.SH,X002292.SZ,X002236.SZ,X002475.SZ,X300003.SZ,X300124.SZ,X002456.SZ,X000800.SZ,X600060.SH,X002223.SZ,X601877.SH,X600166.SH,X002276.SZ,X000568.SZ,X000727.SZ,X600435.SH,X002465.SZ,X600198.SH,X000581.SZ,X000550.SZ,X000547.SZ,X000977.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0572437223150502,0,0.0663980946624851,0.0925562300164,0.0385817630276842,0,0,0,0,0,0,0,0.0398509446108398,0,0,0,0,0,0.045889875761842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413140933911805,0,0,0,0,0.0877510054408076,0,0,0,0,0,0,0,0,0,0,-0.00159296456594402,0.0114011646688173,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0970928311011588,0,0,0,0,0,0.0158415719634957,0,0.0507879087333554,0.0283800498128023,0,0,0,0,0.0743838674620012,0,0,0.0996506545324682,0,0,0.0272304363731327,0,0.026937328570331,0,0,0,0,0,0,0,0,0,0,0.0716710101194233,0,0,0,0,0,0,0,0,0,0,-0.004808315525505,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134328408990067,0,0.0793487172829532,0,0,0,0,0.0752237170461508,0,0,-1.73472347597681e-18,0.230635787123408,0,0,0,0,0,0,0,0,0.0218716135344428,0,0,0,0,0,0,0.103493562759136,0,0,0.0107536167741575,0,0,0,0,0,0,-0.00225039646024401,-0.0153211696443087,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.00484992185311137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183465025938846,0,0.193106844235059,0,0.015759616234093,0,0.0340102023943605,0,0,0.153777529996376,0,0,0.091999736537597,0,0,0,0,0,0,0,0,0.0506512587593863,0,0,-0.0167898168365695,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0280506762306775,0.0244956371187722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349848196140049,0,0,0,0.0444534112373003,0,0.0766023182314617,0,0,0,0,0.013800336085135,0,0,0,0,0,0,0,0,0,0,-0.00538697768617061,0.00798339056354302,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0327224251343462,0,0,0.0282469515315287,0,0,0.00330086729755356,0,0,0,0.0464930166225948,0,0,0.0349954720141926,0.0661688325663688,0,0,0,0,0,0,0,0,0,0.0273232029962826,0,0,0,0,0,0,0,0,0,0,0,0,0.343745368212786,0,0,0,0,0,0,0,0,0,0,-0.00836861331548865,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0544842142936145,0,0,0,0.0631051082469151,0,0,0,0,0,0.0473281060102882,0,0.0697908556898845,0.132436979504463,0,0,0,0,0,0,0,0,0,0,0,0,0.0407194666725801,0,0,0,0,0,0.0106965448739357,0,0,0,0,0,0,0,0.0141237246165313,0.0394092342129065,0,0,-1.73472347597681e-18,0.0881952520336507,0,0,-0.000257245783414627,-0.0086123766672414,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0671165606937986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524651517084922,0.0270996909939375,0,0.170019265694429,0,0,0.174503506830247,0,0,0,0,0,0,0,0,0.00602845564817607,0,0,0.0542522293532838,0,0,0,0,0,0,0,0,0.142200317212368,0,0,-0.00193390773646567,0,0,0,0,0,0,0
X000625.SZ,0.0454472926276777,0,0,0.0464042345498345,0,0,0,0,0,0,0,0,0,0,0,0.0321833467766899,0,0,0,0,0,0.00910111153749914,0.095278417827029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694160804827726,0,0,0,0,0.0565847891943438,0,0,0,0,0,0
X600031.SH,0,0,0,0.0814117176765259,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.147229266403459,0,0.143712804095412,0,0,0,0,0,0,0.0563533890621859,0,0,0,0,0,0,0,0,0.0452658881464059,0,0,0,0,0,0,0,0,0,0,0.0196826910496536,0,0,0,0,0,0,-0.00708441741387933,0.0113692372958863,0,0,0,0,0,0
