,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600276.SH,X003816.SZ,X600690.SH,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000625.SZ,X000725.SZ,X600031.SH,X000063.SZ,X000338.SZ,X002304.SZ,X300124.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600372.SH,X600584.SH,X000157.SZ,X600703.SH,X000977.SZ,X600522.SH,X002028.SZ,X600066.SH,X600741.SH,X600183.SH,X002236.SZ,X002049.SZ,X600418.SH,X601877.SH,X000921.SZ,X000800.SZ,X600487.SH,X002180.SZ,X002223.SZ,X000661.SZ,X601799.SH,X600460.SH,X002074.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.189768703956982,0,0,0,0,0,0,0.128058970083249,0.0825423274757438,0,0,0,0,0,0,0.0262303453487432,0,0,0.0826240473987056,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,-0.0292176632412541,-0.0414421940525805,0,0,0,-0.032442626836652,-0.0247070199364361,0,0,0,0,0,0.0603687278344561,0,0,-0.0662096083786835,0,0,0,0.0149657587003214,0,0
X000858.SZ,0.13011343008725,0,0,0,0,0,0,0,0,0.325658892333797,0,0,0,0,0,0,0,0.169627755642406,0,0.0935920361896169,0,0.00050457655618427,0,0,0,0,0,0,0,0,0,0,0,0,0.0013008403488685,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.00243582821629405,0,0,0.0625144443044492,0.00477392432116706,0,3.3881317890172e-21,0,0,0,0,0.0307631287031889,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062226718832713,0.0762258641920851,0.368441742852064,0,0,0.0153708513139577,0,0.0792460471118228,0,0,0.0444698011462888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642051113823371,0,0,0,-0.0296361857229308,0,0
X002415.SZ,0,0,0,0,0,0,0.0855144107880033,0,0,0,0,0,0,0,0.0458184784649944,0,0.0170689694824196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272963169032609,0.0758943970594317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830640874307322,0,0.079873551964578,0,0.0579343482151616,0,0,0,0.0103990804295392,0,0,0,0,0,0,0,0,0,0,0,0,0.00488551604510401,0,0,0,0,0,0,0.153801828018417,0,0,0,-0.0201009778735239,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.191049240975956,0,0,0,0,0,0,0,-0.157412173078737,0,0,0,0,0,0,0,0,-0.108619487948025,0,0,0,0,0,0.0139036043411056,0,0.0842303505386009,0,-0.00903474685771182,0,0,-0.121492869745435,0,0,0,0,-0.0272930737038292,0,0,0.127550245564659,0,0,0,0,0.00665514841170606,0,0,0,0,-0.014293733641181,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0838955673448398,0.164996729207946,0.100232563927028,0,0.116602134233071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829963958500473,0.0599340193565325,0,0,0,0,0,0,0,0.212133466375364,0,0,-0.0329639576614721,0,0,0,0,0,0.0210344427411113,0,0,0,-0.0305944256406828,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.157556702973908,0,0,0,0,0,0,0,0.0609493548994781,0,0.0158415985432353,0,0,0,0,0.0120669418695445,0,0,0.0407380302337921,0,0,0,0.134642998721892,0,0,0,-2.16840434497101e-19,0.0134695351653491,0,0,0,0,0,0,0.162646152658496,0,0,0,0,0,0,0,0,0,0,0.0131455832383434,0,0,0,0,5.42101086242752e-20,0,0
X600809.SH,0.0490377466390335,0,0,0,0,0,0.130234640078429,0,0,0,0.0085965429993889,0,0,0,0,0,0.00791505021357887,0,0,0.470949965475088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892165565464167,0,0,0,8.67361737988404e-19,0.0302819666899934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.122241874786333,0.444341210813556,0,0,0,0,0,0,0,0,0.0085451910434543,0,0.00216642697165364,0,0,0,0,0,0,0.179858526459862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014639388197479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274375388566756,0,0,0,0.00377985938229724,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3556759150884,0,0,0,0,0,0,0,0,0,0,0.0973964434229416,0,0,0,0,0,0,0,0,0,0,0.0272076768619296,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.130106232178964,0,0.0671555188849326,0,0,0,0,0,0,0,0,0.0244130385507149,0,0,0,0,0,0,0,0,0,-0.0181593790643767,0,0,0,0,0.0447655964947111,0,-0.0260365739338792,0,0,0,0,0,0,0.055458132637363,0.0405567629532958,0.0460977120030636,0,0,0,0,0,0,0.0247469786929744,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893506414521594,0,0,0.136365517556458,0,0,0,0,0,0,0,0,0,0,0,0,0.419121852642367,0,0,0,0,0,-0.0652672515551604,0,0,0.104972173682758,0.0888889648803509,0,0,0,0,0,0,0,0,0,0
