,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X000661.SZ,X600741.SH,X600703.SH,X002241.SZ,X300003.SZ,X000596.SZ,X600183.SH,X002236.SZ,X002007.SZ,X601877.SH,X300142.SZ,X000157.SZ,X000100.SZ,X000066.SZ,X300124.SZ,X002179.SZ,X002463.SZ,X000977.SZ,X600271.SH,X002008.SZ,X000625.SZ,X300136.SZ,X300014.SZ,X002371.SZ,X002456.SZ,X600177.SH,X002506.SZ,X600066.SH,X600584.SH,X002180.SZ,X600498.SH,X002129.SZ,X002508.SZ,X600867.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.106678836726407,0,0,0,0,0.0894537795886937,0,0,0,0,0.392101995774179,0,0,0,0,0,0,0,0.0434391110595365,0,0.0159346801936827,0,0,0,0,0,0,0,-0.010973670335642,0,0,0,0.0385483810741956,0,0,0,0,-0.0780701614205743,0,0,0,0,0,0,0,0,0,-0.0217971932577285,0,0,0,0.0205427703749439,0,0,0,-0.0021129767110077,0,0
X000858.SZ,0,0,0,0,0,0,0.0376598795174364,0,0,0,0,0.343489581344264,0,0,0,0.151106651291185,0,0,0,0,0.0154570355476825,0,0,0,0,0,0,0,0,0.011314303259638,0,0,0,0.0113819600031562,0,0,0,0,0,0,0.0440914072992247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.0347353625219168,0,0,0,0,0,0,0,0,0,0.191628425619914,0,0,0,0,0.105461751058181,0,0.00851961823604304,0,0,0,0,0,0,0,0,0,0,0.00315536718618863,0,0,0,0,0.119287067831797,0.0657149384142159,0,0,-0.0649321609753695,0,0.00384780884667367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314294333049227,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150443615964463,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0730955989663462,0,0,0,0,0,0,-0.0285133767143095,0,0,-0.0319061706355026,-0.117447285250821,0,-0.0474811516087688,-1.0842021724855e-19,0.00149740426013317,0,0,0,0,0,0,0.0741738750587041,0.181164289321268,0,0,0.098519508009453,-0.12324152849891,0,0,0,0.0941168851917515,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0118854754185994,0,0,0,0,0,0,0,0,0,0,0,0.518746325109725,0,0.0552486116247458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159034169351392,0,0,0,0,0,0,0,0,0,0,0.0421961617393547,-0.0489542967186317,0,0,0,-0.0469317590627788,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400122936850776,0,0,0,0,0,0,0,0.0573829508387542,0,0,0,0,0,0,0,0.0154783513699764,0,0.00718632350223103,0,0,0,0,0,0,0,0,0.0727932535942236,0,0,0,0.0882293131280031,0,0,0.00182804941366573,0,0,0,0,0,0,0
X002475.SZ,0,0.220175698492018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461129108601007,0,0,0,0,0,0,0,0,0,0,0.12980891891073,0,0,0,-0.0275926425707781,0,0.290729157695391,0,0.173504646749034,0,0,0.0796468168576578,0,-0.0481922059086995,0,0,-0.0697232923135035,0,0,0,0,0,0.00646200927308319,0,0,0,0,-0.0441972936863929,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.143315452617114,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.112561657112293,0,0,0,0,0,0,0,0.0295994222657541,0,0.138041965255785,0,0,0,0,0.0177443246290182,0,0,0.0693884445706651,0,0,-0.0951562908885312,0,0,0,0,0.0858391042263173,0,0,0,0,0,0,0.0956155478978658,-0.0192945628092484,0,0,0,0.0847912176761703,0,0
X002304.SZ,0.279561609984157,1.73472347597681e-18,0.0654155495998404,0,0,0,0.0185454702576028,0.120706284618862,0,0.0658496034599033,0,0,0,0,0,0,0,0,0.00350567299002247,0,0,0.0212070534545406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126559754797552,0,0,0,0,0,0,0,0,0,0,0,0,0.000946141902102167,0.00823981795503912,0,0,0,0.00194529597620832,0,0
X000063.SZ,0,0,0,0,0,0,0.130882693994937,0,0,0,0,0,0,0,0,0.00453260494149629,0,0,0.106774851826011,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124291574898255,0.00583144964892114,0,0,0,0,0.0203235070846814,0.033484268488465,0,0,0,0,0,0,0,0,0.0602438948904546,0.078060939590628,0,0,0,0,0,0,0,0,0
