,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X000625.SZ,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002241.SZ,X600031.SH,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X002508.SZ,X002456.SZ,X601877.SH,X300124.SZ,X600271.SH,X600118.SH,X002085.SZ,X600089.SH,X600522.SH,X600177.SH,X000157.SZ,X300136.SZ,X300003.SZ,X002007.SZ,X600372.SH,X000981.SZ,X002008.SZ,X002294.SZ,X600867.SH,X600699.SH,X600487.SH,X600566.SH,X600809.SH,X000066.SZ,X000596.SZ,X002074.SZ,X300115.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.106939739701872,0,0,0,0,0,0,0.228098596883394,0,0,0,-0.0398847395441728,0,0,0,0,0,0,0,0,0,0,0,0.0187112994255375,0,0,0,0,0,0,0,0,0,0,0,0,0.108404880982312,0,0.00776912165139471,0,0.133232499706016,0,0,0,0,-0.00350937726034809,0.00238197143194243,0,0,0,0,0,0
X600104.SH,0,0,-0.0419127586997557,0,0,-0.0721199304057472,0,-0.0152826436062508,0.0146554509731319,0,0,0,0,0.224399565042676,0,0,0,-0.0292314538505964,0,0,0,0.0670909273966306,0,0,0,0,0,-0.0384749404930014,0.179825246970032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00816932359490785,-0.0121922203542787,0,0,0,0,0,0
X002415.SZ,0,0,0,0.101810805015494,0,0.00395656150454683,0,0,0,0,0,0,0,0,0,0,0,0.222288327892643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331700749908139,-1.73472347597681e-18,0,0,0,0,0,0,-0.00382576749189641,-0.0105179002726183,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0830822699589281,0,0,0,0,0,0.0893984588500678,0.0891806829962537,0,0,0,0,0.0209813575459353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209466988820612,0,0,0,0,0,0,0,0,-0.0458974069434157,0,0,0,0,0,0.0231977278725845,-0.00235563288144374,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0958903373013017,0,0,0,0.161461037633407,0,0,0,0,0.246028647749193,0,0,0,0,0.11369861483749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647228866821506,0,0,0,0.00251313020075745,0,0,-0.0770407640087353,0,0,0,0,0,0.00252351509178003,-0.00348635654193214,0,0,0,0,0,0
X000725.SZ,0,0,0,0.103822554370807,0,0,0,0,0,0,0,0,0,0.0389432676860807,-0.237999691354282,0,0.220107973969086,0,0,0,0,0,-0.0179435249237154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171345539483064,0,0,0.0420720080734648,-0.0340906099973201,0,0,0,0,0.457871346596503,0,-0.0353351995806732,0.0198784737480481,0,0,0,0,0,0
X600276.SH,0,0,0,0.126011334552698,0,0,0,0,0,0,0,0.110549546072433,0,0,0,0,0,-0.0635916958853994,0,0,0,0,0.0612158770456401,0,-0.0650134017841234,0,0,0,0,0,0,-0.0692488010497976,0,0,0,-0.0190157223937764,0,0,0,0.142050865201976,0,0.0881037087985587,0,0.0135475584429163,0,0.059785596928892,0,0,0,0,0,0.0203048550746236,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.195578231190879,0,0,0,0,0,0,0,0.345458086519808,0,0,0,0.0644224297817488,0,0,0,0,0,0,0.0534567141167698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613218930152562,0,0.00661639270825026,0.0562742410549355,0,0,0,0.0706590359372442,0,0.0168610858970256,-0.00171757508205991,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.104691260307864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029106390212198,0,0,0,0,0,0.115010114926852,0,0,0,0.0894730656474887,0,0,0.00279827620972163,-0.011270369810512,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132938204881795,0,0,-0.193216792869561,0,0,0,0,0,0.115136582973168,0,0.0363698033769124,0,0,0,0,0,0.0173428537296889,0,0,0.00139428892510233,-0.102394393638395,0,0.0770564872188492,0,0,0.00341386709179181,-0.00155650717706967,0,0,0,0,0,0
