,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600031.SH,X600809.SH,X000651.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X000338.SZ,X300124.SZ,X300014.SZ,X000661.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000100.SZ,X000596.SZ,X000157.SZ,X002241.SZ,X000625.SZ,X002371.SZ,X600741.SH,X002007.SZ,X002129.SZ,X300142.SZ,X002179.SZ,X601877.SH,X002049.SZ,X600584.SH,X002236.SZ,X002414.SZ,X300003.SZ,X601799.SH,X000799.SZ,X002008.SZ,X600183.SH,X000800.SZ,X002074.SZ,X600089.SH,X000977.SZ,X000066.SZ,X600779.SH,X600177.SH,X002294.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.072092045621457,0,0,0.248725747850103,0,0,0,0,0,0,0,0,0,0,0,0.0319587588343981,0,0,0,0.0109400638071638,0,0.0753111782945186,0,0,-0.14151352521232,0,0.0293516154765,0,0,0,0,0,0,0,0,0,0,0.0187732578022871,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146693878142907,0,0,0,0,-8.67361737988404e-19,0,0
X000858.SZ,0,0,0,0,0.30446804946017,0,0.0893913537439738,0,0,0.038806089586309,0,0,0,0,0,0,0,0,0,0,0,0,0.00581117041724539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153888372386114,0,0,0,0.0281454283907301,0,0,0,0,0,0,0,0,-0.0182486641916793,-0.00103545221317192,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.013041618291579,0,0,0,0,0,0.06988518704267,0,0,0,0,0,0,0,0,0,0,0,0.0477669854211872,0.057698016744249,0,0,0,0,0,0.461327330723968,0,0,0,0.0123310893973549,0,0,0,0.00824373515576131,0,0,0,0.143183394479609,0,0,0,0,-0.00229425233727814,0,0,0,0,-0.0194697847481521,0,0
X600276.SH,0,0,0.157454351512871,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.1018377682963,0,0,0.0305623410809602,0,0,0.0248542675620478,0,0,-0.0168625856175404,0,0,0,0,0.0373464674441056,0,0,-0.0212662948989508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449665196855682,0,0,-0.00256109181121115,0,0,0,0,-0.0308803509897867,0,0
X000568.SZ,0.0198962612367356,0,0,0,0,0,0,0,0,0.0849783308175555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0472801368038412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290701996020435,0,0,0,0,0,0,-0.119744575372333,0.235102273006338,0,0,0,0,0,-0.0274595628973483,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0257266069455703,0.167434101562515,0,0,0,0,0,0,0,0,0,0.0442172000700005,0,0.181304798531724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111775468713808,0,0,0,0,0,0,0,0,-0.0285459511690705,0,0,0,0,0,0,0
X600809.SH,0,0.139125389049296,0,0,0,0.0862341619774696,0,0,0,0,0.109262232785839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345304044346137,0,0,0,0,0,0,0,-0.224539768707172,0,0,0.080985800311447,0,0.0382506980704104,0,0,0,0,0,0,0,0.135563155050146,0,0,0,0,-0.0212297458462272,-0.0274215277417449,0,0,0,0.0180656627274531,0,0
X000651.SZ,0,0,0,0,0.0706949684634866,0,0.0230215769409978,0,0,0,0,0,0,0,0,-0.105912818795755,0,0,0,0,0,0.0382370881313833,0.145046891225661,0,0,0,0,0,0.152080552842247,0.0207622282693366,0,0,0,0,0,0,0,0,0,0,0,0,0.0670539459693881,0,0,-1.0842021724855e-19,0,0,-0.0535422939210008,0,0,0.00278671588936679,0,0,0,0,-0.00317639824555387,0,0
X002475.SZ,0,0,0.0059728333740417,0.0988958711677624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743652067140966,0,0,0.0291530375704282,0.423677417789248,-0.0363804829916585,0,0,0.107933840635674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256769899571879,0,0,0,0,0.00372880210671505,0,0
X002304.SZ,0,0,0,0,0.121193527336084,0,0.226726395999581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214575693437003,0,0,0,0,0,0.0819680434661017,0,0,0,0,0,0,0,0,0,0.205992435685367,0,0,0,-0.0461043053008552,0,0,0,0,0,0,0,0,0,-0.0464739322822686,0,0,0,0,0.0444638607219761,0,0
