,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X600104.SH,X002415.SZ,X003816.SZ,X002304.SZ,X000568.SZ,X002475.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X002007.SZ,X002241.SZ,X600703.SH,X000100.SZ,X002179.SZ,X300142.SZ,X000157.SZ,X600271.SH,X000625.SZ,X300124.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600066.SH,X000977.SZ,X600498.SH,X000066.SZ,X300136.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002049.SZ,X300146.SZ,X002371.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0.282707322593571,0,0,0,0,0.233132487770714,0,0,0.104822541580244,0,0,0,0,0.0147720051052808,0,0,0,0,0,0,0,0,0.0386114867849443,0,0.184038599103235,0,0,0,0,0,0.023783624237735,0,0,0,-0.182056269016998,0,0,0,0,0.0639325385640323,0,0.13131013304549,0,0,0,0,0,0.0060553237584769,-0.00931487542703377,0,0,0,0,0,0
X600809.SH,0,0.354563711561528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231343135116637,0,0,0,0,0,0,0,0.0312291781125543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773372013180797,0,0,0,0,-0.00124647148252735,0,0,0,0,0,0,0
X000596.SZ,0,0.0454813667433155,0,0,0,0,0,0.355979977950591,0.0949568565937671,0,0,0,0,0,0,0,0.316871312344134,0,0.0135949975918086,0,0,0,0,0,0,0.094016041816263,0,0,0,0,0,-0.0635499827355226,0,0,0,0,0,0,0,-0.00438446389588222,0,0,0,0,0,0,0.0594169700516797,0,0,0,0,0.0269315311303105,0.0238740349559423,0,0,0,0,0,0
X000661.SZ,0,0.00337334871749138,0.255757748534778,0,0,0.15040897036061,0,0.0471415455349368,0,0,0,0,0,0,0,0,0,0.0354675385754216,0,0,0,0,0,0.266843649316639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200799856548965,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490362669388707,0,0.125394438061807,0,0,0,0,0,0.17153934587333,0,0,0.0515694164759342,0.0676871377519219,0,0,0,0,0,0.00316715556963098,0.0237964355707553,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0.265383360278898,0,0,0,0,0,0.133774856248842,0,0,0,0,0.00542220267621022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113629691975472,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.00390241991271668,0,0,0,0,0,0
X300003.SZ,0,0,0.31355001440933,0,0,0,0,0,0,0.0804730158368184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693708861020824,0.0290167262836814,0,0,0.00699738214251444,0,0.24376201525931,0,0.24951229688196,0,0.116587826511518,0,0.191723035828267,0,0,0,0,0,0,0,0,0.0574084328248935,-0.115770066410417,0,0,0,0,0,-0.00521040797636673,-0.00448717925414976,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0.0826210621435985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487770081918528,0.0256640479248765,0,0,0.0215200298242327,0,0,0,0,0,0.017824375511068,0,0,0,0.0477763968741174,0,-0.0677809516691238,0,0,0,0,0.0808217778900676,0,0,0,0,0,0.0130233939014827,-0.00724551400425269,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,-0.155985214443939,0,0,0,0,0,0,0,0,0,0,0,0.398240285873785,0,0,0,0,0,0,0,0,0,0.211323347456809,0,0,0.0407779132736939,0,0,0,0.0947986170117992,0,0,0,0,0.0712079610289358,0,0,0,0,0,0,0,0,0,0,0.0107033187222923,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.350830940258684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312107076471645,0.160023236177305,0,0,0,0,0.203833696509335,0,0,0,0,0,0,0,0,0.0515105838469102,0,-3.46944695195361e-18,0,0,0,0,0.0613014179335052,0,0,0,0,0,0,0,0,0,-0.00581212533610412,0,0,0,0,0,0,0
