,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X000157.SZ,X002236.SZ,X600703.SH,X000100.SZ,X300003.SZ,X600183.SH,X600271.SH,X300142.SZ,X002007.SZ,X300124.SZ,X000625.SZ,X002179.SZ,X002241.SZ,X002506.SZ,X600177.SH,X600498.SH,X600867.SH,X002008.SZ,X600487.SH,X300014.SZ,X000050.SZ,X002371.SZ,X002049.SZ,X600066.SH,X002129.SZ,X300146.SZ,X002463.SZ,X000066.SZ,X000977.SZ,X600118.SH,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.131136223693962,0,0,0,0.0916322345026865,0,0,0,0,0.112463133623742,0,0,0,0,0.0183102973554398,0,0,0,0,0.062758851691177,0.0440354611047226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963628146422503,0,0,0,0,0,0,0,0,0,0,-0.0146512483495133,0,0,0,0,0.0986748863975454,0,0
X000858.SZ,0,0,0,0,0,0,0.198647889019567,0,0,0,0.281536558567864,0.0889165315060418,0,0.104360279489992,0,0,0.187360526138365,0,0,0,0,0,0,0,0,0,0,0.0537743084259821,0,0,0,0,0,0,0,0,0,0,0,0,0.0747063492366714,0,0,0,0,0,0,0,0,0,0,-0.02163822025787,-0.00241174270913855,0,0,0,0,0,0
X000651.SZ,0,0.0154843248910485,0,0,0,0,0.144667216903355,0,0.162642502708274,0,0,0.176594563374402,0,0,0,0,0,0,0,0,0.0614490174814963,0,0,0,0,0,0,0,0,0,0,0,0.00814802776364927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036203598327561,0,-0.00384777844676155,8.67361737988404e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.244800126615239,0,0,0,0,0,0.115670794509975,0,0,0,0,0,0,0,0,0.0915039312131985,0,0,0,0,0,0,0,0,0,0,0,0.0749167336770184,0,0,0,0,0,0.0304247571133525,0,-0.031693806850129,0,0,0,0,-0.00484157663156852,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242335418704783,0,0,0,0,0,0,0,0,0,-0.00455147182516895,0,0,0,0,0.092759180666359,0,0,0,0,0,0,0,0,0.121998003132539,0,0,0,0,0,0.00915914834143479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.137395719846874,0,0,0,0,0,0,0,0,0.635813525682041,0,0,0,0,0,0,0,0,0,0,0.125539804853666,0,0,0,0,0,0.0135357629705722,0,0,0,0,0,0.114267809295111,0,0,0,0,0,0,0,0.0141678377014253,0,0,0,0,0.0819982155219623,0,0
X002304.SZ,0,0.207616539934256,0,0,0,0,0,0.00438337230271222,0,0,0.161384578596716,0,0,0,0,0.245404086769369,0,0,0,0,0,0,0,0,0,-0.0618674135623503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788221575562373,0,0,0,0,0,-0.0105970760258315,0.022459300578082,0,0,0,0.0754547724190024,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0566068752045916,0,0,0,0,0,0,0,0,0.138596769217455,0.00847044135558887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483968479018175,0,0,0,0,0,0.0568790988666028,0,0,0,0,0,0,0.0583245827922637,0,0,0,0.00871315321944224,0,0
X000063.SZ,0,0.0795485361668265,0,0,0,0,0,0,0,0,0,0.151374837311897,0,0,0,0,0,0,0,0,0,0,0,0,0.0177719976658847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683544564538459,0,0,0,0.0901206941081829,0.0805808643687832,0,0,0.171627622458691,0,-0.00776308269216773,-0.00288842070781901,0,0,0,0.11119165575431,0,0
X600031.SH,0,0.122652197496734,0,0,0,0,0,0,0,0,0,0.0583458461309063,0,0.113592325440522,0,0,0,0,0,0,0,0,0,0,0,0,0.155957508169066,0,0,0,0,0.0864952895329036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232460884335647,0.00374114561718134,0,0,0,-0.00766264223814095,0,0,0,0,0.00178091167857486,0,0
