,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X600104.SH,X000651.SZ,X300014.SZ,X002129.SZ,X000625.SZ,X300124.SZ,X600031.SH,X002371.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X600089.SH,X002179.SZ,X600703.SH,X000661.SZ,X600522.SH,X300142.SZ,X601877.SH,X002074.SZ,X002180.SZ,X600460.SH,X600741.SH,X000733.SZ,X600884.SH,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X601799.SH,X002176.SZ,X002236.SZ,X600563.SH,X600584.SH,X000800.SZ,X600779.SH,X002007.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00168305769118646,0.00426113757975779,0.178851144657081,0,0,0,0,0.0299505992735473,0,0,0,0,0,0,0,0.0210168542604646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539636849304958,0,0,0.0594773886490392,0,0,0.059020473498751,0,0,0,0,0,0.0173480257611493,0,0,0,0,0,0,0.011505770748847,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.257698457624951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0158421570573661,0,0,0,0,0,0,0.0257623910752551,0,0.204594772950467,0,0,0,0.0087216659734924,0,0,0,0,0.178250118490909,0,0,0,0.00427643705746812,0.0372545786097641,0,0,0,0,0,0
X600809.SH,0.0901859920822124,0,0,0.368776656066758,0.0265653707907321,0.0278964857140581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000442633294869056,0,0,0,-0.0112044412593626,0,0.203988346334522,0,0,0,0,0,0,0.116459024722423,0,0,0,0,0,0.0884119704570439,0,-0.00614405505993725,0,0,0,0.178573447636986,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0.175634231556893,0,0,0,0,0,0.00961202698447416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421851487342692,0,0,0,0,0,0,0,0,0,0,0,0,-0.00219173098371826,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0355094964699485,0,0,0,0,0,0,0,0,0.0665656203737037,-0.125306755474961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356166697881945,0,0,0,0.895716176709845,0,0,0,0,0,0,0,0.037693613086908,0.0462895399513779,0,0,0,0,0,0
X002304.SZ,0,0,0.111913467178916,0.102652258656263,0,0,0.00402395758012531,0.0861240162882475,0,0,0,0,0,0,0,0,0.135869185664799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141835656484125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252598782020592,0,0
X600690.SH,0,0,0.115467490788325,0,0,0.198726099271148,0,0,0,0,0.22778343320646,0,0,-0.0007867150604112,0,0.0488886378553815,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.00314757411439568,0,0,0,0,0,0.0590704989259779,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0351312106907563,0,0,0,0,-0.0575798885599054,0,0
X600276.SH,0,0,0,0,0,0,0.118096619689254,0,0,0,0,0,0,0.0417519440033505,0,0,0,0,0,0,0,0,0,0,0,0,0.110653207257287,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.116485831631719,0,0,0,0,0,0,0.166354299739743,0,0.300550561046538,0.0160375647435043,0,0,0.0556016124661687,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165247544591548,0,0,0,0,0,0.152352329582992,0,0,0,0.136292163222916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421538311390505,0,0.120686356292843,0,0,0,0,0,0,0,-0.0199399037520622,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.00532536651297322,0,0.0906025195347952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237766587732293,0,0,0,0.0286047584760466,0,0,0.0541209259344615,0,0,0,0,0.0294500575725552,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0.0270478820207748,0,0
