,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X600741.SH,X002475.SZ,X000338.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000100.SZ,X002008.SZ,X601877.SH,X600066.SH,X600487.SH,X300136.SZ,X600809.SH,X300124.SZ,X002508.SZ,X600522.SH,X300003.SZ,X600498.SH,X600867.SH,X002294.SZ,X600699.SH,X600089.SH,X002085.SZ,X000596.SZ,X600271.SH,X000981.SZ,X000157.SZ,X600177.SH,X000050.SZ,X600566.SH,X600118.SH,X000559.SZ,X600584.SH,X002180.SZ,X000661.SZ,X300142.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.17155208902593,0,0,0.193452368117567,0.133024948991337,0,0,0,0.063120786038478,-0.0717992184781688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980236939303565,0,0,0.0109968006104674,0,0.00954780563033104,0,0,0,0,0,0,0,0,0,0,0.1278361925361,0,0,0,0,0,0.0134985537259511,0,0,0,0,0,0,0
X002415.SZ,-0.020013381768344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327509844188082,0,0,0,0,0.0228782461467955,0,0,0,0.046254753922973,0,0.153953001365768,0,0,0.0323656047415314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740879086261578,0,0,0,0.00650139393677836,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0511521305781657,0,0,0,0.102833960800337,0,0,0,0.288372838407382,0.0769707938133231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0413633502299782,0,0,0.0108230369583798,0,0,0,0,0,0,0,0,0,0,0.0134359308905518,0,0,0,-0.0343835241200152,0.0421397416491528,0,0,0,0,0,0
X000858.SZ,0,-0.0121233759014413,0,0,0,0,0,0.122082106397676,0,0,0,0.303885741089252,0,0,0,0,0,0,0,0,0,0,0.0351495711714811,0,0,0,0.210252977979441,0,0,0.0255800450642725,0,0,0,0,0,0.0209693282110491,0,0,0,0,0,0,0,0,0,0.111465012576804,0,0,0,0,0,-0.0242803003288869,0,0,0,0,0,0,0
X000651.SZ,0,-0.0676272325342683,0.115870224166956,0.122488092106399,0,0,0,0,0,0,0,0,0.0688895855687831,0,0,-0.0522373864823513,0,0,0,0.0798125765931035,0,0,0,0,0,0,2.16840434497101e-19,0,0.0382297079073647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373871621714748,0,0,0,0.0056779965968456,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,-0.0154625275471446,0.125561113762248,0,0,0,0,0,0.0401767017756085,0,-0.0521339157404326,0,0,0,0,0,0.122523123923305,0,0,0.294490155725826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287382230535361,0,0,0,0,0,0,0,0,0,0.00783383959889384,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0393918216543625,0,0,0,0.177150225401281,0,0,0,0,0,0,0,0,-0.134626375767679,0,0,0.061860732575043,-0.0394960804949967,0,0,0,0.0271535449875741,0,0,0,0,0.0573407945733971,0,0.181301102500886,0,0,0,0,0,0,0,0,0,0,0,-0.0794737604789031,0,0,0,0,0,0,0.0143688906878128,0,0,0,0,0,0
X002304.SZ,0,-0.0138154740704425,0,0.449368894731069,0,-0.0160595893366011,0,0,0,0,0,0,0,0,-0.0287545808108976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390670492487305,0,0,0.147430857347918,0,0,0.0779915968249869,0,0,0,0,0,0,0,0,0,-0.0573791627969295,-0.0935241717021618,0,0.0207654250897424,0,-0.0761537648807838,0.0696916914174997,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0578533314337314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882437689746024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721615817126824,0,0,0,0.264002349231634,0,0,0,0,0,0.0273233062383585,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.046883238042367,0.16295063816719,-0.109728565199332,0,0,0.167364453200067,0,4.02471219550088e-05,0,0,0,0,0,0,0,0,0,-0.160296903549653,0,0,0,0,0,0,0,0,0.0465560509692318,0,0,0.246570335892386,0,0,0,0,0,0,0,0,0,0,0,-0.131755390100668,0,0,0,0,0.00611092511287579,-0.0114560292840468,0,0,0,0,0,0
