,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600031.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600809.SH,X600690.SH,X600104.SH,X000725.SZ,X000338.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X600703.SH,X003816.SZ,X000157.SZ,X000100.SZ,X002241.SZ,X000596.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X600741.SH,X002179.SZ,X002007.SZ,X601877.SH,X002049.SZ,X300142.SZ,X002236.SZ,X600584.SH,X600183.SH,X002414.SZ,X300003.SZ,X000800.SZ,X601799.SH,X000066.SZ,X002074.SZ,X002008.SZ,X000977.SZ,X000799.SZ,X600089.SH,X600460.SH,X000050.SZ,X002294.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.198447839655838,0.0991301305678527,0,0,0,0,0,0,0,0,0,0,0,0.0495211471757694,0,0,0,-0.0304057098959095,0,-0.00871962618152299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00989602501565701,-0.0327706399261755,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.376213748106138,0.0614609281216319,0.102189517175987,0,0,0,0,0,0,0,0,0,0,0.0166691014099706,0,0,0,0,0,0,0,0.00196956933617028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100814653270287,0,0,0,0,0,0,-0.0254135390088131,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.00826507296680914,0,0,0,0.051160694382232,0,0,0,0,0.0726219332310979,0,0,0,0,0,0,0,0,0,0,0.0197419692051126,0,0,0,0,0,0,0.526183045983887,0,0,0,0,0,0,0,0.0319804006518384,0,0,0.0327059007680968,0,0,0,0,0,0,-0.00807560192103376,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0736416936327375,0,0,0,0.0874895636435586,0.0307603017385073,0,0,0,0,0,0,0,0,-0.0340220922237397,0,0,0,0.0686581309386682,0,0,0,0.00589868094717731,0,0,0,0,0,0,0.00932538705981068,0,0,0,0,0,0,0,0,0.129448663583962,0,0,-0.00729685420709697,0,0,0,0,-0.0274380418564714,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.284997644379826,0,0,0,0,0,0,0,0.068078889258034,0,0.143406093923624,0.0170073552173677,0,0,0,0.0429265612566867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067328093779539,0,0,0,0,0,0,0,0,0,-0.0328611970751167,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.171366278037358,0,0,0,0,0,-0.0844779491254845,0,0,0.0410717112522842,0,0.129008900779343,0,0,0,0,0,0.0522061070371148,0,0,0,0,0,0.0234305556968018,0,0,0,0,0,0,0,0,0,0,0,0.01088935645962,0,0.13042078654971,0,0,0,-0.052350963148757,0.0032058804370685,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0662536067734126,0.259915448024164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02773319850161,0,0.0528087340872224,0,0.29046186294395,0,0,0,0,0,0,0.00872463015221776,0,0,0,0,0,0.153846883754281,0,0,0,0,0,0,0,0,0,0,-0.0454702331803421,0,0,0,0,-0.00392854493037969,0,0,0,0,-0.0479138758613217,0,0
X000568.SZ,0,0.60923836576703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137582339537103,0,0,0,0,0,0,0,0,0,-0.0611909616660524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0702503013396474,0,0,-0.0132401246371321,0.344767412055517,0,0,0,0,0,0,0,-0.0255010917091349,0,0,0,0.017802430974436,0,0
X002304.SZ,0,0.122835637294104,0,0,0,0,0,0.247033108157269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140958197308045,0,0,0,0,0,0,0.0166925138573742,0,0,0,0,0,0,0,0,0,0,0,-0.0429886385009822,-0.00843868036641092,0,0,0,0,0,0
X600809.SH,0,0.0722809864740435,0,0,0.095564482956599,0,0,0,0,0,0.385544781458418,0,0,0,0,0.119383913187844,0,0,0,0,0.000477843587757176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962046848206449,0,0,0,0,0,0,0,0,0,0,0.0340046205354247,0,-0.0469724449179819,0,0,0,0,0,0
