,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600031.SH,X600104.SH,X000725.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X000625.SZ,X000100.SZ,X000596.SZ,X600703.SH,X300142.SZ,X000157.SZ,X002371.SZ,X002129.SZ,X002179.SZ,X002049.SZ,X000799.SZ,X600741.SH,X002007.SZ,X002236.SZ,X601877.SH,X002414.SZ,X300146.SZ,X300003.SZ,X600702.SH,X600584.SH,X600779.SH,X601799.SH,X600183.SH,X000800.SZ,X600460.SH,X600089.SH,X000066.SZ,X002074.SZ,X600707.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.287165207881671,0,0,0.0041204049847916,0,0,0,0,0.0515880702566756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195310281995796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0259545398486285,0,0,0,0.0358678239936087,0.435895195349135,0,0.125121514081708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019029299728242,0,0.0766709603351669,0,0,0,0,0.0655385216936052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00931856264209278,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0143754896404395,0,0,0,0.0343053142627456,8.67361737988404e-19,0,0,0.0314889269862225,0,0,0.0181204806388021,0,0,0,0,0,0,0,0,0.199492500276462,0,0.117385991392009,0,0,0.0996275891267739,0,0,0.0728444949226003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00362368379258156,0,0
X600276.SH,0,0.210663839694593,0,0,0,0,0,0.071546279566044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194996436471568,0,0.0219439786655956,0,0,0,0,0,0,0,-0.154441864094609,0,0,0,0,0.103548643435788,0,0,0,0,0,0,0,0,0,0.0554522919352577,0,0,0,0,0.00818922768166639,0,0
X600809.SH,0,0,0,0,0,0.0158695669102087,0,0,0,0,0,0,0,0,0.116515367622376,0,0,0,0,0,0,0,0,0,0,0,0.117598420632044,0,0,0,0.450223711034318,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0823408766094755,0,0,0,-0.0627529011234497,0,0
X000568.SZ,0,0.745655671793705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114819802360509,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.220090096333423,0,0,0,0,0,0,0,0.0645915335504637,0,0,0,0,0,0,0,0,0,0,0,-0.0307082720527406,0,0,0,-0.0114763273089245,0,0
X000651.SZ,0,0,0,0,1.73472347597681e-18,0,0,0.0779322143891537,0.0080740949344942,0,0,0,0,0,0,0,0,0,0,0,0,0.10609800592634,0,0,0,0,0,0,0,0,0,0.184995729010605,0,0,0,0,0,0,0.0221619537058549,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112707201167884,-0.00380474622800858,0,0,0,0,0,0
X002304.SZ,0,0.263317428723623,0,0,0.0400896154725159,0.19463887252051,0,0,0.141471689282407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240504163943951,0,0,0,0,0,0.0203063054124357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142647714276935,0,0,0,0,0,0,0
X600690.SH,0,0,0.136338344847474,0,0,0,0,0,0,0,0,0,0,0.0370223399948876,0,0.00219187240386382,0,0,0,0,0,0,0,0,0,0,0,0,0.035548849490819,0,0.0930550102047909,0.130098953337265,0,0,0,0,0,0,0.0609613367333487,0,0.0907155275808352,0,0,0,0,0,0,0,0,0,0,0,-0.0725940073774801,0,0,0,0.0221273591390781,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0130730100143878,0,0,0.0953597176633854,0,0.140745305761932,0,0,0.330835360204535,0,0,0.0542311422568442,0,-8.67361737988404e-19,0,0.0429901521267513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00916881918385644,0,0,0,0,0,0,0,0,0,0.00103889625222227,0.110724109341957,0,0,0,-0.00184804327726586,0,0
