,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X002371.SZ,X000338.SZ,X600703.SH,X000063.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X002129.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X601877.SH,X300142.SZ,X600741.SH,X002074.SZ,X000100.SZ,X600089.SH,X600460.SH,X600702.SH,X002236.SZ,X000799.SZ,X002180.SZ,X000733.SZ,X000157.SZ,X601799.SH,X600779.SH,X600522.SH,X002414.SZ,X002008.SZ,X600884.SH,X600584.SH,X600183.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.571700786785778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100707291857066,0,0,0,0,0,0,0,0,0,0,0.00471705134642423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000520255186095291,0,0,0,0,0,0
X000858.SZ,0.32940636039768,0,0,0.210720506214608,0,0,0,0,0.221032469581905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301393185576032,0,0,0,0,0,0,0,0,0.0487649278644771,0,0,0,0,0,0,0,-0.0313378939669932,0,0,0,0,0,0,0,0,0.00439310861053001,7.33188294363166e-05,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0715310601205639,0,0.174781381056498,0.104556410099851,0,0,0,0,0,0,0,0,0.0310744349410024,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0992705902683808,0,0,0,0.10775416553292,0,0,0.0201899808268794,0,0,0,-0.0140246541124798,0.0344284813225886,0,0,0,0,0,0,0,0,0.0122712689267409,0,0,0,0,0,0
X600809.SH,0,0.250027180537586,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134098646395154,0,0,0,0,0,0,0,0,0,0.0665222465817033,0,0,0,0,0,0,0,0.0278709489813569,0,0,0.411762192244033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239787845682036,-0.0214743541397224,0,0,0,0,0,0
X000568.SZ,0.0142267979509633,0.0916534164146207,0,0,0,0,0,0,0,0,0,0.0605398544945208,0,0,0,0,0,0,0,0,0,0.438588235057379,-0.00366056967134511,0,0,0.0117868344239756,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.104841136564842,0,-0.176741029511585,0,0,0,0,0,0,0,0.0339771282532835,0,0,0,0,0,0,0
X002475.SZ,0,0.162684519658779,0.0698410847168414,0,0,0,0.182394639713432,0,0,0,0,0.0495347086292618,0,0,0,0.0647836027776366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427805343318834,0,0,0,-0.0936408429562064,0,0,0,0.130254861167535,0,0,0,0,0,0,0,0,-0.00321411330219277,0,0,0,0,0,0,0
X600276.SH,0,0,0.151456411220481,0,0,0.00566440522295822,0,0,0,0,-0.0374130185836341,0,0,0,0,0,-0.027390625497146,-0.00406737882849459,0,0,0,0,0,0,0,0.0435886248226596,-0.109862176526243,0.107492207519684,0,0,0,0.130500726045277,0,0,0,0,0,0,0,0,0,0,0.00400736150865221,0,-0.120464963755299,-0.134916243177178,0,0,0.248687146528581,0,0,-0.00369044984672694,0,0,0,0,0,0,0
X600690.SH,0,0,0.033474414484007,0,0,0,0,0,0.114394784769875,0,0,0.164763766297145,0,0,0,0,0,0,0,0,0,0.0824897903773793,-0.0148327033442595,0,0,0,0,0,0,0,0,0.19648288404977,0,0,0,0,0,0,0,0.348913525771195,0,0,-0.012970539717182,0,0,-0.0832305619972819,0,0,0,0,0,0.00402498051907672,0,0,0,0,0,0,0
X002304.SZ,0,0.455359177933879,0,0.0664368755426988,0,0,0,0,0,0,-0.0423022571278599,0,-0.0647202309347699,0,0,0,0,0,0.0478466143762927,0,0,0,0,0.0197306411151105,0,0,0,0.0608796432407743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14673348247615,-0.109937058766855,0,0,0,0,0,0,0,0,0.0131911434460996,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775435938042812,0.0349335405459296,0,0.114539777155398,0,0,0,0.00445079666162845,0,0,0.0376928604479236,0,0,0,-0.0889382901056915,0,0.0428831141202697,0,0,0.0542353347721284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975874792678009,0,0,0.0384181973927198,0,0,0,-0.0433164635187509,0,0
