,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X600690.SH,X002415.SZ,X000651.SZ,X003816.SZ,X600809.SH,X000568.SZ,X002371.SZ,X000725.SZ,X600104.SH,X600031.SH,X300124.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X002179.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002463.SZ,X002241.SZ,X600089.SH,X000157.SZ,X600372.SH,X002028.SZ,X600584.SH,X600066.SH,X600703.SH,X600741.SH,X000977.SZ,X600418.SH,X002236.SZ,X600522.SH,X600183.SH,X601877.SH,X002049.SZ,X000921.SZ,X601799.SH,X000800.SZ,X600487.SH,X002180.SZ,X002294.SZ,X002074.SZ,X000661.SZ,X002129.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0651729778489691,0,0,0,0,0,0,0.18171272293965,0.133280986216066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143060955814196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115977634349619,-0.093865710533422,0,0,0,0,0,0
X000858.SZ,0.177799926633607,0,0,0.0643339301463341,0,0,0,0,0.235436842901716,0.121801818961062,0,0,0,0,0,0,0,0,0,0,0.122098183347122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00792689390464847,0,0,0,0,0,0,0,0,0,0,0,0.00824412448749898,0,0,0,0.0230897644516911,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118433267065099,0.425165582281571,0,0,0,0.0201419576763981,0.259430848101574,0.0360689003709867,0,0,0,0.033286465844072,0,0.00852188830924916,0,0,0,0,0,0,0.0587401627928499,0,0,0,0,0,0,0,-0.0448118215908821,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0224831382688899,0,0,-0.0389061595325653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0169274666126754,-0.0426631799535456,0.316679755604618,0,0.151772195490169,0.0579777018574143,0,0,-0.0314084157123728,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.237501290553887,0,0,0,0,0.102371208735436,0,0,0,0,0,0,0.131427344914555,0,0,0,0.0316648973048431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806791475884259,0,3.46944695195361e-18,0,0.24863575750785,0,0,0,0,0,0,0,0,0,0,-0.0155760863451008,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.101033535019534,0,0,0,0,0,0,0,0,0.105851155817584,0,0,0,0,0.00143367929976119,0,0,0.0422812004737764,0,0,0.0477114053610005,0,0,0,0,0,0,0,0,0,0.0391679011837996,0.0320161210832635,0,0,0,0.16588126990525,0,0.0824631706448161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.143721087273436,0,0,0,0,0.0563572509676738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417366882113666,0,0,0,0,0,0,0,0,0,0.11517378033812,0,0,0,0,0,0,0,0,0,0,0,0,0.0140237704641653,0,0,-0.00410183449617533,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.318487075527784,0,0,0,0,0,0,0,0,0,-0.0104534139979858,0,-0.112044095410683,0,0,0,0,0,-0.115403720166579,0,0,0,-0.0738895566740105,0,0,0,-0.00885710356598984,0,0,0.0857895561877024,-0.0818387031998353,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.3744850184083,0,0,0,0,0,0,0,0,0,0,0.408967411797161,0,0,0,0,0,0,0.13897781259375,0,0,0.0361662783861437,0,0,0,0,0,0,0,0,0,-0.00975512999836324,0,0,-0.0770440610290409,0,0,0,0,-0.0173184563534429,0,0,0,0,0.0166269281093427,0,0,0,0,0
X000568.SZ,0,0.0580426053587087,0,0,0,0,0,0,0.522674594671205,0,0,0,0,0,0,0,0,0,0,0,0.161195690462606,0,0,0,0,0,0,0,0,0.0946387821481872,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294909387018755,0,0,0,0,0,0,0,-0.0341324632763714,0,-0.0680458068520941,0,0,0,0,0
