,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X000063.SZ,X000338.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002241.SZ,X002236.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600183.SH,X000800.SZ,X600522.SH,X002463.SZ,X002007.SZ,X601799.SH,X002028.SZ,X600418.SH,X002074.SZ,X600460.SH,X002294.SZ,X000066.SZ,X300142.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002304.SZ,0,0,0,0,0.114215628751369,0.191024931249971,0,0,0.0211340857907275,0,0,0,0,0,0,0,0,0,0,0,0.107313357651296,0.0526588935834381,0,0,0,0,0,0,0,0,0,0,0,0,0.0858742723302787,0,0,0.0307374042288572,0,0,0,0.000946186146230968,0,0.0131611063920194,0,0,0,0,0,0,0,0.0343681311040163,-0.0741889129493626,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.0349740199805626,0,0.0732332002431263,0.111396489407853,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.298314952348163,0,0,0,0,0,0.0607382471409266,0,0,-0.103868497262118,0,0,0,0,0,0,-0.0522935041402801,-0.03132689018263,0,0,0,0,0,0.00619451383297973,-0.0340944847207805,0.0864757402965521,0,0,0.473005537337445,0.0465407051581615,0,0.00693188870878855,0,0,0,0,0,0,0
X600104.SH,0.0526434688892425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508260832667343,0,0,0,0,0,0,0,0,0.093545675649908,0,0,0,0,0.00289619183400406,0,0,0.0164277369559596,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.088999688800194,0.157389468718897,0,0,0,0,0,0,0.0885627523895905,0.0431306926675184,0,0,0,-0.0546199503950752,0,0,0,-0.0978110220797013,0,0,-0.0541553854563148,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0112439174836075,0,0,0,-0.0592386298572075,0,0,0,0,4.15528754612406e-05,-0.00882034814873693,0,0,0,1.73472347597681e-18,0,0
X000725.SZ,0,0,0,-0.0648027608170383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49448070289991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029948818375276,0,0,0,0.0254419816834645,0,0,0,0.0521734387827019,0,0,0,-0.00186604828263756,0,0,0,0,-0.0302425838262612,0,0
X000596.SZ,0,0,0,0,0.0856035730313553,0.31402609842992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149523189103774,0,0,0,0,0.00391034374927476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136539663903115,-0.0224259520331006,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163972970137191,0,0,0,0,0,0.25044819294506,0,0,-0.0346289237478247,0,0,0,0,0.258271499287438,0,0,0,0,0,0,0.0167231107233298,0,-0.0306932161863733,0,0,0,0,0,0,-0.143452341158315,0,0.0144690449540565,0,0,0,0.156664720027176,0,0
X000338.SZ,0,0,0,0,0,0,0.0800663251613625,0,0.134814192279214,0.117622494563058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471026971846184,0,-0.140790557653601,0,0,0,0,0,0,0.0599996088198351,0,0,0,0,0,0,0,0,0,0,0.00131308585090898,0,0,-0.0136902158864016,0.0214790765050669,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0.0102401930338844,0,0,0,0,0,0,0,0,0,0,0,0.14661658645337,0,0,0,0,0.133433201320937,0,0,0,0,0.115473967046924,0,0.0722349906291566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394568796344318,0,-0.00491147942180341,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,-0.0162430946484836,0,0,0,0,0,0.0345543806636013,0,0,0,0,0,0.195576437066343,0,0,0,0,0.0448891255335755,0,0,0,0,0,0.105299466560106,0,0,0.0708159830114865,0,0,0.107530086520096,0,0,0,0,0,0.00750678349253877,0,0,0,0,0.0442128803381063,0,0,0,-0.00146344904108032,0,0,0,0,0,0
X300014.SZ,0.0541380387059251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128222390709371,0,0,0.49170711473083,0,0,0,0,0,0,0,0,0,0,0,0,0.000225524555643952,0,0.0277549987042099,0.0121537701958184,0,0,0.00450595953272203,0,0,0,0.00437145681810355,0,0,0,0,0,0,0
X002179.SZ,-0.0534366414044608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144485873546164,0,-0.0202315085253125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757829915296573,0,0,0,0,0,0,0,0,-0.228911194712404,0,0,0,0.0488502002889424,0,0,0,0,0,0,0,0.00835062913939583,-0.0410392324206919,0,0,0,0,0,0
X000100.SZ,0,0.0792098917762222,0,0,0,0,0,0,0,0,0,0,0,0,0.746051713563965,0,0,0,0,0,0,0,0,0.0217049915315401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824068619306475,0,0,0,0,0,0,0,0,0,0,0,0.00169555825187394,0,0,0,0,0.00822303468154869,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00817004542075982,0,0.0530662783237829,0,0,0,0,0.0630294071661068,0,-0.0232678668580925,0,0,0,0.115674910352881,0.0282051192158362,0,0.189203730590073,0.115924634187903,0,0,0.0145986819454962,0,0,0,0.00912323188146167,0,0
X600089.SH,0.0802225416375847,0,0,0,0,0,0,0,0.0618071400684566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526017969136634,0,1.73472347597681e-18,0,0,0.0458733922546369,0.155314195164038,0,0,0,0,0,0,0,0,0.00296987578318822,0,0,0,0,0,0.000250572861062608,0,-1.0842021724855e-19,-0.00418043039353025,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.133774343260708,0,0.0634896850078554,0,0,0,0,0,0,0,0.0952175779129735,0,0,0,0,0,0.0260339736028593,0.0546544507111186,0,0,0.0128328705763818,0,0,0,0,0,0.218013934552881,0,0,0,0.150234859230738,-0.0365591216570463,0,0.0842639455270595,0,0,0,-0.0115819450009889,0,0.0509415701055999,0.0930894961817686,0,0,0,0,0,-0.00957394637685997,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572502214338576,0,0,0,0,0,0,0,0,0.0112540551667512,0,0,0,-0.0838385887764357,0,0,0,0,-0.0512540208638533,0,-0.0887803683301768,0,0,0,0,0,0,-0.00887156744619864,0,0,0,0.0599454394059681,0,0,0,-0.0117772371934754,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282313355519504,0,0.103724231769404,0,0,0,0,0.00347604579684997,0,0,0,0,0.0515501958258546,0,0,0.0238042205410794,0,0.00303886496233013,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0695961958778384,0,0,0,0,0,0,0,0,0,0,0,0,0.0528076329491543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323927930125548,0.0401298674535753,0,0,0.259266114156187,0,0,0,-0.0112673617989807,0,0,0,0.0204341653719836,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241537258388623,0,0,0,0,0,0,0,0.0125479780932481,0,0.0776681680514289,0,0,0,0,0,0,0,0,0.0862636108021939,0,0.0946163326779221,0,0,0,0,0,0,0,0,0.0218704530062089,0,0,0.143385926608344,0,0,0.0142271443842737,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151429205273443,0,0,0,0,0,0,0,0,0,0.179538745544527,0,0,0,0,0,0.000416639614208433,0,0,0,0,0,0,0,0,0.0863449836899043,0,0.220352124635123,0,0,0,0,0,0,-0.0360745019401825,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.14755798148237,0,0.0165824768748764,0,0,0,0,0,0,0,0.248508780043108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00430346470649983,0,0,0,0,0,0,0
