,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600276.SH,X600104.SH,X300124.SZ,X000725.SZ,X003816.SZ,X300014.SZ,X600031.SH,X002129.SZ,X002371.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X000338.SZ,X000625.SZ,X002179.SZ,X600703.SH,X300142.SZ,X601877.SH,X600089.SH,X000661.SZ,X600741.SH,X002180.SZ,X600460.SH,X000100.SZ,X000733.SZ,X600522.SH,X002074.SZ,X000157.SZ,X600884.SH,X600702.SH,X002236.SZ,X000799.SZ,X600584.SH,X600183.SH,X002414.SZ,X601799.SH,X000977.SZ,X000800.SZ,X600563.SH,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.269280653550126,0,0.0859660283727029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273793761691314,0.0878144866683478,0,0,0,0,0.00153625829942739,0,0,0,0,0.0319349723121813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159064844706549,0,0,0,0,0,0
X000858.SZ,0.101618239551661,0,0,0,0.198833532270752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853431877744006,0.110086415438362,0,0,0,0,0,0,0,0,0,0,-0.0340756866667863,0,0,0,0,0,0.123309510423959,0.101749314897427,0,0.114212129774117,0,0,0,0,0,0,0,0,0,-0.00337269513497486,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.283298492588802,0,0,0,-1.73472347597681e-18,-0.16914276863444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20190568467384,0,0,0,0,0,0.0548519487942716,0,0,0,0,0,0,0,0,0,0.0156788420050062,0.539536180177975,0,0,0,0,0,0,0,0,0,0,-0.00150181426860172,0,0,0,0,0,0,0
X600809.SH,0,0,0.0298378350611144,0,0.434833560679363,0,0,0,0,0,0,0,0,0,0,0,0,0.0991801476959449,0,0.0739199691045478,0,0,0,0,0,0.13013885319548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163599693033234,0,0,0,0,0,0,0.0244938551520362,0,0,0,0,0.0211188884000822,0,0,0,0,0,0,0
X000568.SZ,0,0.194989587561551,0,0.167237593462508,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0349078364169391,0,0,0.0799973773181192,0.188155024825806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848334871401696,0,0,0,0,0,0,0,0,0,0,0,0.000616670439314829,0.0511761895624272,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.210309205892136,0,0,0,0,0.110803273209603,0,0,0.0182371132935105,0,0,0,0,0,0.0994075349606383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141052140118487,-0.0226785969067611,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.217595945514433,0,0,0,0,0,0,0.154799413927893,0,0.0559265258013611,0,0,0,0,0,0,0,0.179014410144645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300179898682628,0,0,0,0,0.061936424636196,0,0,0.17421412936156,0,0,0,0,-0.00382729925986339,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.183901460704025,0.413856343473103,0,0,0.0250209131941119,0,0,0,4.34245293634505e-05,0,0,-0.0372999525493302,-0.0174209859294441,0,0,0,0,0,0,0,0,0,0,0.160745815451117,0,0,0,0,0,0,0,0,0,0,0,-0.0297471372353149,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.217168526960507,0,0,0,0,0,0,0.0698435731051274,0,0.105507813104235,0,0,0,0,0,0,0,0.0551107375551685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313873583372214,0,0,0,0,0,0,0,0,0.0889242912160138,0,0,0,0,-0.0291953828732082,-0.00515497782877256,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0761706163884866,0,0.0820892927617009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10475929429605,0.31910249243632,0,0,0,0,0,0.0506204863501761,0,0,0,0,0,-0.00640389952734356,0,0,0.0973517850035316,0,0,0.0730688070916214,0,0,0,0,0.116708220621872,0,0,0.0836491481743736,0,-0.0890737887590183,0.0605164947865017,0,0.0751518970189,0,0,0,0
