,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X002475.SZ,X601877.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X600809.SH,X000100.SZ,X002008.SZ,X600487.SH,X600498.SH,X000625.SZ,X002007.SZ,X000661.SZ,X000596.SZ,X000157.SZ,X300142.SZ,X600867.SH,X600566.SH,X002179.SZ,X600177.SH,X002456.SZ,X600066.SH,X002506.SZ,X600089.SH,X300146.SZ,X600372.SH,X600522.SH,X002180.SZ,X600699.SH,X002241.SZ,X000977.SZ,X002294.SZ,X300136.SZ,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.444008948907427,0,0.0295662300695938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442004117538282,0,0,0,0,0.404782053860945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242956031564322,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0203236451867617,0,0,0,0,0,0,0,0.0145099524094247,0.200375151409355,0,0,0,0,0.0799278601882353,0,0.265606531345492,0,0,0,0,0.0417979106693806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,4.09348475465702e-05,0,0,0,0,0,0
X002415.SZ,0,0.0477346940618833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51715354768372,0,0,0,0.415915862624006,0.0438994202322746,0,0.133817409093332,0,0,0,0,-0.0780687059852957,0,0,0,0,0.0645004223974471,0,0,0,0,0,0,-0.0773661967189034,0,0,0,0,0,0,0,0,0,0,0,0,0.0636934198142652,0,0
X000651.SZ,0.173327009473141,0,0.00696398291708372,0,0.0810920509754316,0,0.11931925620801,0,0.137923091168322,0,0,0,0,0.0829674550815763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.200692621077184,0.0495072892862734,0,0,0,0,0.333926785998631,0,0,0,0,0,0,0.0537845527132737,0,0,0,0,0,0,0,0.155131768946026,0,0,0,0,0,0,0,0.0243104498764672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287635949275245,0,0,0,0,0,0
X600276.SH,0,0,0.171723172455922,0,0,0,0,0,0,0.0371345900181624,0,0,0,0,0,0.0593987171197707,0,0,0.417612349781275,0,0,0,0,0,0,0,0,0,0.0141018247236392,0,0,0.0148367591218877,0.078878362867209,0,0,0,3.46944695195361e-18,0,0,0,0.0305731460391821,0,0,0,0,0,0,0.0369933903208042,0,0,0,0.00704016143416614,0.0040924128662216,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.309211007592326,0,0,0,0,0,0.100242249808805,0,0,0.354043714589966,0,0,0,0,0,0,0,0.230967311374299,0,-0.057061360464438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219696622359322,0.0340413484849705,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184377666326638,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.224014542502423,0,0,0,0,0,0,0.0956773961481286,0.0445781378867308,0.026180878557382,0,0,0,0,0,-0.0184108829019443,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,6.93889390390723e-18,0,0.148121928452405,0,0,0,0,0,0,0.0352331065346606,0,0,0,0,0,0,0.104576140084152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236193718054599,0,0,0,0,0,0,0,0,0.28967116121559,0,0,0,0,-0.0057439099982108,-0.0248808211133649,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248218357074539,0,0,0,0,0,0,0,0,0.0820703194895208,0.594603310565532,0,0,0,0,0,0.0739610470500644,0,0,0,0,0.0803420822401104,0,0,0,0,0,0,0,0,0,0,0,0.0691151034029449,0.0222262600737247,0,-0.00627422296513379,0,0,0,0,0.0107256971311597,0,0
