,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X300124.SZ,X300014.SZ,X002371.SZ,X000338.SZ,X002241.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000625.SZ,X002129.SZ,X002049.SZ,X000596.SZ,X300142.SZ,X601877.SH,X000100.SZ,X000661.SZ,X600089.SH,X002179.SZ,X600460.SH,X000157.SZ,X600741.SH,X000799.SZ,X002236.SZ,X002074.SZ,X600702.SH,X600779.SH,X600584.SH,X002414.SZ,X000800.SZ,X600884.SH,X600183.SH,X601799.SH,X002007.SZ,X002176.SZ,X000733.SZ,X300003.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.377031837975426,0,0,0,0.128857430729913,0,0,0,0,0,0,0,0.052840013050271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058677448201715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.159866359506584,0.299217817753776,0,0,0,0,0,0.00885041207185544,0,0,0.0583917229026942,0,0.0617188847179435,-0.0573783398362181,0,0,0,0,0,0,0,0,0,0,0.0537921713854569,0,0,0,0.00102907916751367,0,0.0538542424010365,0.0507520435039162,0.0264042062646621,0,0.148743265217001,0,-0.0784311213146261,0,0,0,0,0,0,0,0,0.0481376805158022,0,2.16840434497101e-19,-0.00806382663892691,0,0,0,0,0,0
X002415.SZ,0,0.157992581062424,0,0,0,0,0,0,0,0,0,0.0152003630131107,0,0.0423029741013415,0.0103008950762098,0,0,0,0,0,0.200743244328194,0,0,0,0,0.0439593812797368,0,0,0.00725606117882125,0,0,0,0,0,0,0.0081852151428606,0,0,-5.42101086242752e-20,0,0,0,0.107149039970383,0,0.0380747870921231,0,0,0,0,0,0,0.00951971649671951,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0978726337879892,0,-0.067145100190706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189176110763696,0,0,0,0,0,0,0,0,-0.0269365629377903,0,0,0.481524821971154,0,0,0.219494776233339,0.0337116817514371,-0.0201707590068823,0,0,0,0,0.0279641475751182,0,0,0,0,0,0,0,0.0141204961922759,0,0,0,0,0,0
X600276.SH,0,0.384006639292662,0,-0.0400712032293656,0,0,0,0,-0.0634466615972082,0,0,0,0,0.23730279767932,0.123689755470422,0,0,0,0,0,0,0,0,-0.22474073251789,0,0,0,0,0.0707599626032912,0,-0.125964583228279,0,0,0,0.00739047995739972,0,0,0,0,0,0,0,0.118014908184297,0,0,0,0,0,0,0,0,-0.00415448248791604,-0.0248027431084565,0,0,0,0,0,0
X000568.SZ,0,0.463099491006309,0,0.0236163752470505,0,0,0,-0.0438015818541425,0,0,0,0,0,0,0,-0.0132954331835111,0,0,0,0,0,0,0,0,0.0700525706440762,0,0,0,0,0,0,0,0,0,0.0204863319532003,0,0,0.132661115910911,0.0452671066416635,0,0,0,-0.0972332215260913,0,0,0,0,0,0,0,0,-0.0185793118812656,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.133956607350274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067320142615681,0,0,0,0,0,0,0,0,0,0.0419441542281648,0.2532428302797,0,0,0,0.0476676591952661,0,0,0,0,0,0,0.0190311671158958,0.0149942240792237,0,0,0,0,-0.0157002718635767,-1.0842021724855e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092693446890355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141534664529828,0.00766221020729874,0,0,0.155545500929477,0.0161193113695577,0,0,0,0.0700655475910425,0.0518125457547714,-0.127498334946278,0,0,0,0,0,0,-0.0515713217044189,0,0,0,0,-0.00627978030623204,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0104853665435565,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0304974817377381,0,0.0307042511678615,0,0,0,0,0,0.155967131324854,0,0,-0.0349786365246633,0,0,-0.14035342038563,0,0.0387813700132971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175796868079173,0,0,-0.00170147039630085,0,0,0,0.10758813248185,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0247695601634818,0,0,0,0,0,0,0.183451535572515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591663571422139,0,0,0,0,0,0.00910723765122326,0,0,0,-0.0100332301322948,0,0,0,0,-0.0324512266096486,0,0,0,-0.0104096762110944,0.0291400474182352,0,0,0,0,0,0
