,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X000625.SZ,X002236.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X000100.SZ,X601877.SH,X300124.SZ,X600089.SH,X300003.SZ,X600177.SH,X002085.SZ,X000157.SZ,X002508.SZ,X600487.SH,X002008.SZ,X600809.SH,X600271.SH,X300136.SZ,X600522.SH,X002294.SZ,X000050.SZ,X600118.SH,X000981.SZ,X002074.SZ,X600699.SH,X600867.SH,X000559.SZ,X300115.SZ,X600372.SH,X600566.SH,X600498.SH,X000623.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0413873385581761,0,0.253785854520997,0,0.0136302058760375,0,0,0,0.013159964106016,0.184951025570212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233201261410141,0,0,0,0,0,0,0,-0.054332005321566,0,0,0,0,0,0,0,0,0,0,0,-0.00537627436927376,0,0,0,0,0,0
X600104.SH,0,0,0,0.205838278512657,0,0,0,0,0,0.198891165998261,0,0,0.00720968914836025,0,0,0.305911224068663,0,0,0,0,0.139577951866819,0,0,0,0,0.193366728331313,0,0,0,0,0,0,0,-0.168333409752411,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188459760481645,0,0,0,0.0148641949834112,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.109386442739375,0,0.0770176079998354,0,0,0,0,6.93889390390723e-18,0,0.220398647220722,0,0.159241726587428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121638067720657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00657630960339721,0,0,0,0,0,0,0
X000651.SZ,0,0.123214808420519,0,0,0.128832985433331,0,0.0595099193529764,0,0,0,-8.67361737988404e-19,0,0.0403417712500211,0.102740518763517,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312817294267145,0,0.0865726274286127,0,0,0,0,0,0,0,-0.00327991032170114,0,0,0,0,0,0,0,0,0.113427974658857,0,0,0,0,-0.00962941436254258,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0262269912121318,0.175649024240798,0,0,0,0,0,0,0,0.479840434152163,0,0.060880583371654,0,0,0,0,0,0,0,0,0,0,0,0.000186132781730859,0,0,0,0,0,0,0.0668206049208437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211983857198471,0,0,0,0,0,0
X600276.SH,0,0.0807262287647561,0,0,0.324566384484966,0,0,0.0786834737974479,-0.0589141467155432,0,0,0,0,0.0663738152227486,0,0,0,0,-0.105981415091372,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.0483917013938507,0,0,0.0326247218350224,0,0,0,0,-0.131954033078031,0,0,0,0,-0.161104389868433,0.0103267840805634,0.0127428786184268,0,0,0,0,0,0
X000725.SZ,0,0,0.12216728930933,0,0,0,0,0,0.153974574259075,0,0,0,0,0,0,0,0,0,0.102559764605381,0,0,0,0,0,0.0508076826359958,0,0,0,0,0,0,0,0,0.310034900335365,0,0,0.0410420045668624,0.0785019446421859,0,0,0,0.110325515882558,0,0,0,0,0,0,0,0,0,0,0.0099510511399955,0,0,0,0,0,0
X002304.SZ,0,0.0801490140631175,0,0,0.370217423907696,0,0,0,0,0,0.0697196141142416,0.0678220603218218,0,0,0,0.0612429553878956,0,0,0,-0.0825734810519839,0,0,0,0,0,0,0,0,0,0,0,-0.0136631022147658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0212612624412554,0,0,0,-8.67361737988404e-19,0,0,0,0.197026614642718,0,0,0.0893497900647331,0,0.0487255622622314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194281885087534,0.0765698834281648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069443400112363,0,0,0,0,0,-0.0387480747558141,0.0232135876676129,0,0,0,-0.136538972774968,0,0
X600690.SH,0,0.22786328538623,0,0.272751312030942,0,0,0,0,0,0,0.00109781979738971,0,0.0530117402184911,0.13375525766658,0,0.1287922788449,0,0,-0.0959043613453413,0,0,0,0,0,0,0,0,0.0440035158343672,0,0,0.15445042467428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130843381157558,0,0,-0.0916767225360849,0,0.0203639437751479,-0.0123788519307401,0,0,0,0,0,0
