,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X000625.SZ,X600031.SH,X002236.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X000100.SZ,X601877.SH,X300124.SZ,X600089.SH,X600177.SH,X600809.SH,X000157.SZ,X002508.SZ,X300003.SZ,X002085.SZ,X600487.SH,X002008.SZ,X600271.SH,X300136.SZ,X600522.SH,X002294.SZ,X600118.SH,X000050.SZ,X000981.SZ,X600372.SH,X600867.SH,X600699.SH,X002074.SZ,X000559.SZ,X300115.SZ,X600566.SH,X002007.SZ,X002179.SZ,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0249748819182443,0,0.231652678920616,0,0,0.0551245043308121,0,0,0.20961558741123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435591504471732,0,0.00121517659032548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0651650333413047,0,0,0,0,0,0,0,0,-0.0035854237123425,0,0,0,0,0,0
X600104.SH,0,0,0,0.13401572377249,0,0,0,0,0,0.239573402154323,0,0,0,0,0,0.40804305908272,0,0,0,0,0.00115922614839123,0,0,0,0,0,0,0,0,0.0544781586388227,0,0,0,0,0,0,-0.108183729482756,0,0,0,0,0,0,0,-0.0239878759980201,0,0,0,0,0,0,0.0306553414939039,-0.00214797187620409,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.133821066541915,0,0,0,0,0,0,0,0,0,0.193762062439877,0.224936402709474,0,0,0,0,0,0,0,0,0,0,0,0,0.105265094111523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.11430122377805,1.73472347597681e-18,0,0.196509653560378,0,0,0,0,0.180265967492805,0,0,0,0,0.0175884765452606,0,0,0,0,0,0,0,0,0,-0.0102546891203422,0,0,0,0.0688225890242384,0,0,0,0,0,0,0,0,0,-0.0517743547800123,0,0,0,0,0,0,0,0,0,0,0,0.158912762611001,-0.000304858590642451,-0.00143564814217923,0.0173947829938062,0,0,0,0,0
X000858.SZ,0,0,0,0.0934762054188678,0,0,0,0,0,0.13396735336682,0.544619510049347,0,0,0,0.0724255983617679,0,0,0,0,0,0,0,0,0,0,0,0.034305952118701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184008488335718,0,0,0,0,0,0
X600276.SH,0,0.05464060441667,0.101504320175474,0,0.386172707377668,0,0,0.00367981908464879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.010833219625961,0,0,0,0,-0.12652902468954,0.0174966702171466,0.00554055163079084,0,0,0,0,0,0
X000725.SZ,0,0,0.20610359952896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181851146094413,0,-0.0475649394432777,0,0,0,0,0,0,0,0,0,0.0602055186677823,0.0900667570228242,0,0,0,0,0.0192477653184112,0,0.0701806874468487,0,0,0,0.126789770572729,0,0,0,0,0,0.156674310172263,0,0,-0.00820970721418343,0,0,0,0,0,0,0
X002304.SZ,0,0.0314060837924769,0,0,0.290738266926369,0,0,0,0,0,0.180169401562821,0,0,0,0,0.113482432728926,0,0,0.0153364848666458,-0.0843871489251482,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121057162701524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.167439243977444,0,0,0.14302377507284,0.0556752121868658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210046736934756,0.0571141986652291,0,0,0,0,0,0,0,0.0836967997999753,0,0,0,0,0,0,0,0,0,0,-0.0350162859058584,0.0510759625823084,0,0,0,0,0,0
X600690.SH,0,0,0.11476358608671,0.331199844026284,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.112052626143492,0.112395591425115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279586383852898,0,0.0657830488159385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528439700954035,0,0,0,0,0.0203722080188235,-0.012964215092817,0,0,0,0,0,0
