,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X300003.SZ,X002007.SZ,X600183.SH,X000596.SZ,X002371.SZ,X600741.SH,X300142.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X601877.SH,X300124.SZ,X002236.SZ,X000157.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X600118.SH,X002456.SZ,X002179.SZ,X002223.SZ,X600498.SH,X002414.SZ,X300136.SZ,X600584.SH,X600271.SH,X002049.SZ,X000066.SZ,X600487.SH,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0942493790343941,0,0,0,0,0,0,0,0,0,0,0,0.374133605242895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023103122169242,0,0.0162179531717501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167632025833952,0.0130738642987773,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.16554574423609,0,0,0,0,0,0,0.349454362121121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585129109124576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026090260654374,0.0184034047728543,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0741860123289482,0.021792943232826,0,0,0.0993211118371032,0,0.012514370388074,0,0,0,0,0,0,0.0238471529889071,0,0.0071934127537372,0.0770424893706489,0,0,0,0.0655173808058313,0,0,0,0,0.0265398730766559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00770168557515622,0,0,0,0,0,0,0
X000651.SZ,0,0.219648233519462,0,0,0,0.0176041838702595,0.0453013233670172,0,0.027682091822193,0,0,0,0.0883338448434383,0,0,0.187916854868913,0,0,0,0,0,0,0,0,0,0.0560893491063446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.00677925114808968,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140950347451765,1.73472347597681e-18,0,0,0,0,0,0,0.152398201846839,0,0,0,0.0667208263809703,0,0,0,0,0,0,0,0,0,0.0239189131542062,0,0,0,0,0,0,0,0.0174614783399994,0.152162073875372,0,0.0294172406541841,0,0,0,0,0.0131806343373215,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0538024796947942,0,0.193843600577488,0.0585697632281709,0.202150990380406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285645797691101,0,0,0,0,0,0,0,0.0198637448505949,-0.00662920217322336,0,0,0,0,0,0
X600104.SH,0,0.196153131227896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273939218457402,0,0,0.126711446036099,0,0,0,0,0,0,0,0,0,0,0,0.0267750765398303,0,0.258284001081572,0.0563210903211741,0,0,0,0,0,0,0,0,0,0.0181767722761725,0,0,0,0,0.0193493915521941,0.0261914946656121,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0182708909077927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171821202168981,0,0,0,0,0.102506863345953,0,0,0,0,0,0,0,0,0.0508743544915027,0.24901066448039,0,0.017252844864997,0,0,0.0978906430408239,0.236234457124509,0,0.108833542484666,0,0,0,0,0,0,0,0.0314108477932991,0.0127676470313729,0,0,0,0,0,0
X600031.SH,0,0.078865173205081,0,0,0,0.0037337420840678,0,0,0,0,0,0,0.0382805731030729,0,0,0,0,0,0,0,0,0,0,0,0,0.0740361359109099,0,0,0,0,0,0,0.508599200448699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128907230322686,0,0,0,0,0.0224933241643392,0.0173655740801005,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288611624923105,0.00474944963715008,0,0,0.016961606993264,0,0,0,0,0.0335042758339645,0,0,0,0,0.012989655757157,0,0,0,0,0,0.0651689443405878,0,0,0.142052704689072,0,0,0,0.00446819684673735,-0.0127820862672196,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.0129036592019691,0,0,0,0,0.29031381384959,0.066157650266471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126400377202997,0.0461609470894106,0.00941176569335184,0,0,-0.0353163171362652,0.0296131484667079,0,0,0,0.00348919176794551,0,0,0,0,0,0.0242846091406843,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.013880307045415,0,0,0,0,0,0,0,0,0,0.0756144807710672,0,0.017729157134554,0,0.488894484108838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237172152276577,0,0,0,0,0,0,0
X000661.SZ,0,0.0416447066958741,0,0,0,0,0,0,0,0,0,0.0306221377543516,0,0,0,0,0,0,0,0,0,0.212754179249948,0,0,0.0489886287408272,0,0,0,0,0.152209568076898,0,0,0.154210992229048,0,0,0.0225992896728582,0,0.11918664453375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.394705222334491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431147640509525,0,0,0,0.00188182685251963,0,0,0,0,0,0,0,0,0,0,0,0,0.0533842205433736,0,0.0459093367050638,0,0,0,0,0,0.0336179228894686,0.0372886743485711,0,0,0,0,0,0,0,0,-0.0199705992436995,-0.0161094727620491,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263284287047909,0,0,0.0672827324621071,0,0,0,0,0,0,0,0,0.0402036229887048,0,0,0,0,0,0,0.0102775702299105,0,0,0,0,0,0,0,-0.0380112372850031,0,0,0,0,0.232834417014199,0.0301330687804413,0,0.0318230699095443,0.0423018017012158,0,0.013438475639225,0,0,0,0,0,0,0
