,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000625.SZ,X000338.SZ,X002241.SZ,X002008.SZ,X600487.SH,X002456.SZ,X000100.SZ,X600066.SH,X601877.SH,X300136.SZ,X600809.SH,X300124.SZ,X002508.SZ,X600522.SH,X300003.SZ,X002294.SZ,X600271.SH,X600867.SH,X002085.SZ,X002129.SZ,X000981.SZ,X600089.SH,X600498.SH,X600177.SH,X600699.SH,X000596.SZ,X000157.SZ,X002049.SZ,X600118.SH,X600566.SH,X300142.SZ,X000661.SZ,X002179.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.170986786659027,0,0,0,0,0,0,0,0.013039581471421,0,0,0,0,0,0,0,0.0444673560096805,0,0,0.068910308053199,0,0.0946399148995198,0,0,0,0,0,0,0,0,0.0258302685320004,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.00110093679699053,0,0,0,0,0,0,0,-0.0152269625031445,0.0467862988992806,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0145422402321761,0,0.243762863809126,0.145714111495152,0,0,0,0,0,0,0,0,0.116513114667153,0.0116965163910251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456252293212755,0,-0.023463102929129,0.022743303544279,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0802088717390762,0,0,0,0.119418193906318,0,0,0,0,0.233956116771512,0.103642963973329,0,0,0,0.0607936861345292,0,0,0.122821363718157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152745284165177,0,-0.0112149150424253,0,0,0,0,0,0,0
X000858.SZ,0.114320273204752,0,0,0,0,0,0,0.0920739085937402,0,0,0,0.358074734037439,0,0,0,0,0,0,0,0.00924898291209274,0.0384614913042253,0,0,0,0,0,0.249741533842656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162368329176335,0.00675476232236148,0,0,0,0,0,0
X000651.SZ,0,0.251343840452878,0,0.260683849671843,0,0,0,0,0.108928098970521,0,-0.000241509103775533,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0192575364610758,0,0,0,0,0,0,0,0,0,0,-0.0116424425327105,0,0,0,0,0,0,0,-0.00132795515533605,0,0,0,0,0,0,0,0,0.0060806257267216,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.35573443117451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238341893778835,0,0,0,0.14353907832905,0,0,0,0,0,0,0.115113974684392,0,0,0,0,0,0,0,0.14258620825676,0,0,0,0,0,0,0,0.141475196419297,0,-0.0367704710361854,0.0600199029906695,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0929892418851058,0,0,0,0.114293168178377,0.0552011532289207,0.147456334905304,0,0,0,0,0,0,0,0.0162919880009477,0.0270384565962978,-0.0233250353989235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179711199892631,0,0,0,0,0,0,0,0.088863520669306,0,0,0,0,-0.0134871827774402,0.0337600984888763,0,0,0,0,0,0
X002304.SZ,0.237110278983786,0,0,0.0583273053261679,0,0,0,0,0,0,0,0.254894746884463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597081973087765,0.089369526106939,0,0,0,-0.040133094790756,0.0459437749972488,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.261528090553056,0,0,0,0,0,0,0,0,0.0435173211376949,0,0,0,0,0.0255370286981876,0,0,0,0,0,0,0,0,0,0.151838797407833,0,0,0,0,0,0,0,0,0.368233092610478,0,0,0,0,0.115096741831084,0,0,0,0,0,0.191811151633216,0,0,0,-0.0183336448736698,0,0,0,0,0
X600690.SH,0,0,0,0,0.118021877987329,0,0,0.0574370027244513,0,0,0.028596711678926,0,0.0785328533734825,0,0.142769670038347,-0.164815071042959,0,0,0,0.130915524388995,0,0,0.191527874047291,0,0,0,0,0,0,0.207378603711217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16986047451609,0,0,-0.00157909339818779,0,0,0,0,0,0
