,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X600276.SH,X000651.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X300124.SZ,X002371.SZ,X002129.SZ,X300014.SZ,X000063.SZ,X002049.SZ,X002241.SZ,X000338.SZ,X000596.SZ,X300142.SZ,X600703.SH,X002179.SZ,X000625.SZ,X600089.SH,X601877.SH,X000100.SZ,X600741.SH,X600460.SH,X000661.SZ,X000157.SZ,X002180.SZ,X002236.SZ,X600522.SH,X000733.SZ,X000799.SZ,X600702.SH,X600884.SH,X002074.SZ,X002432.SZ,X600584.SH,X000977.SZ,X000800.SZ,X600183.SH,X600779.SH,X002414.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0113398266889994,0.246112119693757,0.0892176045576643,0.0775095823810256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102420534015958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00599228492510055,0,0.022475513769994,0,0,8.67361737988404e-19,0,0.036372672443942,0,-0.0092819794181215,-0.019208765915542,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0432776821432209,0.162897246686824,0,0.0993438451442272,0,0,0,0,0,0,0,0,0,0,0,0.0405997868313689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246396141663168,0.0577454703607308,0.0302512375530325,0,0,0,0,0,0,0,0,0,-0.0213097371721498,0,0,0,0,0,0,0
X002415.SZ,0,0.0344933227864798,0,0.0308482811599337,0,0,0.0142413952486804,0,0,0,0,0,0,0,0.013719766037488,0,0,0,0,0,0,0,0,0,0,0,0,0.0426798377608776,0,0,0,0,0,0,0.0965982621988338,0,0,0,0,0.179855687821325,0,0.0492388530337888,0,0,0.254560127684128,0,0,0,0,0,0.0243420718386803,0,0.0035413827852641,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.614222690689839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122372141642518,0,0,0,-0.01655545484643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640219243736715,0,0.202684108423477,0,0,0,0,0,0,0,0,0,0,0,0.0101371941238648,-0.00435023166351871,0,0,0,0,0,0
X000568.SZ,0.18589202410782,0.204250115451236,0,0.0642084695104906,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.067760570557659,0,0,0,0,0,0,0.166282449533462,0,0,0,0,0,0,0,0,0,0,0,0.0735357374115909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132183538115343,0.048286424222712,0,0,0,0,0,0
X600690.SH,0,0.363555411045353,0,0,0,0,0,0,0,0,0,0,0,0,0.00432383320454914,0,0,0.00239664275633683,0.010339668372341,0,0,0.0576798329639789,0,0,0,0,0,0,0,0,0.164269488960037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309902048973864,0,0,-0.045418078765228,0,0,0,0,0,0,0
X002304.SZ,0.108271870178939,0,0,0.0759192477162955,0.0214175786865776,0,0,0,0,0,0,0,0.174881492016697,0,0.0650536539611026,0,0.0403088207338772,0,0,0,0,0,0.27175385091203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435012004951279,0,0,0,0,0.0836456694805336,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214096873574143,0,0,0,0,0.406535504042027,0,0.0758627176950604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020434557705858,0,0,0,0,0,0,0,0,-0.0131430175443015,-0.0404914340425511,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15611117754612,0,0,0,0,0,0.107897685322481,0,0.0445250571753143,0,0,0,0,0,0.104548885004959,0,0,0,0,0,0.0572496852016087,0,0.0739159569591838,0,0.0929991781205365,0,0,0,0,0,0,0,0,-0.0141423767423229,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.146935639397758,0,0,0,0,0,0,0.183159549418774,0.110067675709267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000215724512507512,0,0,0,0,0,0,0.0200079375158533,0,0,0.068594185011681,0,0,0,0.00337999993711222,0,0,-0.0376899027249961,0,0,0,0,0,0
