,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000568.SZ,X002475.SZ,X000338.SZ,X600703.SH,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X002236.SZ,X002007.SZ,X300124.SZ,X002008.SZ,X000100.SZ,X000661.SZ,X600809.SH,X600867.SH,X600487.SH,X600498.SH,X002179.SZ,X600566.SH,X300142.SZ,X000625.SZ,X300146.SZ,X000596.SZ,X002456.SZ,X000157.SZ,X600177.SH,X002294.SZ,X600066.SH,X600089.SH,X002180.SZ,X600372.SH,X002506.SZ,X300136.SZ,X600522.SH,X002241.SZ,X000977.SZ,X600699.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.664867872767198,0.195291702525964,0,0,0.00793550150086713,0,0,-0.0221773459670539,0,0,0,0,0,0,-0.0204540271289479,0,0,0,0,0,0,-0.0156239959597827,0.122051091735792,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0052767959919684,0.0155605150386904,0,0,0,-0.0441479341526533,0,0
X600104.SH,0,0,0,0,0,0.0579603182633293,0,0,0,0,0,0,0,0,0,0.269405576263401,0.095719366617553,0,0,0,0,0.266638682597456,0,0,0,0,-0.0205850226571852,0,0.0877272520206378,0,0.000242728462011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00536987241230317,0,0,0,0,0,0,0
X002415.SZ,0,0.0224570726564259,0,0,0,0,0,0,0,0.014325157900065,0,0,0,0,0,0,-0.0490610763390725,0,0,0.69311767922663,0,0,0.0927064462270875,0,0,0,0,0,0.0505452289273924,0,0,0,0.0825656358046762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00271917762551541,0,0,0,0,0.0883979083783063,0,0
X600276.SH,0,0,0.109779799254437,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0928063124423476,0.00918459774633522,0,0,0,0.376917192060437,0,0,0.0705024232140696,0,0,0,0,0,0,0.00802225175007017,0,0,0,0,0,0,0,0,0.0238372612860847,0,0,0,0,0,0,0,0,0,0,0,0.0333118953798747,0,0,0,-0.0105584259173416,0,0,0,0,0,0,0
X000651.SZ,0,0.0628395153282106,0,0,0,0.172646566050406,0.180413931961486,0,0.0403409887442719,0,0,0.0414943990118045,0,0,0,0,0.0895772581886393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335769718648906,0,0.0295378849184817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470394961604378,0,0.00383102255228434,0.00927166170709803,0,0,0,0,0,0
X000858.SZ,0.200549479612633,0,0,0,0,0,0.113937574462694,0,0,0,0,0.0127475700026603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293310284001967,0,0,0,0,0,0,0,0,0.126073114903244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328945256695245,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0.208957706488161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310932333804374,0,0,0,0,0,-0.0156722806680713,0,0.133103891303806,0.378129407754891,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144144704129381,0,0,0.0615682974749307,0.00416881862453968,0.0178322486177407,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184065758553943,0,0,0,0,0,0,0,0.161030969597247,0,0,0,0,0,0.113232653144466,0,0,0,0,0,0,0,0.0235770319033827,0,-0.00788301350589165,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.14723179928964,0.0908519639447458,0,0,0,0,0,0,0,0,0.00579883492252097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474614319770864,0,0,0,0,0,0,0.152941347458283,0,0,0,0,0,0,0,0.340165484673387,0,0,0,-0.00324757375458741,-0.045004677528949,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.172221509533125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308123501822081,0.189536757011982,0,0,0.0392786568243556,0,0,0,0.158687274046622,0,0,0,0,0,0.201531091837671,0,0,0,0,0,0,0,0,0,0.0128966345103587,0,0,0,0,0,0,0
