,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002456.SZ,X600271.SH,X002085.SZ,X600118.SH,X600089.SH,X300124.SZ,X000157.SZ,X600522.SH,X600177.SH,X002508.SZ,X600372.SH,X002007.SZ,X000066.SZ,X300136.SZ,X600487.SH,X600699.SH,X000981.SZ,X300003.SZ,X600867.SH,X002294.SZ,X002180.SZ,X000559.SZ,X002008.SZ,X002292.SZ,X002074.SZ,X000623.SZ,X000050.SZ,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0282580901091183,0,0,0,0,0,0.00386925404634193,0,0,-0.0982027349947543,0.199575038061339,0,0,0,0.0891202761747357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210333089351027,0,0,0,0,0,0,0,0,0,0,0.0497237919037299,0,0,0,0.00596495121511467,-0.00108841985130076,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.00333732945409816,0,0,0,0,0,0,-0.0154888929961682,0,0.290199220465609,0,0,-0.0760042867787344,0,0,0,0,0,0,0,0,0.201298579935775,-0.024295908787298,0,0,0,0,0,0,-0.113439063891478,-0.00122636840416971,0.260112356866475,0,0,-0.0402582099241761,0,0,0,0,-0.086942296510544,0,0,0,0,0,0,0.00543114936657185,-0.00889856548753294,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.138094207479674,0,0,0,0,0,0,0.0664797331626349,0,0.0304442143603035,0,0,0,0.0145172613241612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117733570351047,0,-0.0183523071016262,0.00936732916872026,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279669417271608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323647096671607,0,0.0123298461351378,-0.00175200643547943,0,0,0,0,0,0
X000858.SZ,0,0,0,0.100598652198351,0,0.0924821855410058,0.0420690965015824,0,0.114529771728929,0,0,0,0.000902238761171676,0.280107626574344,0,0,0,0.0510415974966047,0,0,0.0473977381684785,0,0,0,0,0,0.0118062937724834,0,0,0,0,0,0,0,-0.0983304502492291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708989052994831,0.00236083915875161,0,0,0,0,0,0
X002304.SZ,0,0,0,0.133393723017289,0,0,0,0,0,0,0,0,0.102945632818744,0.319892337853117,0,0,0,0,0,0,0.0538518382441877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542288295530189,0,0,0,0,0,0,0,0,0,0,0,0,0.00722243064735652,0,0,0,-2.16840434497101e-19,-0.00252864413161796,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0152106116189781,0,0.18492020025406,0,0,0,0,0,-0.048430695836615,-0.181907037150821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871273386693902,0,0,0,0,0.0885555830294056,0,0,0,0,0,0,0.143980125551933,-0.0862823050501294,-0.0126210781591232,0.00847495754403384,0,0,0,0,0,0
X000725.SZ,0,0,0,0.240445558912628,0,0,0,0,0,0.0204044894934907,0,0,0,0.0488404460971738,0,0,-0.0984680918016393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170879039636823,0,0.116302917322954,0,0,0.0586788976959483,-0.0320258083176351,0.00988468725488923,0,0,0,0,0,0
X000625.SZ,0,0.216941374470374,0,0,0.0983665419740972,0,0,0.0427917194519574,0,0,0,0,0,4.33680868994202e-19,0.220748501803841,0,0,0.0758488582063638,0,0,0,0,0,0,0,0,0.0128202802210888,0,0,0,0,-0.029554570023911,0.148670614677853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00371500891153674,0.00265673565890818,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0738160218040736,0,0,0,0,0,0.175842144993585,0.00171674837093547,0,0,0,0,0,0,0,0,0,0.0697096052239588,0,0,0,0,0,0,0.00778395075907182,0.0065750520402626,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.248400019946916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017327775661898,-0.0084924185695898,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909460529418855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795363600974422,0,0.238833266685647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0.0201426936314685,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.132197831545514,0,0,0,-0.0244917062489353,0,0,0,0,0,-0.113985449248361,0,0,0,0,0,0,0,0.195340967852853,0,0,-0.0453995423688505,0.219365598974567,0,0,0,0,0,0,0.029609470864747,0,0.341595496532802,0,0,0.109799102576939,0,0,0,0,0,0,-0.0738645558605995,0,0,0,0,0.019947033801687,-0.00810811800171097,0,0,0,0,0,0
X000568.SZ,0.139290686808309,0,0.0773650941266954,0.050777151529095,0.69920938273199,0,0,0,0,0,0,0,0,0,0,0,0,0.00923302843138007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355515289180368,0,0,0,0,0,0,0,0,0,0,0,0.0892580109408281,0.0388838183105467,0,0,0,0.000693919304359755,-0.00603660895571202,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0508919747375135,0,0,0,0.187688568771273,0,0,0,0,0,0,0,0,0,0.0340847965698395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100754838573744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000156472975605375,-0.00643779450713089,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0469848611309923,0,0,0,0,0.0972836981348012,0,0,0.0459886191458873,0,0,-8.67361737988404e-19,0,0,0,0.0718784455407466,0,0,0,0,0.0395774744851678,0,0,0,0.0648948844155484,0.0994494062902233,0,0,0,0,0,0,0,0,0.0145861038709036,0,0,0,0,0.0931800656230004,0.00635111644896356,-0.00377019329084095,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.212944736150114,0,0,0,0,0,0,0,0,0,0.0415694390021756,0,0,0,0,0.0319010577980791,0,0,0,0,0,0,0,0,0,0,0,0,0.387842032058871,0.0931357704196022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00440803501131001,-0.00184621484343718,0,0,0,0,0,0
X002236.SZ,0.198455863766991,0,0.284049331586971,0.0138858830557493,0,0.00864382490440259,0,0,0.180346824652571,0.135265538988012,0,0.173076879059856,0,0,0,0.096558039275693,0.0994457803532308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183481815641217,0,0,0,0,0,0,0,0,0,0,0,0.00772153890471744,0,0.202203737685547,0,0,0,0.0530578282090853,-0.0198830898367843,0,0,0,0,0,0
