,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X300124.SZ,X000651.SZ,X300014.SZ,X600104.SH,X000596.SZ,X003816.SZ,X600031.SH,X000725.SZ,X000063.SZ,X000625.SZ,X002129.SZ,X002371.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X300142.SZ,X000100.SZ,X601877.SH,X000733.SZ,X002241.SZ,X600522.SH,X600741.SH,X600702.SH,X002074.SZ,X000157.SZ,X600460.SH,X000799.SZ,X300003.SZ,X002007.SZ,X600779.SH,X600884.SH,X600584.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.205207548679091,0.000931380590003372,0.150919602133426,0,0,0,0,0,0,0,0.0758445529014212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109140161356828,0,0,0,0.0232521360227571,0,0,0.00321237842447083,0.132106498164644,0,0,0,0,0,0,0,0,0,0,0,-0.0249392356097557,0,0,0,0,0,0,0
X000858.SZ,0,0,0.191065206428766,0.422041357189154,0,0,0,0,0,0,0,-0.0137976292894789,0,0,0,0.127079219763601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162137521320946,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115297617124921,0,0,0,0,-0.0089753156182579,-0.00200857256179056,0,0,0,0,0,0
X600809.SH,0.14501603734037,0,0,0.50014227052856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744105365073714,0,0,0,0,0,0,0.00631613024190159,0,0,-0.0535688256667695,0,0,0,0.0873737544181059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.125887282061071,0.533599701822007,0.329524529428931,0,0,0,0,0,0,0,0,0,0,0.0681694135702367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178299186722592,0,0,0,0,0,0.100797761874825,0,0,0,0,0,0,0,0,0,0,0,-0.0323932253310296,0,0,0,0,0,0,0
X002415.SZ,0.0281235186815077,0,0,0,0,0.124524812491617,0,0,0,0,0,0,0,0,0,0,0,0,0.0601938612690989,0,0,0,0,0,0.117157372756523,0,0,0,0,0,0,0,0.0729008638416685,0,0,0,0,0,0.152196143227736,0.023033578336694,0,0.155236660723215,0.000619506781720507,0,0,0,0,0.00446591806439625,0.0726116794338824,0.0252344065104854,0,-0.00985976829803673,-0.0272491337938737,0,0,0,0,0,0
X600276.SH,0,0,0,0.036398637684503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856974677228786,0,-0.0453163963521839,0,0,0.0149586065675064,-0.04555307781124,0,0,0,0,0,0,0.136681300220763,0.0406857695070354,-8.67361737988404e-19,0,0,0,-0.0432925066494328,0.112716913951776,0,0,0,-0.010640932853333,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.501052348341849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039481818586963,0,0,0.0375946090269997,0,0,0,-0.0497713984493121,0,0,0,0,-0.00795532058873923,0,0,0,0,0,0,0
X600690.SH,0.0564898096314951,0,0,0.0821730762155511,0,0,0.143157612530266,0,0,0,0,0,0,0,0,0.199664006680106,0,0,0,0,0,0,0,0,0,0,-0.0117742118044378,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0292748687642055,-0.0313739890105055,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0645394878007534,0,0,0,0,0,0,0,0.0285480827375615,0.140469973758254,0,0,0,0,0,0,0,0,0,0,0,0.202512635604281,0,0,0,0.0269599386798613,0,0,0,0.0189185082098549,0,4.33680868994202e-19,0,0,0,0,0.000787577337668774,0,0,0,-0.00493497026131133,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0705422004277009,0,0,0,0,0,0,0,0,-0.127638829840713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141186221242917,0,0,0,0,0,0,0,0.078284239582931,0,0.144614288030502,0,0,0.0779068084488588,0,0,0.0131821970594826,0.0226165840816834,0,0,0,0,0,0
X000651.SZ,0,0,0,0.120045866267469,0,0,0,0.211482389906249,0,0,0,0,0,0,0,0.0535715639757687,0,0,0,0,0,0,0,0,0,0,-0.0623124687071068,0,0,0,0,0,0,0,0,0.0989976215565843,0,0,0,0,0,0.0271906850710081,0,0,0,0,0,0,0,0,0,-0.0105730757508586,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.149896613673114,0,0,-0.0591189886368482,0,0,0,0,0.0549970240061662,0,-0.051368767015995,0,-0.0450511128579726,0,0,0,0,0,0.236760417450535,0,0,0,0,0,0,0.589328883104008,0,0,0,0,0,0,0,0.00613479714640818,0.0454570604415213,-0.110521422851765,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0923578777522568,0,0,0,0,0,0,0,0.149069137259164,0,0.0359381231265174,0,0,-0.0646015742567588,0,0,0,0,0,0,0,0,0.0195496505416018,0,0,0,0,0,0,0,0,0,0.0428760468580492,-0.00467803969183264,0,0,0,0,0.00803707531051152,0,0,0,0,0,0,-0.00921118589611218,0,0,0,0,0,0
X000596.SZ,0,0,0.232297924140108,0.214912912921665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0572000068874298,0.00629035486648118,0,0,-0.00412090024000458,0,0,0,0,0,0,0
