,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000725.SZ,X600031.SH,X000596.SZ,X000625.SZ,X002129.SZ,X003816.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000661.SZ,X002180.SZ,X000100.SZ,X002241.SZ,X601877.SH,X300142.SZ,X600702.SH,X000733.SZ,X002074.SZ,X600741.SH,X600522.SH,X000157.SZ,X600460.SH,X600584.SH,X000799.SZ,X600884.SH,X300003.SZ,X002007.SZ,X002294.SZ,X600563.SH,X600779.SH,X000066.SZ,X300146.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.273049456049968,0,0,0,0,0,0,0,0,0,0,0,0.0508488079392324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470336874940713,0,0,0.0311180141531947,0,0,0,-0.0204998657832315,0,0,0,0.0190593166284587,0,-0.01457598148347,0.0765511124153608,0,0,0.152271973954914,0,0,0,0,-0.00699474529507952,0.028111766411926,0,0,0,0,0,0
X000858.SZ,0,0,0.101298863427418,0.332030519079791,0,0,0.247715518612131,0,0,0,0,0,0,0,0.0507249084559283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517627849979919,0,0,0,-0.017902696205887,0,0,0,0,0,0,0,0,-0.0346359445940936,0,0,0,0,0,-0.0155949212594613,0.00592741320165139,0,0,0,0,0,0
X600809.SH,0,0,0,0.612186993944735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199297703988131,0,-0.172993871382154,0,0,0,0,-0.0625478924111629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0489534774220246,0,0,0,0,0
X000568.SZ,0.0590147783172039,0.252452954045844,0.464178541392629,0,0,0,0.167828720315255,0,0,0,0,0,0,0,0,0.0111671927079914,0,0,0,0,0,0,0,0,0,0,0.112706554240137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120605323020778,0,0,0,0,0,0,0,0,0,0,-0.0223514328653106,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.124910946327994,0,0,0,0,0,0,0,0,0,0,0,0,0.072359857528281,0,0,0,0,0.0467674605761233,0,0,0,0,0,0,-0.00332735182259727,0,0,0,0.0555181517311739,0,0,0.0315517014273394,0,0,0.0165859555878811,0,0.0154384413689604,0.181844829127001,0,0,-0.015890809133157,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166651993381478,0,0,0.0567277016091952,0,0,0,-0.0177445073056908,0,0,0,0.0174991142598186,0,0.201556716273727,0.0579076546960645,0.107473453973982,0,0,0,0.0307968834035838,0,-0.0263144814919257,-0.0209368316139792,0,0,0,0,0,0,0
X002304.SZ,0,0.182907466770472,0,0.398737837217501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672864676076054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786495221017544,0,0,0,0,0,0,0,0,0,0,0,0.110787919100459,0,0,0.00202848424791261,0,0,0,0,0,0,0
X600690.SH,0,0.0271517426355221,0.0543238268925432,0.0859158874166887,0,0,0,0,0,0,0,0,0,0,0.171537639128271,0,0.033595571782534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866874026246318,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0159363818162281,0.030117762199473,0,0,0,0,0,0,0,0,0.0341326581475127,0,0,0,0,0,0,0,0,0.338004581136055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406303891398171,0,0.278270690256337,0,0,0,0,0,0.0517561241297196,-0.038948695849064,0,0,0,0,0,0
X000651.SZ,0,0.143502037822665,0,0,0,0,0,0,0,0,0,0,0,0,0.117005128417335,0,0,0,0,0,0,0,0,0,0,0,0.115532875558699,0,0,0,0,0,0.0440665369355469,0,0,0,0,0,0,0,0,0,0,0,0,-0.0738294064494284,0,-0.00809477114980037,0,0,0,0,0.00393315245762729,0,0,0,0,0,0
