,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X600104.SH,X600690.SH,X600031.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000661.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X003816.SZ,X000625.SZ,X002371.SZ,X000596.SZ,X000100.SZ,X002129.SZ,X300142.SZ,X002049.SZ,X002179.SZ,X000799.SZ,X600741.SH,X000157.SZ,X600702.SH,X002007.SZ,X600460.SH,X002414.SZ,X601877.SH,X002236.SZ,X601799.SH,X600584.SH,X300146.SZ,X600779.SH,X300003.SZ,X000800.SZ,X600183.SH,X000066.SZ,X002074.SZ,X000977.SZ,X002508.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.149876072037232,0,0.108754301668566,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0,0.0514143723797491,0,0,0,0.0269736780827697,0,0,0,0.0223704975517535,0,0,0,0,0,0,0,0.0572304691226817,0,0,0,0.011896838461414,0.0425273416127009,0,0,0,0,0,0.034194828366027,0,0,0,-4.33680868994202e-19,0,0
X000858.SZ,0,0,0,0,0,0.447527344210448,0,0.0875784939423903,0,0,0,0,0,0.08048978042324,0.00170213611370803,0.0179466378104741,0,0,0,0,0,0,0.00262174951592836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659036615829635,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0142614446261317,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0633262124097571,0,0,0,0.038869080872332,0,0,0,0,0,0,0.132091163538486,0,0,0.0195959646980947,0,0.0200870477286781,0,0,0.000864037719227799,0,0,0,0,0.136681455264147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394437993450614,0,0,0,0,0.00444862843302794,0,0
X600276.SH,0,0,0,0,0,0,0,0.028470692023557,0.122967047672781,0,0,0,0,0,0,0,0.0848036904401791,0,0,0,0,0,0,0,0,0,0.0442637061482267,0,-0.0105703965688434,0,0,0,-0.0128020955000229,0,0.001594372637348,0.0346611297534028,0.0778928729482873,0.0415946252054606,0,0,0,-0.0187994909025136,0,0,0,0,0,0,0,0,0,0.141301620576654,0,0,0,0,0.0306910763054146,0,0
X600809.SH,0,0,0,0,0,0.0833687815039009,0,0,0,0,0,0,0,0,0.0844273425395757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419019336747219,0,0,0.0460642897977651,0,0,0,0,0,0,0,0,0.0451027857827921,0,0,0,0.0235685738972928,0.0246569778678309,0,0,0,0,-0.000962730123393379,0,0,0,0,0,0,0
X000568.SZ,0,0.168832285690699,0,0,0.0808335376801981,0,0,0,0.337813111757192,-0.0503238272276735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15881424812384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129938225184993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0285157243572381,0,0.141204573666559,0,0,0,0,0.0916431465140308,0,0.0418003238278303,0,0,0,0,0,0,0.0774925190950987,0,0,0,0,0.0449106604057564,0,0.159696974620426,0.0589706929406522,0,0,0,0,0,-0.12008262171721,0,0,0.0194959996301579,0,0,0,-0.0687530906361736,0,0,0,0,0,0,0,0,0,0,-0.0087022949289111,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373900224707813,0.0726509773745622,0,0,0.193608177970928,0.365820175163424,0,0,0,0,0.00759735305530642,0.105433617196479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306167988462352,0,0,0,0,0,0,0,0,0,0,-0.0105274237589614,0,0,0,-0.0366578852136631,0,0
X002304.SZ,0,0,0,0.284857538511873,0,0.284624583858549,0,0,0,0,0.174263682178604,0,0,-0.0700868974277772,0,0,0.0961510459255878,0,0,0.284968203743001,0,0,0,0.000895302356518983,0,-0.0357627736758903,0.012750319717382,0,0,0,0,0,0,0,0,0,0,0,-0.0501534101398968,0,0.226413386859195,0.0217017947229222,0,0,0,0,0,0.0712365919036792,0,0,0,-0.0711517801592385,0.0133698174896255,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0620993294494153,0.0779611142660811,0,0,0,0.00785474841956367,0,0.0173039711222246,0.0695511027053907,0,0,0,0,0,0,0.070207867552375,0,-0.147092861529057,0,0,0.00890581254344749,0,0,0,0,0,0.0738002154319191,0,0,0,0,0,0,0,0,-0.00374806718109516,0,0,0,0,0,0,0,0,0,0,0.0523095022721896,0,0,0,0,0,0
X600690.SH,0,0,0.109203251144518,0,0,0,0,0,0,0,0,0,0.350725785763701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496280473542218,0,0,0,0,0,0,0.109205843314469,0,0,0,0,0,0,0,0,0,0,0.0547563661384199,0,0,0,-0.0436771744504669,0.0340496441587328,0,0,0,0.0154379690185578,0,0
