,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X002475.SZ,X000581.SZ,X000800.SZ,X000623.SZ,X600582.SH,X000568.SZ,X600177.SH,X000559.SZ,X300124.SZ,X002129.SZ,X600060.SH,X000050.SZ,X002294.SZ,X000400.SZ,X300146.SZ,X000977.SZ,X000869.SZ,X600839.SH,X002456.SZ,X002292.SZ,X002465.SZ,X300003.SZ,X600312.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600276.SH,0,0,0,0.0304016138212849,0,0,0.048098837660152,0,-0.0102654601510793,0,0,0,0,0,0,0,0,0,0.200140152202078,0.250643441453336,0,0,0,0,0,0,0,0,0,-0.0369283845868217,0.0331777561287652,0,0,0,0,0.0501423190955709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299909655792368,0.00295681697617858,0,0,0,0.0122804000820291,0,0
X000100.SZ,0.013172657557663,0,0,0,0,0,0,0,0,0.123451716222465,0,0,0,0.0686218706885723,0,0,0,0,0,0,0,0,0,0.12281351975668,0,0,0,0,0,0.029430638633765,0,0,0.109927496173134,0,0,0,0.126373786802841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107097864295419,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0436806053686002,0,0,0,0,0,0,0.615839854417436,0,0,0.0263737163477804,0,0,0,0,0,0,0,0,0,0,0.0278125718311032,0,0,0,0,0.0937439284474748,0,0.0109242476019871,0,0,0,0,0,0,0,0.0177186485928461,0,0,0,0,0,0,-0.00735919359446699,4.33680868994202e-19,0,0,0,0,0,0
X600372.SH,0,0,0.0898511775483209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280798681991244,0.0252245653536282,0,0,0,0.141030266192702,0,0.11039209377635,0.0580003040867925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111998877257377,0,0,0,0,-0.0808159768144615,0.00608590121715658,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0.000718505204659613,0,0,0,0,0.780545824095996,0,0,0,0.00986764059769166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659783463328215,0.028044739640502,0,0.0329675926454248,0,0,0.208503943094436,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795962391590555,0,0.144949349939268,0,0,0,0,0
X600741.SH,0.318545965129989,0,0.121663512124359,0,0,0,0,0,0.0448504767446226,0,0,0,0,0,0,0,0,0,0,0,0.126299364454717,-0.0238314518120784,0,0.0452716523730663,0,0,0,0,0,0.0612493398191725,0,0,0,0,0.0202968471511798,0,0.0296812615738997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00481253963165089,0,0,0,0,0,0
X002241.SZ,0.0246722661405484,0,0.0849752580532185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408977899350177,0,0,0,0,0,0,0,0,-0.00212701476529907,0,0,0,0,0.104054962947711,0,0,0,0,0,0,0,0,0.242785336013142,0,0.0818079104291623,0,0,0,0,0,-0.0022502594422177,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00953890970604264,0,0,0.318866539853683,0,0,0,0.0359772414159142,0.0347861241844718,0,0.0423350549117063,0,0,0,0.0598728308543321,0,0,0,0,0,0,0.022367823012051,0.0825814163802989,0.0796414248040224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010012900978364,-0.0172593398390571,0,0,0,0,0,0
X600066.SH,0.0617996806210572,0,0,0,0,0,0,0,0,0.145804292929392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062625971153167,0,0,0,0,0.0441515195966805,0.00336007530574515,0.0583638184266379,0,0.188618167005368,0,0,0,0.0362735312605175,0,0,0,0,0,0,0,0,0,0.0491087774461499,0,0,0,0,0,0,0,0,0,0,0,0
X600089.SH,0.124965667376272,0,0,0,0,0,0,0,0,0,0,0,0,0.139201683327067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899765036261678,0,0,0,0,0,0,0,0,0,0,0,0.0997280914606928,0,0,0,0,0,0,0,0,0.188711329087135,0,0,-0.0146129785277127,-0.0193736033658754,0,0,0,0,0,0
X600271.SH,0,0,0,0,0.0353748711838832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026897259373137,0.090733197092848,0,0,0,0,0.045515238230795,0,0.249828366223093,0,0,0,0.0623099839373157,0,0,0,0,0,0.0509987414044064,0,0,0,0,0,0.243384600662757,0.132548229882111,0,0,0,-0.074542094995876,-0.0197334431560868,0,0,0,0,0,0
