,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600276.SH,X000063.SZ,X600690.SH,X600031.SH,X600372.SH,X000338.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600703.SH,X600089.SH,X000100.SZ,X601877.SH,X002236.SZ,X000581.SZ,X002475.SZ,X000559.SZ,X000050.SZ,X000550.SZ,X600118.SH,X600066.SH,X000568.SZ,X002294.SZ,X600271.SH,X600839.SH,X002456.SZ,X002129.SZ,X300003.SZ,X300124.SZ,X000623.SZ,X000400.SZ,X000869.SZ,X600867.SH,X002007.SZ,X000800.SZ,X002292.SZ,X002038.SZ,X600435.SH,X600177.SH,X002465.SZ,X002049.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.185815352023979,0.107623460168089,0,0,0,0,0,0,0.123130062176856,0,0,0,0,0,0,0,0.0204087419910625,0.111566522131669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705349641066306,0,0,0,-0.00943655641939726,0.0451531922717883,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0.075279434728385,0.153651165174039,0,0,0,0,0,0,0,0,0,0.182016023053547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0734139497146155,0,0,0,0,0,0,0,0.0579140535004591,0,-0.069858170502111,0,0,-0.0715024471160806,0,0,0.0605975175887687,0,0,-0.0140783822684667,-0.0251654011758811,0,0,0,-0.160036156523622,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354179479957983,0,0.0544909031874267,0,0,0,-0.00106358717193705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578708920075575,0,0,0,-0.0311865631072668,0,0,0,-0.104709458562789,0,0.0252364317608371,-0.00343819310304531,0,0,0,0,0,0
X000651.SZ,0,0,0.0135980867754683,0,0,0,0,0,0,0,0.144125766449733,0,0,0.0148349359348584,0,0,0,0,0,0.0273804956733884,0,0,0,0,0,-0.0135083416672407,0.139236138641303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140331365648755,0,0,0,0,0.0363443165209494,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.184640068099719,0,0,0,0,0,0,0,0,0.247218347529153,0,0,0,0.0317258051864155,0,0,0,0,0,0,-0.00362193739351132,0,0.09566412883107,0.0459614571305306,0,0,0,0,0,0,0,0,0,-0.0339006068332731,0,0,0.0532592143051285,0,0,-0.00616069491651603,0.0140526884705263,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00604712882568779,0.00489655526062758,0,0,0,0,0,0,0.0125319681747537,0,0,0,-0.0759584162890756,0.0941597537082759,0,0.130290795103742,0,0,0.399479641874101,0,0,0,0,0,0,0,0,0,0.0615161483149495,0,0,0,0,0,0,0,0,0,0,0,0,-0.00448143147286196,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.0522962790843464,0,0,0,0,0.0566644314423535,0,0,0,3.46944695195361e-18,-0.055684515010492,0,0,0,0,0,0,0,-0.108575563011551,0,0,0,0.360160160792081,0,0,0,0,0,0,0,0,0,0.12617933511088,0,0,0,0,0.105208395665335,0,0,0,0,0,0,0.00147664087919864,0.0448304314607503,0,0,0,0,0,0
X000625.SZ,0.057675161762348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960498636289632,0.108179717781106,0,0,0.0884159130120079,0,0,0.073199408234131,0,0,0.100988860291688,0,0,0,0,0,0.045177287417326,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.00723406450310503,0,0.0149673943655997,0,-0.016709118509786,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11114642844663,0,0,0,0,0,0,0,0.0653456968081312,0,0,0.0478040101139416,0,0,0,0,-0.0285721153961112,0,0,0.0286697216821081,0,0,0,0,0.0917440873065881,0.180805678515535,0,0,0,0.0332229063639255,0,0,-0.0102346623067326,0,0,0,0.00857985436490147,0,0,0,-0.0953758672724358,0,0
X000063.SZ,0.136340672524546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520403610276243,0,0,0,0,0,0,0,0,0,0.047169319931701,0,0,0.032376571744433,0,0.0300231125626688,0,0,0,0,0.0901953833665907,0,0,0,0,0,0,0,0,0,0.00265501212394958,0.0105217519449501,0,0,0,0,0,0
