,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000596.SZ,X000725.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X300014.SZ,X002129.SZ,X002179.SZ,X600703.SH,X002049.SZ,X000100.SZ,X600089.SH,X600372.SH,X002236.SZ,X000157.SZ,X600741.SH,X000661.SZ,X600584.SH,X000977.SZ,X002241.SZ,X601877.SH,X600522.SH,X600702.SH,X000733.SZ,X601799.SH,X002074.SZ,X000800.SZ,X002007.SZ,X002463.SZ,X002028.SZ,X300142.SZ,X600183.SH,X002180.SZ,X600460.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.293669799934006,0,0,0,0,0.00802114213719094,0,0,0,0.207044480225889,0,0,0,0,0,0,0,0,0,0,0,-0.0621860970264617,0,0,0,0,0,0,0,0,0,0.0368719731011438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155818191649985,0,0,0,0.0116072175379004,0,0,0,0,0
X000858.SZ,0,0,0.180649031156857,0,0,0,0,0,0,0.113648766291494,0,0,0,0,0.0854328917468815,0,0,0.108564279922498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351239933244589,0,0,0,0.0159958648635239,0,0,0,0,0,0,0,0.0879114393928576,0,0,0.0562707249392018,0,0,-0.0017135057381932,0,0,0,0,0,0,0
X000568.SZ,0.207398552577034,0.172729818664385,0,0,0.115380549463878,0,0,0,0,0.0747684573021507,-0.0530092004556961,0,0,0,0.311218790346298,0,0,0,0.0218818847354777,0,0,0,0,0,0,0,0,0,-0.0373879949699354,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0873981632263989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140678665982698,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-0.0142788270769272,0,0,0,0,0,0,0,0,0,0,0,0,0.0795867712824998,0,0.0626276184106037,0,0,0,0,0,0,0,0.226946651361954,0,0,0,0,0.0127635089443483,0.0110395050454262,0,0,0.199976351740512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280944093898756,0,0,0,0,0,0,0
X600809.SH,0,0,0.00291603603458357,0,0,0,0,0,0,0,0,0,0,-0.230828090037197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273089287153269,0,0,0,0,0,0,0.642998182147006,0.00472707870522858,-0.00186770335195725,0,0,0,0.112932352293565,0,0,-0.101438088126633,-0.04359841115324,0,0,0,-0.00546123493088767,-8.67361737988404e-19,0,0,0,0,0,0
X600276.SH,0,0,0,-0.20162812215538,0,0,0,0,0,0,0,0,0,0.043472058175192,0,0,0,-0.187639602536509,0,0,0,0,0,0,0,0,0,0,-0.186796872748207,0,0,0.455540231465704,0.102192036090854,0,0,0,0,0,0,0.060678625784404,0,0,0,0,0.068824550692453,0,0.134921562774904,0,0,0,0,-0.034272974340693,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0248548855521176,0,0,0,0,0,0,0,0.0121144839274129,0.00940172050073435,0,0,0,0,0,0,0.0571885301945294,0,0,0,0,0,0,0,0,0.0137949236172145,0,0,0,0.0295093321801232,0,0,0,0,0,0,0,0.0294099049217706,0.0404736453711772,0,0,0,0,-0.0222778623940425,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.0548858141206043,0,0,0,0,0,0,0,0.134084104321697,0,0,0,0.129702058486293,0,0,0,0,0,0,0.0810402236658554,0,0,0,0.0720417729246578,0,0,0,0.0991953793010095,0,0,0,0,0,0,0,0,0,0,0.069853621030556,0,0.0436288152110388,0,0,0,0,0,-0.054608262861731,0.10325232430003,0,0,0,0,0,0
X000651.SZ,0,0.201788987568792,0,-0.123367420565098,0,0,0.336776576190795,0.0633553685604186,0,0,0,0,0,0,0,0,0,0.122617406695991,0,0,0,0,0,0,0,0,0.0443276510297834,0,-0.0493449132733208,0,0,0,0,0.00443713792794485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139942292726025,0,-0.0152770690489369,0,0,0,0,0,0,0
X002304.SZ,0,0.391700388259045,0.0379054150691563,0,0.155510423687549,0,0,-0.0151913658945339,0,0,0,0,0,0,0,0,0,0.0537280539758596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00180931982274183,-0.0103220702946638,0,0,0,0.0540226821787399,0,0,0,0,0,0,0,0,0,0.00196270319607718,0,0,0,0.00368104837780019,0,-0.146100280423249,0,0,0,0,0
