,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X002371.SZ,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600584.SH,X002241.SZ,X601877.SH,X000661.SZ,X000157.SZ,X600741.SH,X600522.SH,X000733.SZ,X002180.SZ,X002463.SZ,X002074.SZ,X300142.SZ,X600702.SH,X600460.SH,X000800.SZ,X002007.SZ,X300003.SZ,X000988.SZ,X000066.SZ,X002028.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.295482083381573,0.147969717523176,0,0.0832946400981892,0.00281772845508921,0,0,0.00355509125776849,0,-0.0460013166973762,0,0,0,0,0,0.0180726324915176,0,0,0,0.0208986776290273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020113576159349,0,0,0,0,0,0,0,0,0,0,0,0.00874433944423215,0,0,0,0,0,0,0
X000858.SZ,0,0,0.456631610104912,0,0.00854491241557123,0.0302162708054681,0,0,0.0348387035045333,0.0440633796899669,0,0,0,0,0,0.028253936361495,0,0,0.0655727271300363,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0119802852399863,0,0,0,0,0,0,0,0,0,0,0,0,0.126221114478857,0,0,0,0,0,0,0,0.0625608895959971,0.003427152980982,0,0,0,0,0,0,0
X000568.SZ,0.017557929607815,0.432939958838189,0,0,0,0,0,0.0487183608664955,0,0.193096527398012,0,0,0,0,0,0,0.0577242038197249,0,0.0936338713680685,0,0,0,0,-0.0100330839931312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24993547067004,0,0,0,0,-0.0156333012184948,0,0,0,0.00791186746073107,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0163086013998021,0,0,0,0,0,0,0,0,0.0984625410363406,-0.144217261378867,0,0,0,0.215979655075163,0,0,0.241585633383831,0,0,0,0,0.187940062842441,0,0.0369387903677333,0,0,0,0,0,0,0,0.100466643791525,-0.0353216073196703,0,0,0.024822689691546,0,0,0,0,-0.053679872277481,0,0,0,0.0267463906447707,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0370507477358372,0,0,0,0,0,0,0.0880866730133552,0,0,0,0,0,-0.198967477697183,0.0150220897466503,0,0.0807887100238966,0,0.0114015990641957,0,0,0,0,0,0,0,0.160741383885653,0,0,-0.210810538666051,0,0,0,0,0,0,0,0.0968106206074335,0,0,0,0.000340252247186436,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,-0.0274921446116588,0,0.133225398857658,0,0,0,0,0,0,0,0.0369986579803147,0,0,0,0.0846718266490235,-0.000696691744063021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508076316903112,0,-0.0788299864823378,0.0332698325795946,0,0,0.0114116788442963,0,0,-0.182190987236757,0,0.0142741141043418,0,0,0,0,0.0577355351756653,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305142138708161,0,0,0,0,0.0318018664650893,0,0.210875620204683,0.374488520241453,0,0,0,0,0,0,0,0,0,0,0.0250508525429667,0,0,0,0,0.0311548185747421,0,0,0,-0.0151097284949973,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.117344650513362,0,-0.00681364543561488,0,0,0,0,0.114804799748913,0,0,0,0,0,0,0,0,0,0,0,0,0.0220266652955393,0,0,0,0,0,0,0,0,0,0,-0.0193597843433561,0,0,0,0,0,0,0,-0.0271095735221216,0,0.0298490735757888,0,0.0155055848493173,0,0,0,0,0,0,0
X000651.SZ,0,0.16563916475027,0,0,0,0,0,0.0108267467751668,0,0,0.0754283922099721,0,0,0,0,0,0,0,0,0.0440581778922086,0,-0.208892300807215,0,-0.0420524492721985,0,0,0,0,0,-0.0549488160389305,-2.16840434497101e-19,0,-0.020566963781536,0,0,0,0,0,0,0,0,0,0.111023706697505,0,0,0,0,0.0052566335019774,0.0625906860193742,0,0,0.00823272109252627,0,0,0,0,0,0,0
X002304.SZ,0,0.173647216508731,0.363023374483551,0,0,0,0,0,0.0118871531572628,0,0,0.00422956632432424,0,0,0,0,0,0,0,0,0,-0.09058271266516,0,0,0,0,0,0,0,-0.00178258977657536,0,0,0,0,0,0,0,0,0,0,0,0,0.0155492266796908,0,0,0,0,0,0,0,0.0520211753770095,0.0234848764610777,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.177713286112311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119222555811798,0.0890133728678781,0,0,0,0,0,0,0.0972820258603138,0,0,0,0,0,0.111627302327582,0,-0.0943353660378796,0,0,0.140849966540763,0.0842850564304089,0,0,0,-0.0160460107888019,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.0506896968695573,0,0.167999797481405,0,0.0146773005071024,0,0,0,0,0,0,0,0,0.0394882017798078,0,0,0,-0.110223678870297,0,-0.0490592956406199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157397302615998,0,0,0,0,0,0,0,0,0,0,0,0.0331030261341271,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,3.46944695195361e-18,0,0.0246703347841443,0,0,0,0,0,0,0.211152932608013,0,0.17079392152219,0,0,0,0,0,0,0,0.0340916022433197,0,0,0.000582605799376556,-0.0301012028785865,0,0.0139181240224322,0,0,0,0,0,0,0,0,0,0.0265903201010624,0,0,0,0.0346973499395984,0,0,0.0223912836497263,0,0,-0.00683269658403656,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191942141489174,-0.156013579568498,0,0,0,0,0,0.215521680250494,0.00534232766827185,0,0.0407560838138901,0,0.13436408615539,0,0,0,0.118633884615752,0,0.0691698445818406,0,0,0.0156826154383552,0,0,0,0,0,0,0,0,0.0480237160662389,0,0.153324199833094,0.0334808874388007,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.0471104164577913,0,0.0336441989546069,0,0,0,0,0,-0.0128170305685361,0,0,0,0,0.121581876049118,0,0,0.117103145654692,0,0,0,0.0128315374571174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434181983826901,0,0,0.219901808587212,0.0100599599751441,0,0.0379285325312286,0,0,0,0,0
