,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X000725.SZ,X003816.SZ,X000661.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X000100.SZ,X002241.SZ,X300014.SZ,X002371.SZ,X300142.SZ,X002007.SZ,X000596.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X000977.SZ,X601877.SH,X002129.SZ,X000800.SZ,X000625.SZ,X002236.SZ,X000157.SZ,X300136.SZ,X600584.SH,X002456.SZ,X002463.SZ,X002414.SZ,X002179.SZ,X002049.SZ,X000066.SZ,X600118.SH,X002185.SZ,X600522.SH,X002074.SZ,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.255627989469042,0.104141579887347,0,0,0,0,0,0,0,0,0,0.0619531247854618,0,0,0,0,0,0,0,0.0338553457631184,0,0,0,0,0,0,0,0,0,0,0,0,0.0271141310444217,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217247177839893,0,0,0.0130707510022238,0.00688461966794051,-0.00365418172501417,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199452418335106,0.245157054234444,0,0,0,0,0.0402618745512885,0,0,0,0,0,0,0,0,0,0,0,0.0273811001047587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311503549592233,-0.0301073334850822,0,0,0,0,0,0
X600276.SH,0.0937127502763537,0.215073382083939,0,0,0,0,0,0,0,0,0,0,0.283972116383231,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213536797249831,0,0.032184577261534,0,0,0,-0.126314551987695,0,0,0.0157207635639663,-0.0283723619280698,-0.0137016731605131,0,0,0,0,0,0,0
X000651.SZ,0,0.0356683797364104,0,0,0.132786061629256,0,0,0,0,0,0,0,0,0,0,0.216561496196079,0,0,0,0.0112336439375145,0,0,0,0,0,0.0237855259778757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188485071272457,0.00601420909085957,-0.0021286140951656,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181836020373424,0.144023017487029,0,0,0,0,0,0.0546638238646615,0,0,0,0,0.104958890759234,0,0,0,0,0,0,0,0,0,0,0,0,0.0782322780211065,0,0,0,0.0573487035956367,0,0,0.00703978297079055,-0.018526253034068,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0111781086669396,0,0,0.122016764848438,0,0,0,0,0,0,0,0,0,0.0253543954067992,0,-2.16840434497101e-19,0.119046801023538,0.00446042886867381,0,0,0,0.113214686021799,0,0,0,0,0,0,0,0,0,0,0.0235041616330846,0,0,0,0,0,0.134850556581905,0,0,0,0,0,0,0,0,0.0160656037359461,-0.0163239381437571,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0697567852012188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527839366110466,0.190046283165893,0,0.0330046251567181,0,0.0861883267830797,0,0,0.131528212800387,0.0642363366230833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186617623685165,0,0,-0.0250841115023454,0.0297122750358058,0.007260083095503,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.189150988457754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044481107224926,0,0,0,0,0,0.032786858675443,0,0,0,0,0,0.132765125252941,0.0394010228868783,0,0,0.304305357789446,0,0,0,0,0,0,0,0,0,0,0,-0.033939357615933,0,0,0.0426203761230176,-0.0437902008455169,0,0,0,0,0,0
X600031.SH,0,0.108538462623208,0,0,-1.73472347597681e-18,0,0.130305116564054,0,0,0,0,0,0.125727029397416,0,0,0,0,0,0,0,0.0485723832638292,0,0,0,0,0,0.0638372964794212,0,0,0,0,0,0,0.0111467445887185,0,0.321505486342207,0,0,0,0.00724168814720048,0.0663105632416198,0,0.00766898093179019,0,0,0,0,0,0,0,0,-0.00541530790550742,0,0,0,0,0,0,0
X002304.SZ,0,0.139298130902574,0,0,0,0,0,0,0,0,0,0,0,0.00947726776379288,0.00451525095143921,0,0.140088773817927,0,0,0,0,0,0.0881188157870484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653412837709644,0,0.00656108846268517,-0.00035453338462952,0,0,0,0,0,0
