,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600690.SH,X600031.SH,X000568.SZ,X000338.SZ,X002475.SZ,X600741.SH,X000661.SZ,X000596.SZ,X601877.SH,X600809.SH,X000100.SZ,X600703.SH,X600271.SH,X000157.SZ,X300003.SZ,X002007.SZ,X300142.SZ,X002236.SZ,X300124.SZ,X002008.SZ,X600177.SH,X600498.SH,X000625.SZ,X002179.SZ,X002506.SZ,X600183.SH,X000977.SZ,X600487.SH,X600776.SH,X002049.SZ,X600867.SH,X002371.SZ,X600522.SH,X300146.SZ,X002129.SZ,X600066.SH,X000066.SZ,X000050.SZ,X600118.SH,X600089.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.137825557799657,0,0,0,0,0,0,0,0,0,0.0488707833575086,0,0.0567624575346525,0,0,0.0835684125278937,0,0,0,0.0565813276783697,0,0,0,0,0.128241147007931,0,0,0,0,0.0611821827148518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00488694213085008,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.303061902968061,0.0854746490390291,0,0,0,0,0.413087800147952,0,0,0,0,0,0,0.0335101542057265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00351906079819465,0,0,0,0,0.00126850738955196,0,0
X000651.SZ,0,0.162691215136848,0,0,0,0,0,0.0537618967935134,0,0,0.0279990492600113,0,0.0209023176831447,0.141140408044963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166965965651298,0,0,0,0,0,0,0.00444660753591583,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0413531137409735,0,0,0,0,-0.0239725861836977,0,0
X600104.SH,0,0,0.020922714730464,0,0,0.113612708424963,0,0,0,0,0.112281838280671,0,0,0.0252213962853051,0.0492533199553684,0.0336094974690492,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0698397344582519,0,0,0,0,0,0,0,0,0,0,0,0,0.0663934537796205,0.0994828685342374,0,0,0,0,0,-0.0168812721472406,0,0,0,0,0,0,0
X600276.SH,0,0,0.0525421890330509,0,0,0,0,0,0,0,0,0,0,0.208486790043056,0.0549495979103609,0.110978374168899,0.0145384766673594,0.0395236336761515,0,0,0,0,0,0,0,0.000736959715022347,0,0,0.0930490919650233,0,0,0.0100283927161371,0,-0.0229612278266678,0,0,0,0,0,0,0,0,0.0778370267755155,0,0,-0.0241251081916173,0,0,0,0,0,-0.0143987743204428,0,0,0,0,0,0,0
X002415.SZ,0,0,0.052248237410085,0.0258202666408509,0,0,0,0,0,0,0,0,0,0.0276735533340719,0.151802967705027,0,0,0,0,0,0,0,0,0,0,0,0.484846571597599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00908762766591256,0,0,0,0,0,0,-0.0569462478043818,0,0,0,0,-0.0421544964223669,0,0
X002304.SZ,0,0.269474140687904,0.0489920191398544,0,0,0,0,0,0,0,0.0291447652239664,0,0,0.0532361731166966,0,0,0.123766503675333,0,0,0,0,0,0,0,0.12347346611208,0,0,0,0,0,0,0,0,0,0,0.0370445676313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226386116863253,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.149947878389183,0,0,0,0,0,0,0,0,0,0,0.00996743708252745,0,0.0856505884240669,0.171859155983047,0,0,0.120652234770732,0,0,0.136198039221691,0,0,0,0,0,0,0,0,0,0,-0.0572487443568039,-0.0606522140673055,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230819846387,0,0,0,0,0.0703617829002897,0.0363603099432745,0.0286325808596307,0,0,0,0,-2.16840434497101e-19,0,0.106203691866423,0.0145871697131918,0.172857188991302,0,0,0,-0.016197101190416,-0.0376049395227264,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.191422206810607,0,0,0,0,0.0344410102605139,0,0.0962120621249634,0,0,0,0.0574158971247262,0,0,0,0,0,0,0,0,0,0,0.106084373727897,0,0,0,0.0477997702214258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00310697662332877,0,0,0,0,0,0,0
X600031.SH,0,0.0234409370197865,0.0831453393663056,0,0,0,0.175765183314352,0,0,0,0,0,0.250081590754947,0.0382679229748022,0,0.0396755882817039,0,0,0.0442022173980021,0,0.00487514049186555,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027291180847411,0,0,0,0,0,0,0,0,0,0,0,0.0908671282865818,0,0,0,0,0,0,0,0,0,0,0.0141637769420922,0,0
X000568.SZ,0,0.298868388396527,0,0,0,0,0,0,0,0,0,0,0.109491800153853,0,0,0,0.0210641547639336,0,0.147480693010558,0,0.0274173294598809,0,0,0,0,0.0650886463027356,0,0,0,0,0,0.0792855634086608,0,0,0,0,0,0,0,0.0322108362042885,0,0,0,0,0,0,0,0,0,0,0,-0.0279825669644048,0,0,0,0,-0.0256306376734749,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0.65772650079226,0,0,0,0,0,0,0,0,0,0,0,0.0730913017050379,0,0,0.0172461984570156,0,0,0,0.0410779566989481,0,0.045749744047466,0,-0.0541835622170075,0,0,0,0,0,0,0,0,0,0,0.0919369999335131,0,0,0,0,0,0,-0.0768298678293726,0.00509492466164626,0,0,0,-0.0133947792683366,0,0
X002475.SZ,0,0,0.201048042127985,0,0,0,0,0,0,0,0,0,0.109731042797036,0,0.0191698743104097,0,0,0,0,0,0.209220435140183,0,0,0,0,0,0,0,0.0149783633717311,0,0,0,0,0,0.072327827040813,0,0.1809689737363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051242943766883,0,0
X600741.SH,0,0,0.0228012775459614,0,0,0,0,0,0,0,0.156597634307545,0,0,0.113253822627358,0,0,0,0.0130674614879457,0,0.110367386375751,0,0,0,0,0,0,0,0,0.163486773187733,0,0,0,0,0,0,0,0.0641337407901131,0,0,1.73472347597681e-18,0,0,0,0,0.116284344712671,0,0,0,0,0,0,0,0.0146614043809733,0,0,0,0,0,0
X000661.SZ,0,0,0.124420376785438,0,0,0,0.0833543426530277,0,0,0,0.0440045892112172,0,0,0,0,0,0.265440226413647,0,0.0139038717308691,0.122441530659723,0.034159694888785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300172299547632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157789562633658,0,0,0,0,0.0162207758467488,0,0
X000596.SZ,0,0.149734390966349,0,0,0,0,0,0,0,0,0,0,0,0.0477663423603414,0,0.323657434917161,0,0,0.117096109621377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0200435410321919,0,0,0,0,0,0,0,0,0,0,-0.00599366915275052,0,0
