,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X002241.SZ,X002475.SZ,X600271.SH,X002456.SZ,X002236.SZ,X000338.SZ,X600118.SH,X002085.SZ,X600177.SH,X000157.SZ,X002292.SZ,X300124.SZ,X600372.SH,X000559.SZ,X600867.SH,X002007.SZ,X002180.SZ,X300003.SZ,X002294.SZ,X002506.SZ,X600089.SH,X002074.SZ,X600522.SH,X600498.SH,X002426.SZ,X601877.SH,X000981.SZ,X000550.SZ,X000623.SZ,X002508.SZ,X000869.SZ,X000050.SZ,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0363124143727842,0,0,0,0,0.045646632977385,0.00570406751734694,0,0,0,0.117897485046421,0,0.0947101186539429,0,0,0.0594063805882147,0,0,0.10270067664702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362053946856404,0,0,0,0,0,0,0,0,0,0,0.0304432950126806,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.00975659564126661,0,0.00396989409280936,0,0,0,0,0,0,0.0337355943561126,0,0,0,0.0435903581577385,0,0,0,0,0,0,0,0,0,0.0935990197257142,0,0,0,0.0515377700369633,0,0,0,-0.12317678941436,0,0.0527178646684334,0,0.121497928688086,0,0,0,0,0,0,0,-0.00361189163278014,0.0188948435449233,0.206680687702181,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0544151527715656,0,0,0,0,-0.0506972210955219,0,0,0,0,0,0.0561854007065448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106595747534952,0.184858022779432,0.037370090865395,0.0539105877343187,0,0,0,0,0,0,-0.057250239907546,0.0970506613441347,-0.0893835422849171,0,0,0,0,0
X002415.SZ,0,0,-0.00802283374098366,0,0,0,0,0,0,0,0,0,0,0.0707797887472355,0,0,0,0,0,0,0,0.104389161269238,0,0,0,0,0,0,0,0,0,0.00512253118718885,0,0,0,0,0,0,0,0,0.0766799341064565,0,0.0902200927303345,0.00601005575852941,0,0.48691287791345,0,0,0,0,0.0269633348133227,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.098182458185939,0,0,0,0.230341417040103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144482486475117,0,0.0612119798086099,0.167780000982278,0,0,0,0,0,0.110273365587903,0.0581461644108994,0,0,0,0.0326943281763441,0,0.0319489352051477,0,0,0,0,0,0.0148726511406462,0.00825227349277544,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391408130168459,0,-0.0116203662069725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106433427149869,0,0,0.113714963375567,0,0,0,0.0952145478632839,0.0957668872442055,-0.0388540130515473,0,0,0,0,0,0,0,-0.00284916785872006,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.302604627784075,0,0,-0.0343073025821439,0,0,0,0,0,0,0,0,0,0.0309416353744741,0,0,0,0,0,0,0,0,0,0.0284446704897157,0.0218520705445488,0,0,0.047177037783117,0,0,0,0,0,0,0,0,0,-0.0232554443111205,0.0204395552457355,0,0.039494109084601,0,0.124824034910817,0,0,0,-0.0177081337584604,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139152620803667,0,0,0,0,0,0.102022677372494,0,0,0,0.0780422873722163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342940997440753,0,0,0,0.110208324160456,0,0,0,0,0,0,-0.0390858704621068,-0.0102435723218666,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0235253513765276,0,0,0,0,0,0,0,0,0,0,0.0537267131382739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102675616664966,0,0,-0.0590810037432005,0,0,0,0,0,0,0,0.182664911686588,0.0175567182868077,0.0567189294920779,0,0,0,0,0,0,0,0.0574795832369011,-0.011823257455934,0,0,0,0,0,0
X000063.SZ,0,0,0.0615793727026109,0.0139021252383942,0,0,0,0,0,0,0,0,0,0.0503444180256925,0.0873641655556939,0,0.0489122765253237,0,0,0,0,0.122093002736232,0,0,0,0,0,0,0,0.0409362014969125,0,0.00747363897355751,0,0,0,0,0,0,0.0243627620017885,0,0,0,-0.00992537311322537,0,0,0,0,0,0,0,-0.0714609048725661,0,0,0,0,0,0,0
